Direct solar radiation mean [W/m2],Date,monthly_mean
1.1,2005-01-02,4.99
0.7,2005-01-03,4.99
1.8,2005-01-04,4.99
1.8,2005-01-05,4.99
1.7,2005-01-06,4.99
0.9,2005-01-07,4.99
1.3,2005-01-08,4.99
1.3,2005-01-09,4.99
2.1,2005-01-10,4.99
1.3,2005-01-11,4.99
1.3,2005-01-12,4.99
1.3,2005-01-13,4.99
16.3,2005-01-14,4.99
30.7,2005-01-15,4.99
5.9,2005-01-16,4.99
2.1,2005-01-17,4.99
1.0,2005-01-18,4.99
1.0,2005-01-19,4.99
0.9,2005-01-20,4.99
1.1,2005-01-21,4.99
2.9,2005-01-22,4.99
3.4,2005-01-23,4.99
27.8,2005-01-24,4.99
11.7,2005-01-25,4.99
1.2,2005-01-26,4.99
1.4,2005-01-27,4.99
8.9,2005-01-28,4.99
14.5,2005-01-29,4.99
1.2,2005-01-30,4.99
1.0,2005-01-31,4.99
1.2,2005-02-01,58.6
1.3,2005-02-02,58.6
1.1,2005-02-03,58.6
0.8,2005-02-04,58.6
35.1,2005-02-05,58.6
102.4,2005-02-06,58.6
51.5,2005-02-07,58.6
2.8,2005-02-08,58.6
1.9,2005-02-09,58.6
0.6,2005-02-10,58.6
41.3,2005-02-11,58.6
118.3,2005-02-12,58.6
2.2,2005-02-13,58.6
51.9,2005-02-14,58.6
37.7,2005-02-15,58.6
56.8,2005-02-16,58.6
17.1,2005-02-17,58.6
1.6,2005-02-18,58.6
1.1,2005-02-19,58.6
1.0,2005-02-20,58.6
202.8,2005-02-21,58.6
220.5,2005-02-22,58.6
21.2,2005-02-23,58.6
4.9,2005-02-24,58.6
169.4,2005-02-25,58.6
166.7,2005-02-26,58.6
222.4,2005-02-27,58.6
105.3,2005-02-28,58.6
198.9,2005-03-01,141.34
122.2,2005-03-02,141.34
262.0,2005-03-03,141.34
2.6,2005-03-04,141.34
1.5,2005-03-05,141.34
1.3,2005-03-06,141.34
4.0,2005-03-07,141.34
285.6,2005-03-08,141.34
289.2,2005-03-09,141.34
23.1,2005-03-10,141.34
304.8,2005-03-11,141.34
313.4,2005-03-12,141.34
259.7,2005-03-13,141.34
219.3,2005-03-14,141.34
216.6,2005-03-15,141.34
247.3,2005-03-16,141.34
42.3,2005-03-17,141.34
108.5,2005-03-18,141.34
76.9,2005-03-19,141.34
219.2,2005-03-20,141.34
266.7,2005-03-21,141.34
357.1,2005-03-22,141.34
7.0,2005-03-23,141.34
2.8,2005-03-24,141.34
6.4,2005-03-25,141.34
3.2,2005-03-26,141.34
2.5,2005-03-27,141.34
27.6,2005-03-28,141.34
224.7,2005-03-29,141.34
37.6,2005-03-30,141.34
247.6,2005-03-31,141.34
98.4,2005-04-01,181.16
93.6,2005-04-02,181.16
347.7,2005-04-03,181.16
149.8,2005-04-04,181.16
1.2,2005-04-05,181.16
305.4,2005-04-06,181.16
134.8,2005-04-07,181.16
1.1,2005-04-08,181.16
3.0,2005-04-09,181.16
272.3,2005-04-10,181.16
1.3,2005-04-11,181.16
59.0,2005-04-12,181.16
2.3,2005-04-13,181.16
1.8,2005-04-14,181.16
267.6,2005-04-15,181.16
38.1,2005-04-16,181.16
363.1,2005-04-17,181.16
129.7,2005-04-18,181.16
185.3,2005-04-19,181.16
302.0,2005-04-20,181.16
84.1,2005-04-21,181.16
137.3,2005-04-22,181.16
442.3,2005-04-23,181.16
451.9,2005-04-24,181.16
215.3,2005-04-25,181.16
493.6,2005-04-26,181.16
