Direct solar radiation mean [W/m2],Date,monthly_mean
1.1,2005-01-02,4.986666666666666
0.7,2005-01-03,4.986666666666666
1.8,2005-01-04,4.986666666666666
1.8,2005-01-05,4.986666666666666
1.7,2005-01-06,4.986666666666666
0.9,2005-01-07,4.986666666666666
1.3,2005-01-08,4.986666666666666
1.3,2005-01-09,4.986666666666666
2.1,2005-01-10,4.986666666666666
1.3,2005-01-11,4.986666666666666
1.3,2005-01-12,4.986666666666666
1.3,2005-01-13,4.986666666666666
16.3,2005-01-14,4.986666666666666
30.7,2005-01-15,4.986666666666666
5.9,2005-01-16,4.986666666666666
2.1,2005-01-17,4.986666666666666
1.0,2005-01-18,4.986666666666666
1.0,2005-01-19,4.986666666666666
0.9,2005-01-20,4.986666666666666
1.1,2005-01-21,4.986666666666666
2.9,2005-01-22,4.986666666666666
3.4,2005-01-23,4.986666666666666
27.8,2005-01-24,4.986666666666666
11.7,2005-01-25,4.986666666666666
1.2,2005-01-26,4.986666666666666
1.4,2005-01-27,4.986666666666666
8.9,2005-01-28,4.986666666666666
14.5,2005-01-29,4.986666666666666
1.2,2005-01-30,4.986666666666666
1.0,2005-01-31,4.986666666666666
1.2,2005-02-01,58.603571428571435
1.3,2005-02-02,58.603571428571435
1.1,2005-02-03,58.603571428571435
0.8,2005-02-04,58.603571428571435
35.1,2005-02-05,58.603571428571435
102.4,2005-02-06,58.603571428571435
51.5,2005-02-07,58.603571428571435
2.8,2005-02-08,58.603571428571435
1.9,2005-02-09,58.603571428571435
0.6,2005-02-10,58.603571428571435
41.3,2005-02-11,58.603571428571435
118.3,2005-02-12,58.603571428571435
2.2,2005-02-13,58.603571428571435
51.9,2005-02-14,58.603571428571435
37.7,2005-02-15,58.603571428571435
56.8,2005-02-16,58.603571428571435
17.1,2005-02-17,58.603571428571435
1.6,2005-02-18,58.603571428571435
1.1,2005-02-19,58.603571428571435
1.0,2005-02-20,58.603571428571435
202.8,2005-02-21,58.603571428571435
220.5,2005-02-22,58.603571428571435
21.2,2005-02-23,58.603571428571435
4.9,2005-02-24,58.603571428571435
169.4,2005-02-25,58.603571428571435
166.7,2005-02-26,58.603571428571435
222.4,2005-02-27,58.603571428571435
105.3,2005-02-28,58.603571428571435
198.9,2005-03-01,141.34193548387097
122.2,2005-03-02,141.34193548387097
262.0,2005-03-03,141.34193548387097
2.6,2005-03-04,141.34193548387097
1.5,2005-03-05,141.34193548387097
1.3,2005-03-06,141.34193548387097
4.0,2005-03-07,141.34193548387097
285.6,2005-03-08,141.34193548387097
289.2,2005-03-09,141.34193548387097
23.1,2005-03-10,141.34193548387097
304.8,2005-03-11,141.34193548387097
313.4,2005-03-12,141.34193548387097
259.7,2005-03-13,141.34193548387097
219.3,2005-03-14,141.34193548387097
216.6,2005-03-15,141.34193548387097
247.3,2005-03-16,141.34193548387097
42.3,2005-03-17,141.34193548387097
108.5,2005-03-18,141.34193548387097
76.9,2005-03-19,141.34193548387097
219.2,2005-03-20,141.34193548387097
266.7,2005-03-21,141.34193548387097
357.1,2005-03-22,141.34193548387097
7.0,2005-03-23,141.34193548387097
2.8,2005-03-24,141.34193548387097
6.4,2005-03-25,141.34193548387097
3.2,2005-03-26,141.34193548387097
2.5,2005-03-27,141.34193548387097
27.6,2005-03-28,141.34193548387097
224.7,2005-03-29,141.34193548387097
37.6,2005-03-30,141.34193548387097
247.6,2005-03-31,141.34193548387097
98.4,2005-04-01,181.15666666666667
93.6,2005-04-02,181.15666666666667
347.7,2005-04-03,181.15666666666667
149.8,2005-04-04,181.15666666666667
1.2,2005-04-05,181.15666666666667
305.4,2005-04-06,181.15666666666667
134.8,2005-04-07,181.15666666666667
1.1,2005-04-08,181.15666666666667
3.0,2005-04-09,181.15666666666667
272.3,2005-04-10,181.15666666666667
1.3,2005-04-11,181.15666666666667
59.0,2005-04-12,181.15666666666667
2.3,2005-04-13,181.15666666666667
1.8,2005-04-14,181.15666666666667
267.6,2005-04-15,181.15666666666667
38.1,2005-04-16,181.15666666666667
363.1,2005-04-17,181.15666666666667
129.7,2005-04-18,181.15666666666667
185.3,2005-04-19,181.15666666666667
302.0,2005-04-20,181.15666666666667
84.1,2005-04-21,181.15666666666667
137.3,2005-04-22,181.15666666666667
442.3,2005-04-23,181.15666666666667
451.9,2005-04-24,181.15666666666667
215.3,2005-04-25,181.15666666666667
493.6,2005-04-26,181.15666666666667
403.2,2005-04-27,181.15666666666667
216.4,2005-04-28,181.15666666666667
107.8,2005-04-29,181.15666666666667
125.3,2005-04-30,181.15666666666667
523.4,2005-05-01,183.848275862069
358.1,2005-05-02,183.848275862069
1.6,2005-05-03,183.848275862069
4.8,2005-05-04,183.848275862069
2.4,2005-05-05,183.848275862069
1.4,2005-05-06,183.848275862069
160.3,2005-05-07,183.848275862069
5.0,2005-05-08,183.848275862069
1.8,2005-05-09,183.848275862069
209.6,2005-05-10,183.848275862069
1.2,2005-05-11,183.848275862069
84.6,2005-05-12,183.848275862069
385.7,2005-05-13,183.848275862069
361.8,2005-05-14,183.848275862069
509.0,2005-05-15,183.848275862069
292.3,2005-05-16,183.848275862069
1.1,2005-05-17,183.848275862069
493.6,2005-05-18,183.848275862069
255.2,2005-05-19,183.848275862069
355.0,2005-05-20,183.848275862069
6.2,2005-05-21,183.848275862069
56.4,2005-05-22,183.848275862069
350.3,2005-05-23,183.848275862069
,2005-05-24,183.848275862069
,2005-05-25,183.848275862069
311.4,2005-05-26,183.848275862069
1.8,2005-05-27,183.848275862069
186.9,2005-05-28,183.848275862069
23.1,2005-05-29,183.848275862069
43.5,2005-05-30,183.848275862069
344.1,2005-05-31,183.848275862069
191.9,2005-06-01,207.95333333333335
165.6,2005-06-02,207.95333333333335
215.2,2005-06-03,207.95333333333335
288.9,2005-06-04,207.95333333333335
41.9,2005-06-05,207.95333333333335
50.8,2005-06-06,207.95333333333335
4.9,2005-06-07,207.95333333333335
172.0,2005-06-08,207.95333333333335
175.4,2005-06-09,207.95333333333335
64.7,2005-06-10,207.95333333333335
148.7,2005-06-11,207.95333333333335
278.1,2005-06-12,207.95333333333335
482.6,2005-06-13,207.95333333333335
237.9,2005-06-14,207.95333333333335
105.7,2005-06-15,207.95333333333335
272.7,2005-06-16,207.95333333333335
137.3,2005-06-17,207.95333333333335
399.3,2005-06-18,207.95333333333335
632.6,2005-06-19,207.95333333333335
353.2,2005-06-20,207.95333333333335
249.6,2005-06-21,207.95333333333335
7.4,2005-06-22,207.95333333333335
308.4,2005-06-23,207.95333333333335
106.2,2005-06-24,207.95333333333335
23.0,2005-06-25,207.95333333333335
183.6,2005-06-26,207.95333333333335
193.3,2005-06-27,207.95333333333335
23.8,2005-06-28,207.95333333333335
196.6,2005-06-29,207.95333333333335
527.3,2005-06-30,207.95333333333335
446.6,2005-07-01,266.98387096774195
