Date,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],cloud_cover_code,Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-02,3.1,16.0,-0.3,8.0,1.1,1,0
2005-01-03,0.4,19.0,-0.8,7.0,0.7,2,0
2005-01-04,1.5,20.0,-2.3,8.0,1.8,3,0
2005-01-05,4.3,20.0,-2.9,8.0,1.8,4,0
2005-01-06,4.0,34.0,-2.2,8.0,1.7,5,1
2005-01-07,7.6,35.0,0.5,8.0,0.9,6,2
2005-01-08,9.7,25.0,0.9,7.0,1.3,7,3
2005-01-09,4.2,20.0,0.2,8.0,1.3,8,0
2005-01-10,5.0,20.0,-1.5,8.0,2.1,9,0
2005-01-11,0.2,19.0,2.5,7.0,1.3,10,0
2005-01-12,0.2,19.0,0.5,1.0,1.3,11,0
2005-01-13,5.5,18.0,1.9,0.0,1.3,12,0
2005-01-14,0.0,17.0,-2.1,8.0,16.3,13,0
2005-01-15,1.5,17.0,-6.8,5.0,30.7,14,0
2005-01-16,2.0,18.0,-2.4,7.0,5.9,15,0
2005-01-17,0.4,16.0,1.7,8.0,2.1,16,0
2005-01-18,1.8,12.0,1.2,8.0,1.0,17,0
2005-01-19,7.3,12.0,-0.5,7.0,1.0,18,0
2005-01-20,4.3,23.0,-1.9,8.0,0.9,19,1
2005-01-21,3.8,21.0,-1.8,8.0,1.1,20,2
2005-01-22,1.6,28.0,-2.5,8.0,2.9,21,3
2005-01-23,0.8,30.0,-4.7,8.0,3.4,22,4
2005-01-24,0.2,30.0,-6.9,7.0,27.8,23,5
2005-01-25,0.0,28.0,-7.7,8.0,11.7,24,6
2005-01-26,3.4,26.0,-6.4,8.0,1.2,25,7
2005-01-27,0.4,29.0,-6.9,9.0,1.4,26,8
2005-01-28,0.4,29.0,-16.3,3.0,8.9,27,9
2005-01-29,0.7,30.0,-13.6,7.0,14.5,28,10
2005-01-30,8.2,30.0,-7.1,7.0,1.2,29,11
2005-01-31,1.6,37.0,-1.9,8.0,1.0,30,12
2005-02-01,0.5,37.0,-3.7,8.0,1.2,31,13
2005-02-02,0.2,37.0,-7.7,8.0,1.3,32,14
2005-02-03,0.7,37.0,-6.4,8.0,1.1,33,15
2005-02-04,1.2,37.0,-1.6,8.0,0.8,34,16
2005-02-05,2.1,38.0,0.5,8.0,35.1,35,17
2005-02-06,-1.0,28.0,0.0,8.0,102.4,36,18
2005-02-07,-1.0,28.0,-1.1,8.0,51.5,37,19
2005-02-08,0.0,28.0,-2.4,1.0,2.8,38,20
2005-02-09,0.0,28.0,-3.0,5.0,1.9,39,21
2005-02-10,3.4,28.0,-3.3,7.0,0.6,40,22
2005-02-11,0.8,28.0,-0.5,7.0,41.3,41,23
2005-02-12,0.0,30.0,-3.8,0.0,118.3,42,24
2005-02-13,0.1,30.0,-3.3,8.0,2.2,43,25
2005-02-14,1.1,29.0,-7.5,7.0,51.9,44,26
2005-02-15,0.0,30.0,-10.7,8.0,37.7,45,27
2005-02-16,0.0,30.0,-15.7,0.0,56.8,46,28
2005-02-17,0.3,30.0,-8.6,8.0,17.1,47,29
2005-02-18,2.3,30.0,-5.8,8.0,1.6,48,30
2005-02-19,1.1,33.0,-3.3,8.0,1.1,49,31
2005-02-20,0.2,36.0,-5.1,8.0,1.0,50,32
2005-02-21,0.6,36.0,-9.4,8.0,202.8,51,33
2005-02-22,-1.0,34.0,-16.0,7.0,220.5,52,34
2005-02-23,-1.0,34.0,-18.0,0.0,21.2,53,35
2005-02-24,0.0,34.0,-15.8,0.0,4.9,54,36
2005-02-25,0.0,34.0,-7.7,3.0,169.4,55,37
2005-02-26,0.1,34.0,-11.1,0.0,166.7,56,38
2005-02-27,0.5,33.0,-11.9,8.0,222.4,57,39
2005-02-28,0.1,34.0,-14.8,0.0,105.3,58,40
2005-03-01,0.0,34.0,-16.9,1.0,198.9,59,41
2005-03-02,0.0,34.0,-17.1,5.0,122.2,60,42
2005-03-03,0.1,34.0,-12.5,8.0,262.0,61,43
2005-03-04,0.2,35.0,-9.5,8.0,2.6,62,44
2005-03-05,0.0,35.0,-10.1,7.0,1.5,63,45
2005-03-06,0.0,35.0,-13.2,0.0,1.3,64,46
2005-03-07,2.8,34.0,-11.3,0.0,4.0,65,47
2005-03-08,0.5,38.0,-5.9,8.0,285.6,66,48
2005-03-09,-1.0,38.0,-12.0,1.0,289.2,67,49
2005-03-10,-1.0,38.0,-14.4,1.0,23.1,68,50
2005-03-11,0.0,38.0,-13.5,0.0,304.8,69,51
2005-03-12,0.1,38.0,-10.0,7.0,313.4,70,52
2005-03-13,0.0,38.0,-13.7,1.0,259.7,71,53
2005-03-14,0.2,37.0,-15.5,0.0,219.3,72,54
2005-03-15,0.0,37.0,-12.3,0.0,216.6,73,55
2005-03-16,0.0,38.0,-13.2,0.0,247.3,74,56
2005-03-17,2.4,38.0,-8.0,1.0,42.3,75,57
2005-03-18,0.1,42.0,-7.9,8.0,108.5,76,58
2005-03-19,-1.0,38.0,-7.1,0.0,76.9,77,59
2005-03-20,-1.0,38.0,-7.2,0.0,219.2,78,60
2005-03-21,-1.0,38.0,-4.8,0.0,266.7,79,61
2005-03-22,-1.0,38.0,-5.0,0.0,357.1,80,62
2005-03-23,-1.0,36.0,-2.1,8.0,7.0,81,63
2005-03-24,-1.0,32.0,2.7,8.0,2.8,82,64
2005-03-25,0.0,28.0,3.7,0.0,6.4,83,65
2005-03-26,-1.0,23.0,0.5,3.0,3.2,84,66
2005-03-27,-1.0,21.0,-0.9,5.0,2.5,85,67
2005-03-28,-1.0,21.0,-2.7,7.0,27.6,86,68
2005-03-29,-1.0,21.0,-1.1,0.0,224.7,87,69
2005-03-30,-1.0,21.0,-1.0,0.0,37.6,88,70
2005-03-31,-1.0,19.0,2.3,0.0,247.6,89,0
2005-04-01,-1.0,16.0,2.5,0.0,98.4,90,0
2005-04-02,-1.0,14.0,2.6,0.0,93.6,91,0
2005-04-03,-1.0,12.0,5.8,7.0,347.7,92,0
2005-04-04,-1.0,9.0,6.1,0.0,149.8,0,0
2005-04-05,0.5,4.0,7.1,0.0,1.2,0,0
2005-04-06,-1.0,0.0,4.0,0.0,305.4,0,0
2005-04-07,6.2,0.0,3.8,0.0,134.8,0,0
2005-04-08,0.1,0.0,4.4,7.0,1.1,0,0
2005-04-09,0.9,0.0,1.8,0.0,3.0,0,0
2005-04-10,-1.0,0.0,1.3,1.0,272.3,0,0
2005-04-11,2.3,0.0,1.9,0.0,1.3,0,0
2005-04-12,0.5,0.0,3.7,5.0,59.0,0,0
2005-04-13,0.0,0.0,6.4,7.0,2.3,0,0
2005-04-14,5.5,0.0,5.1,5.0,1.8,0,0
2005-04-15,0.5,-1.0,4.3,7.0,267.6,0,0
2005-04-16,-1.0,-1.0,5.3,0.0,38.1,0,0
2005-04-17,-1.0,-1.0,3.7,0.0,363.1,0,0
2005-04-18,0.0,-1.0,1.5,1.0,129.7,0,0
2005-04-19,0.0,0.0,-1.0,7.0,185.3,0,0
2005-04-20,0.0,-1.0,-1.3,1.0,302.0,0,0
2005-04-21,0.5,-1.0,-2.3,0.0,84.1,0,0
2005-04-22,0.0,0.0,-0.2,1.0,137.3,0,0
2005-04-23,-1.0,-1.0,0.4,7.0,442.3,0,0
2005-04-24,-1.0,-1.0,2.9,0.0,451.9,0,0
2005-04-25,-1.0,-1.0,4.4,0.0,215.3,0,0
2005-04-26,-1.0,-1.0,5.8,0.0,493.6,0,0
2005-04-27,-1.0,-1.0,5.8,0.0,403.2,0,0
2005-04-28,-1.0,-1.0,6.2,1.0,216.4,0,0
2005-04-29,0.0,-1.0,5.7,7.0,107.8,0,0
2005-04-30,0.4,-1.0,3.5,5.0,125.3,0,0
2005-05-01,0.0,0.0,1.1,7.0,523.4,0,0
2005-05-02,-1.0,-1.0,4.7,7.0,358.1,0,0
2005-05-03,1.9,-1.0,5.8,0.0,1.6,0,0
2005-05-04,0.0,-1.0,6.3,7.0,4.8,0,0
2005-05-05,0.1,-1.0,5.6,5.0,2.4,0,0
2005-05-06,-1.0,-1.0,8.2,7.0,1.4,0,0
2005-05-07,0.9,-1.0,6.7,9.0,160.3,0,0
2005-05-08,-1.0,-1.0,6.7,9.0,5.0,0,0
2005-05-09,-1.0,-1.0,7.6,1.0,1.8,0,0
2005-05-10,0.0,-1.0,6.9,0.0,209.6,0,0
2005-05-11,0.0,-1.0,8.0,3.0,1.2,0,0
2005-05-12,-1.0,-1.0,9.5,0.0,84.6,0,0
2005-05-13,-1.0,-1.0,9.9,0.0,385.7,0,0
2005-05-14,0.5,-1.0,8.9,0.0,361.8,0,0
2005-05-15,2.5,-1.0,6.0,0.0,509.0,0,0
2005-05-16,14.2,-1.0,7.7,3.0,292.3,0,0
2005-05-17,0.3,-1.0,7.6,7.0,1.1,0,0
2005-05-18,0.2,-1.0,5.5,8.0,493.6,0,0
2005-05-19,0.4,-1.0,6.5,1.0,255.2,0,0
2005-05-20,-1.0,-1.0,9.5,0.0,355.0,0,0
2005-05-21,-1.0,-1.0,13.3,0.0,6.2,0,0
2005-05-22,3.6,-1.0,14.9,3.0,56.4,0,0
2005-05-23,-1.0,-1.0,15.0,7.0,350.3,0,0
2005-05-24,4.3,-1.0,17.9,1.0,,0,0
2005-05-25,0.0,-1.0,13.9,8.0,,0,0
2005-05-26,6.4,-1.0,13.7,3.0,311.4,0,0
2005-05-27,-1.0,-1.0,14.0,7.0,1.8,0,0
2005-05-28,-1.0,-1.0,9.2,5.0,186.9,0,0
2005-05-29,0.0,-1.0,7.7,3.0,23.1,0,0
2005-05-30,0.0,-1.0,10.2,8.0,43.5,0,0
2005-05-31,-1.0,-1.0,9.4,8.0,344.1,0,0
2005-06-01,-1.0,-1.0,10.1,8.0,191.9,0,0
2005-06-02,-1.0,-1.0,10.9,0.0,165.6,0,0
2005-06-03,0.0,-1.0,11.3,0.0,215.2,0,0
2005-06-04,7.9,-1.0,10.2,0.0,288.9,0,0
2005-06-05,6.9,-1.0,13.2,8.0,41.9,0,0
2005-06-06,0.4,-1.0,10.6,7.0,50.8,0,0
2005-06-07,0.0,-1.0,11.1,7.0,4.9,0,0
2005-06-08,-1.0,-1.0,11.1,7.0,172.0,0,0
2005-06-09,-1.0,-1.0,12.7,0.0,175.4,0,0
2005-06-10,-1.0,-1.0,14.5,0.0,64.7,0,0
2005-06-11,4.3,-1.0,15.7,7.0,148.7,0,0
2005-06-12,7.7,-1.0,17.7,7.0,278.1,0,0
2005-06-13,14.7,-1.0,13.5,7.0,482.6,0,0
2005-06-14,0.0,-1.0,12.3,7.0,237.9,0,0
2005-06-15,0.0,-1.0,13.9,8.0,105.7,0,0
2005-06-16,-1.0,-1.0,13.9,0.0,272.7,0,0
