Date,cloud_cover_code,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-01,0.0,-1.0,55.0,-4.3,,1,1
2005-01-02,8.0,0.8,55.0,-1.8,1.1,2,2
2005-01-03,8.0,1.7,53.0,-2.7,0.7,3,3
2005-01-04,7.0,0.3,54.0,-2.1,1.8,4,4
2005-01-05,8.0,0.9,54.0,-3.8,1.8,5,5
2005-01-06,8.0,3.8,55.0,-4.8,1.7,6,6
2005-01-07,8.0,5.0,58.0,-2.2,0.9,7,7
2005-01-08,8.0,10.5,59.0,0.0,1.3,8,8
2005-01-09,7.0,4.5,60.0,-1.1,1.3,9,9
2005-01-10,7.0,3.8,65.0,-6.7,2.1,10,10
2005-01-11,9.0,2.9,66.0,-1.3,1.3,11,11
2005-01-12,8.0,0.6,68.0,-1.6,1.3,12,12
2005-01-13,7.0,2.3,65.0,1.1,1.3,13,13
2005-01-14,7.0,8.2,65.0,-0.9,16.3,14,14
2005-01-15,7.0,2.3,65.0,-9.9,30.7,15,15
2005-01-16,8.0,0.6,64.0,-9.1,5.9,16,16
2005-01-17,9.0,0.4,64.0,-0.7,2.1,17,17
2005-01-18,8.0,0.1,62.0,-0.6,1.0,18,18
2005-01-19,8.0,-1.0,62.0,-2.4,1.0,19,19
2005-01-20,7.0,1.3,62.0,-2.8,0.9,20,20
2005-01-21,8.0,0.7,62.0,-2.9,1.1,21,21
2005-01-22,8.0,0.8,62.0,-5.8,2.9,22,22
2005-01-23,8.0,1.0,62.0,-7.5,3.4,23,23
2005-01-24,8.0,3.9,63.0,-4.6,27.8,24,24
2005-01-25,7.0,0.3,67.0,-4.3,11.7,25,25
2005-01-26,8.0,2.0,67.0,-12.1,1.2,26,26
2005-01-27,8.0,0.5,70.0,-12.8,1.4,27,27
2005-01-28,8.0,1.3,70.0,-15.5,8.9,28,28
2005-01-29,8.0,0.9,71.0,-11.6,14.5,29,29
2005-01-30,9.0,16.0,72.0,-10.7,1.2,30,30
2005-01-31,9.0,6.5,78.0,-5.9,1.0,31,31
2005-02-01,8.0,2.5,83.0,-9.8,1.2,32,32
2005-02-02,8.0,0.3,88.0,-10.4,1.3,33,33
2005-02-03,8.0,0.5,88.0,-7.3,1.1,34,34
2005-02-04,7.0,3.6,85.0,-6.7,0.8,35,35
2005-02-05,8.0,3.9,87.0,-4.0,35.1,36,36
2005-02-06,8.0,0.3,84.0,-3.6,102.4,37,37
2005-02-07,9.0,-1.0,83.0,-5.4,51.5,38,38
2005-02-08,8.0,-1.0,83.0,-5.0,2.8,39,39
2005-02-09,7.0,0.1,81.0,-8.0,1.9,40,40
2005-02-10,0.0,2.6,80.0,-6.6,0.6,41,41
2005-02-11,7.0,0.7,81.0,-1.7,41.3,42,42
2005-02-12,8.0,0.5,81.0,-2.3,118.3,43,43
2005-02-13,8.0,-1.0,80.0,-3.5,2.2,44,44
2005-02-14,7.0,-1.0,79.0,-10.3,51.9,45,45
2005-02-15,5.0,-1.0,79.0,-10.9,37.7,46,46
2005-02-16,0.0,-1.0,78.0,-15.8,56.8,47,47
2005-02-17,8.0,-1.0,78.0,-9.3,17.1,48,48
2005-02-18,8.0,-1.0,78.0,-11.6,1.6,49,49
2005-02-19,7.0,-1.0,78.0,-7.3,1.1,50,50
2005-02-20,8.0,0.5,78.0,-8.8,1.0,51,51
2005-02-21,8.0,0.0,78.0,-12.7,202.8,52,52
2005-02-22,0.0,-1.0,78.0,-16.5,220.5,53,53
2005-02-23,0.0,-1.0,78.0,-18.5,21.2,54,54
2005-02-24,0.0,1.5,78.0,-13.5,4.9,55,55
2005-02-25,7.0,0.0,79.0,-9.0,169.4,56,56
2005-02-26,3.0,-1.0,79.0,-12.5,166.7,57,57
2005-02-27,1.0,1.2,79.0,-14.4,222.4,58,58
2005-02-28,7.0,0.0,80.0,-16.6,105.3,59,59
2005-03-01,0.0,0.0,80.0,-17.6,198.9,60,60
2005-03-02,7.0,0.0,80.0,-15.5,122.2,61,61
2005-03-03,7.0,0.0,80.0,-12.3,262.0,62,62
2005-03-04,0.0,-1.0,80.0,-10.7,2.6,63,63
2005-03-05,7.0,-1.0,80.0,-8.7,1.5,64,64
2005-03-06,0.0,-1.0,80.0,-11.0,1.3,65,65
2005-03-07,0.0,0.2,80.0,-13.0,4.0,66,66
2005-03-08,7.0,0.0,78.0,-8.3,285.6,67,67
2005-03-09,0.0,0.0,78.0,-12.8,289.2,68,68
2005-03-10,0.0,0.0,78.0,-13.5,23.1,69,69
2005-03-11,0.0,1.0,78.0,-11.5,304.8,70,70
2005-03-12,8.0,0.2,79.0,-11.1,313.4,71,71
2005-03-13,7.0,0.3,79.0,-13.1,259.7,72,72
2005-03-14,7.0,5.5,78.0,-11.9,219.3,73,73
2005-03-15,8.0,0.1,86.0,-10.4,216.6,74,74
2005-03-16,0.0,0.3,86.0,-13.6,247.3,75,75
2005-03-17,8.0,0.3,86.0,-10.4,42.3,76,76
2005-03-18,7.0,0.2,85.0,-10.4,108.5,77,77
2005-03-19,0.0,0.3,85.0,-7.5,76.9,78,78
2005-03-20,5.0,0.5,84.0,-7.3,219.2,79,79
2005-03-21,0.0,-1.0,83.0,-7.8,266.7,80,80
2005-03-22,7.0,0.0,82.0,-6.5,357.1,81,81
2005-03-23,7.0,2.1,81.0,-7.8,7.0,82,82
2005-03-24,8.0,-1.0,83.0,-0.9,2.8,83,83
