Date,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],cloud_cover_code,Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-02,0.4,27.0,-1.5,8.0,1.1,1,1
2005-01-03,1.5,26.0,-3.8,7.0,0.7,2,2
2005-01-04,0.2,28.0,-3.5,8.0,1.8,3,3
2005-01-05,0.2,28.0,-4.1,8.0,1.8,4,4
2005-01-06,0.2,28.0,-7.3,8.0,1.7,5,5
2005-01-07,5.2,27.0,-7.0,8.0,0.9,6,6
2005-01-08,0.6,34.0,-6.0,7.0,1.3,7,7
2005-01-09,0.0,34.0,-8.2,8.0,1.3,8,8
2005-01-10,0.2,33.0,-19.7,5.0,2.1,9,9
2005-01-11,2.5,32.0,-5.3,8.0,1.3,10,10
2005-01-12,3.4,34.0,-3.7,8.0,1.3,11,11
2005-01-13,6.7,37.0,-0.4,7.0,1.3,12,12
2005-01-14,-1.0,42.0,-5.7,8.0,16.3,13,13
2005-01-15,-1.0,41.0,-16.8,0.0,30.7,14,14
2005-01-16,5.5,38.0,-28.1,0.0,5.9,15,15
2005-01-17,0.7,44.0,-8.1,9.0,2.1,16,16
2005-01-18,0.0,43.0,0.4,7.0,1.0,17,17
2005-01-19,0.3,42.0,0.0,8.0,1.0,18,18
2005-01-20,3.6,41.0,-2.8,8.0,0.9,19,19
2005-01-21,1.4,42.0,-4.0,8.0,1.1,20,20
2005-01-22,0.4,44.0,-9.8,8.0,2.9,21,21
2005-01-23,0.4,44.0,-12.1,7.0,3.4,22,22
2005-01-24,3.2,45.0,-11.8,8.0,27.8,23,23
2005-01-25,0.6,50.0,-7.5,8.0,11.7,24,24
2005-01-26,0.9,50.0,-6.8,8.0,1.2,25,25
2005-01-27,0.7,49.0,-14.4,8.0,1.4,26,26
2005-01-28,0.4,49.0,-22.1,7.0,8.9,27,27
2005-01-29,1.5,50.0,-21.0,0.0,14.5,28,28
2005-01-30,2.4,51.0,-9.3,8.0,1.2,29,29
2005-01-31,0.2,52.0,-4.9,8.0,1.0,30,30
2005-02-01,0.3,51.0,-6.9,8.0,1.2,31,31
2005-02-02,0.1,49.0,-11.2,7.0,1.3,32,32
2005-02-03,0.4,50.0,-7.5,8.0,1.1,33,33
2005-02-04,1.4,50.0,-1.7,8.0,0.8,34,34
2005-02-05,6.7,49.0,-0.8,8.0,35.1,35,35
2005-02-06,-1.0,58.0,-9.0,7.0,102.4,36,36
2005-02-07,-1.0,57.0,-10.7,0.0,51.5,37,37
2005-02-08,-1.0,55.0,-3.9,7.0,2.8,38,38
2005-02-09,-1.0,54.0,-5.2,7.0,1.9,39,39
2005-02-10,2.0,53.0,-4.5,7.0,0.6,40,40
2005-02-11,0.4,54.0,-1.8,8.0,41.3,41,41
2005-02-12,-1.0,55.0,-3.3,7.0,118.3,42,42
2005-02-13,-1.0,53.0,-4.3,8.0,2.2,43,43
2005-02-14,-1.0,53.0,-7.2,8.0,51.9,44,44
2005-02-15,-1.0,51.0,-22.6,7.0,37.7,45,45
2005-02-16,-1.0,51.0,-20.6,7.0,56.8,46,46
2005-02-17,0.4,51.0,-19.5,0.0,17.1,47,47
2005-02-18,0.0,52.0,-10.4,8.0,1.6,48,48
2005-02-19,0.0,52.0,-11.2,8.0,1.1,49,49
2005-02-20,0.7,52.0,-10.3,8.0,1.0,50,50
2005-02-21,-1.0,53.0,-19.4,8.0,202.8,51,51
