Date,cloud_cover_code,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-01,0.0,0.3,5.0,1.2,,0,0
2005-01-02,7.0,3.4,5.0,1.8,1.1,0,0
2005-01-02,7.0,3.4,5.0,1.8,1.1,0,0
2005-01-03,7.0,0.4,5.0,1.3,0.7,0,0
2005-01-03,7.0,0.4,5.0,1.3,0.7,0,0
2005-01-04,8.0,5.3,6.0,0.1,1.8,0,0
2005-01-04,8.0,5.3,6.0,0.1,1.8,0,0
2005-01-05,7.0,3.1,8.0,0.7,1.8,0,0
2005-01-05,7.0,3.1,8.0,0.7,1.8,0,0
2005-01-06,8.0,2.0,9.0,1.6,1.7,0,0
2005-01-06,8.0,2.0,9.0,1.6,1.7,0,0
2005-01-07,7.0,3.3,6.0,3.9,0.9,0,0
2005-01-07,7.0,3.3,6.0,3.9,0.9,0,0
2005-01-08,7.0,9.1,2.0,4.6,1.3,0,0
2005-01-08,7.0,9.1,2.0,4.6,1.3,0,0
2005-01-09,7.0,0.4,-1.0,2.2,1.3,0,0
2005-01-09,7.0,0.4,-1.0,2.2,1.3,0,0
2005-01-10,7.0,6.0,-1.0,2.1,2.1,0,0
2005-01-10,7.0,6.0,-1.0,2.1,2.1,0,0
2005-01-11,7.0,-1.0,-1.0,5.0,1.3,0,0
2005-01-11,7.0,-1.0,-1.0,5.0,1.3,0,0
2005-01-12,3.0,1.7,-1.0,3.9,1.3,0,0
2005-01-12,3.0,1.7,-1.0,3.9,1.3,0,0
2005-01-13,1.0,3.8,-1.0,4.1,1.3,0,0
2005-01-13,1.0,3.8,-1.0,4.1,1.3,0,0
2005-01-14,8.0,0.1,-1.0,0.4,16.3,0,0
2005-01-14,8.0,0.1,-1.0,0.4,16.3,0,0
2005-01-15,0.0,0.2,-1.0,-3.6,30.7,0,0
2005-01-15,0.0,0.2,-1.0,-3.6,30.7,0,0
2005-01-16,7.0,3.6,0.0,1.9,5.9,0,0
2005-01-16,7.0,3.6,0.0,1.9,5.9,0,0
2005-01-17,8.0,-1.0,-1.0,3.5,2.1,0,0
2005-01-17,8.0,-1.0,-1.0,3.5,2.1,0,0
2005-01-18,8.0,0.1,-1.0,2.2,1.0,0,0
2005-01-18,8.0,0.1,-1.0,2.2,1.0,0,0
2005-01-19,8.0,2.2,-1.0,0.8,1.0,0,0
2005-01-19,8.0,2.2,-1.0,0.8,1.0,0,0
2005-01-20,8.0,11.5,4.0,0.3,0.9,0,0
2005-01-20,8.0,11.5,4.0,0.3,0.9,0,0
2005-01-21,7.0,9.1,19.0,0.4,1.1,1,0
2005-01-21,7.0,9.1,19.0,0.4,1.1,2,0
2005-01-22,8.0,1.9,17.0,0.1,2.9,3,0
2005-01-22,8.0,1.9,17.0,0.1,2.9,4,0
2005-01-23,8.0,6.1,20.0,-1.2,3.4,5,0
2005-01-23,8.0,6.1,20.0,-1.2,3.4,6,0
2005-01-24,7.0,1.3,24.0,-4.4,27.8,7,1
2005-01-24,7.0,1.3,24.0,-4.4,27.8,8,2
2005-01-25,7.0,1.8,24.0,-3.0,11.7,9,3
2005-01-25,7.0,1.8,24.0,-3.0,11.7,10,4
2005-01-26,7.0,1.3,27.0,-4.0,1.2,11,5
2005-01-26,7.0,1.3,27.0,-4.0,1.2,12,6
2005-01-27,7.0,0.2,26.0,-4.1,1.4,13,7
2005-01-27,7.0,0.2,26.0,-4.1,1.4,14,8
2005-01-28,7.0,2.0,26.0,-11.7,8.9,15,9
2005-01-28,7.0,2.0,26.0,-11.7,8.9,16,10
2005-01-29,7.0,0.6,30.0,-8.4,14.5,17,11
2005-01-29,7.0,0.6,30.0,-8.4,14.5,18,12
2005-01-30,7.0,7.1,29.0,-5.2,1.2,19,13
2005-01-30,7.0,7.1,29.0,-5.2,1.2,20,14
2005-01-31,7.0,2.9,28.0,0.0,1.0,21,15
2005-01-31,7.0,2.9,28.0,0.0,1.0,22,16
2005-02-01,8.0,1.5,28.0,-0.8,1.2,23,17
2005-02-01,8.0,1.5,28.0,-0.8,1.2,24,18
2005-02-02,8.0,0.1,29.0,-3.2,1.3,25,19
2005-02-02,8.0,0.1,29.0,-3.2,1.3,26,20
2005-02-03,8.0,0.0,28.0,-2.7,1.1,27,21
2005-02-03,8.0,0.0,28.0,-2.7,1.1,28,22
2005-02-04,8.0,0.4,27.0,-1.6,0.8,29,23
2005-02-04,8.0,0.4,27.0,-1.6,0.8,30,24
2005-02-05,7.0,0.6,26.0,-0.1,35.1,31,25
2005-02-05,7.0,0.6,26.0,-0.1,35.1,32,26
2005-02-06,8.0,0.0,24.0,1.8,102.4,33,27
2005-02-06,8.0,0.0,24.0,1.8,102.4,34,28
2005-02-07,8.0,-1.0,19.0,0.7,51.5,35,0
2005-02-07,8.0,-1.0,19.0,0.7,51.5,36,0
2005-02-08,7.0,-1.0,18.0,-0.4,2.8,37,0
2005-02-08,7.0,-1.0,18.0,-0.4,2.8,38,0
2005-02-09,0.0,-1.0,18.0,-1.6,1.9,39,0
2005-02-09,0.0,-1.0,18.0,-1.6,1.9,40,0
2005-02-10,0.0,4.4,18.0,-1.3,0.6,41,0
2005-02-10,0.0,4.4,18.0,-1.3,0.6,42,0
2005-02-11,7.0,0.2,20.0,1.1,41.3,43,0
2005-02-11,7.0,0.2,20.0,1.1,41.3,44,0
2005-02-12,0.0,0.0,19.0,0.4,118.3,45,0
2005-02-12,0.0,0.0,19.0,0.4,118.3,46,0
2005-02-13,8.0,4.9,18.0,-1.5,2.2,47,0
2005-02-13,8.0,4.9,18.0,-1.5,2.2,48,0
2005-02-14,7.0,2.3,23.0,-5.4,51.9,49,1
2005-02-14,7.0,2.3,23.0,-5.4,51.9,50,2
2005-02-15,8.0,0.0,25.0,-7.4,37.7,51,3
2005-02-15,8.0,0.0,25.0,-7.4,37.7,52,4
2005-02-16,0.0,0.0,24.0,-9.7,56.8,53,5
2005-02-16,0.0,0.0,24.0,-9.7,56.8,54,6
2005-02-17,7.0,0.0,24.0,-6.1,17.1,55,7
2005-02-17,7.0,0.0,24.0,-6.1,17.1,56,8
2005-02-18,8.0,2.0,23.0,-3.0,1.6,57,9
2005-02-18,8.0,2.0,23.0,-3.0,1.6,58,10
2005-02-19,8.0,0.2,25.0,-1.0,1.1,59,11
2005-02-19,8.0,0.2,25.0,-1.0,1.1,60,12
2005-02-20,8.0,0.3,25.0,-3.1,1.0,61,13
2005-02-20,8.0,0.3,25.0,-3.1,1.0,62,14
2005-02-21,7.0,0.3,25.0,-6.2,202.8,63,15
2005-02-21,7.0,0.3,25.0,-6.2,202.8,64,16
2005-02-22,0.0,0.2,25.0,-12.1,220.5,65,17
2005-02-22,0.0,0.2,25.0,-12.1,220.5,66,18
2005-02-23,8.0,0.1,26.0,-10.4,21.2,67,19
2005-02-23,8.0,0.1,26.0,-10.4,21.2,68,20
2005-02-24,7.0,0.0,25.0,-8.6,4.9,69,21
2005-02-24,7.0,0.0,25.0,-8.6,4.9,70,22
2005-02-25,0.0,0.0,25.0,-8.3,169.4,71,23
2005-02-25,0.0,0.0,25.0,-8.3,169.4,72,24
2005-02-26,0.0,0.0,24.0,-9.3,166.7,73,25
2005-02-26,0.0,0.0,24.0,-9.3,166.7,74,26
2005-02-27,7.0,0.0,24.0,-10.1,222.4,75,27
2005-02-27,7.0,0.0,24.0,-10.1,222.4,76,28
2005-02-28,0.0,-1.0,25.0,-12.2,105.3,77,29
2005-02-28,0.0,-1.0,25.0,-12.2,105.3,78,30
2005-03-01,0.0,-1.0,25.0,-13.2,198.9,79,31
2005-03-01,0.0,-1.0,25.0,-13.2,198.9,80,32
2005-03-02,1.0,0.0,25.0,-9.7,122.2,81,33
2005-03-02,1.0,0.0,25.0,-9.7,122.2,82,34
2005-03-03,7.0,0.1,24.0,-8.6,262.0,83,35
2005-03-03,7.0,0.1,24.0,-8.6,262.0,84,36
2005-03-04,0.0,0.0,25.0,-10.4,2.6,85,37
2005-03-04,0.0,0.0,25.0,-10.4,2.6,86,38
2005-03-05,7.0,-1.0,25.0,-6.4,1.5,87,39
2005-03-05,7.0,-1.0,25.0,-6.4,1.5,88,40
2005-03-06,0.0,-1.0,25.0,-6.3,1.3,89,41
2005-03-06,0.0,-1.0,25.0,-6.3,1.3,90,42
2005-03-07,8.0,0.7,25.0,-5.4,4.0,91,43
2005-03-07,8.0,0.7,25.0,-5.4,4.0,92,44
2005-03-08,7.0,0.0,27.0,-3.9,285.6,93,45
2005-03-08,7.0,0.0,27.0,-3.9,285.6,94,46
2005-03-09,0.0,-1.0,27.0,-9.0,289.2,95,47
2005-03-09,0.0,-1.0,27.0,-9.0,289.2,96,48
2005-03-10,0.0,-1.0,26.0,-9.7,23.1,97,49
2005-03-10,0.0,-1.0,26.0,-9.7,23.1,98,50
2005-03-11,0.0,0.2,26.0,-9.3,304.8,99,51
2005-03-11,0.0,0.2,26.0,-9.3,304.8,100,52
2005-03-12,8.0,0.1,26.0,-8.4,313.4,101,53
2005-03-12,8.0,0.1,26.0,-8.4,313.4,102,54
2005-03-13,1.0,-1.0,25.0,-10.0,259.7,103,55
2005-03-13,1.0,-1.0,25.0,-10.0,259.7,104,56
2005-03-14,0.0,-1.0,25.0,-10.6,219.3,105,57
2005-03-14,0.0,-1.0,25.0,-10.6,219.3,106,58
2005-03-15,0.0,-1.0,25.0,-9.3,216.6,107,59
2005-03-15,0.0,-1.0,25.0,-9.3,216.6,108,60
2005-03-16,0.0,2.2,25.0,-8.1,247.3,109,61
2005-03-16,0.0,2.2,25.0,-8.1,247.3,110,62
2005-03-17,0.0,3.6,29.0,-4.9,42.3,111,63
2005-03-17,0.0,3.6,29.0,-4.9,42.3,112,64
2005-03-18,9.0,0.0,31.0,-5.6,108.5,113,65
2005-03-18,9.0,0.0,31.0,-5.6,108.5,114,66
2005-03-19,9.0,-1.0,30.0,-5.9,76.9,115,67
