Date,cloud_cover_code,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-01,0.0,-1.0,24.0,-1.9,,1,1
2005-01-02,8.0,0.9,24.0,-0.2,1.1,2,2
2005-01-03,7.0,3.9,26.0,-0.8,0.7,3,3
2005-01-04,7.0,0.5,32.0,-2.2,1.8,4,4
2005-01-05,7.0,-1.0,32.0,-3.6,1.8,5,5
2005-01-06,8.0,1.2,32.0,-6.2,1.7,6,6
2005-01-07,7.0,4.8,33.0,-1.9,0.9,7,7
2005-01-08,8.0,4.9,30.0,0.7,1.3,8,8
2005-01-09,8.0,4.7,39.0,-1.0,1.3,9,9
2005-01-10,8.0,11.8,44.0,-3.6,2.1,10,10
2005-01-11,7.0,0.0,52.0,0.7,1.3,11,11
2005-01-12,0.0,0.9,50.0,-1.3,1.3,12,12
2005-01-13,7.0,4.1,48.0,1.9,1.3,13,13
2005-01-14,8.0,-1.0,43.0,-2.3,16.3,14,14
2005-01-15,3.0,-1.0,43.0,-7.8,30.7,15,15
2005-01-16,7.0,5.8,40.0,-5.8,5.9,16,16
2005-01-17,8.0,0.2,47.0,1.3,2.1,17,17
2005-01-18,7.0,0.8,40.0,1.0,1.0,18,18
2005-01-19,8.0,2.2,39.0,-0.6,1.0,19,19
2005-01-20,8.0,4.5,42.0,-2.0,0.9,20,20
2005-01-21,7.0,3.0,45.0,-2.0,1.1,21,21
2005-01-22,8.0,-1.0,47.0,-3.0,2.9,22,22
2005-01-23,8.0,0.6,45.0,-5.1,3.4,23,23
2005-01-24,8.0,4.3,45.0,-8.9,27.8,24,24
2005-01-25,7.0,-1.0,49.0,-9.4,11.7,25,25
2005-01-26,9.0,0.9,49.0,-8.0,1.2,26,26
2005-01-27,7.0,0.2,51.0,-9.0,1.4,27,27
2005-01-28,0.0,1.9,51.0,-19.0,8.9,28,28
2005-01-29,8.0,1.3,52.0,-14.3,14.5,29,29
2005-01-30,7.0,14.1,53.0,-8.6,1.2,30,30
2005-01-31,9.0,0.9,62.0,-3.1,1.0,31,31
2005-02-01,7.0,0.6,61.0,-6.1,1.2,32,32
2005-02-02,8.0,0.1,61.0,-12.8,1.3,33,33
2005-02-03,7.0,1.5,61.0,-8.6,1.1,34,34
2005-02-04,7.0,1.2,62.0,-1.9,0.8,35,35
2005-02-05,8.0,3.2,60.0,0.3,35.1,36,36
2005-02-06,8.0,0.2,54.0,-4.2,102.4,37,37
2005-02-07,8.0,-1.0,54.0,-4.2,51.5,38,38
2005-02-08,8.0,0.1,54.0,-4.8,2.8,39,39
2005-02-09,7.0,-1.0,54.0,-4.7,1.9,40,40
2005-02-10,8.0,2.1,54.0,-4.4,0.6,41,41
2005-02-11,8.0,0.1,56.0,0.1,41.3,42,42
2005-02-12,8.0,0.1,56.0,-3.8,118.3,43,43
2005-02-13,8.0,0.0,56.0,-2.8,2.2,44,44
2005-02-14,7.0,0.1,55.0,-7.8,51.9,45,45
2005-02-15,7.0,-1.0,55.0,-11.7,37.7,46,46
2005-02-16,8.0,0.0,55.0,-16.3,56.8,47,47
2005-02-17,0.0,0.3,55.0,-12.3,17.1,48,48
2005-02-18,8.0,0.2,57.0,-7.9,1.6,49,49
2005-02-19,7.0,1.8,57.0,-5.5,1.1,50,50
2005-02-20,8.0,0.8,63.0,-6.6,1.0,51,51
2005-02-21,8.0,-1.0,60.0,-10.4,202.8,52,52
2005-02-22,0.0,-1.0,60.0,-15.4,220.5,53,53
2005-02-23,0.0,0.0,59.0,-19.2,21.2,54,54
2005-02-24,3.0,0.4,59.0,-14.2,4.9,55,55
2005-02-25,8.0,-1.0,60.0,-7.5,169.4,56,56
2005-02-26,5.0,-1.0,57.0,-12.6,166.7,57,57
2005-02-27,7.0,0.1,57.0,-14.6,222.4,58,58
2005-02-28,5.0,0.0,58.0,-18.5,105.3,59,59
