Unnamed: 0,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
0,Ilomantsi Mekrijärvi,0.5,47.0,-11.0,2000-01-01
1,Ilomantsi Mekrijärvi,0.4,48.0,-11.2,2000-01-02
2,Ilomantsi Mekrijärvi,2.5,48.0,-10.2,2000-01-03
3,Ilomantsi Mekrijärvi,3.8,49.0,-7.3,2000-01-04
4,Ilomantsi Mekrijärvi,2.0,51.0,-5.1,2000-01-05
5,Ilomantsi Mekrijärvi,1.0,54.0,-3.3,2000-01-06
6,Ilomantsi Mekrijärvi,0.4,52.0,0.4,2000-01-07
7,Ilomantsi Mekrijärvi,0.2,48.0,0.7,2000-01-08
8,Ilomantsi Mekrijärvi,-1.0,36.0,2.0,2000-01-09
9,Ilomantsi Mekrijärvi,-1.0,36.0,-1.1,2000-01-10
10,Ilomantsi Mekrijärvi,0.9,36.0,-1.3,2000-01-11
11,Ilomantsi Mekrijärvi,0.6,36.0,0.4,2000-01-12
12,Ilomantsi Mekrijärvi,3.3,36.0,-1.3,2000-01-13
13,Ilomantsi Mekrijärvi,0.0,39.0,-4.5,2000-01-14
14,Ilomantsi Mekrijärvi,0.1,37.0,-4.8,2000-01-15
15,Ilomantsi Mekrijärvi,2.5,37.0,-3.3,2000-01-16
16,Ilomantsi Mekrijärvi,2.2,42.0,-1.6,2000-01-17
17,Ilomantsi Mekrijärvi,0.6,45.0,-7.0,2000-01-18
18,Ilomantsi Mekrijärvi,0.7,45.0,-13.2,2000-01-19
19,Ilomantsi Mekrijärvi,0.7,46.0,-18.8,2000-01-20
20,Ilomantsi Mekrijärvi,0.7,47.0,-14.3,2000-01-21
21,Ilomantsi Mekrijärvi,0.0,45.0,-13.3,2000-01-22
22,Ilomantsi Mekrijärvi,0.5,45.0,-21.9,2000-01-23
23,Ilomantsi Mekrijärvi,0.0,45.0,-20.7,2000-01-24
24,Ilomantsi Mekrijärvi,0.1,45.0,-20.1,2000-01-25
25,Ilomantsi Mekrijärvi,2.5,45.0,-13.3,2000-01-26
26,Ilomantsi Mekrijärvi,0.0,48.0,-8.1,2000-01-27
27,Ilomantsi Mekrijärvi,2.1,48.0,-8.3,2000-01-28
28,Ilomantsi Mekrijärvi,2.2,51.0,-11.4,2000-01-29
29,Ilomantsi Mekrijärvi,4.9,53.0,-0.5,2000-01-30
30,Ilomantsi Mekrijärvi,0.2,58.0,-6.8,2000-01-31
31,Ilomantsi Mekrijärvi,0.0,58.0,-5.2,2000-02-01
32,Ilomantsi Mekrijärvi,-1.0,58.0,-7.0,2000-02-02
33,Ilomantsi Mekrijärvi,0.4,58.0,-11.5,2000-02-03
34,Ilomantsi Mekrijärvi,4.5,58.0,-10.2,2000-02-04
35,Ilomantsi Mekrijärvi,0.0,63.0,-7.7,2000-02-05
36,Ilomantsi Mekrijärvi,5.9,63.0,-7.4,2000-02-06
37,Ilomantsi Mekrijärvi,1.3,64.0,-0.4,2000-02-07
38,Ilomantsi Mekrijärvi,0.2,64.0,0.6,2000-02-08
39,Ilomantsi Mekrijärvi,0.0,61.0,-1.3,2000-02-09
40,Ilomantsi Mekrijärvi,0.2,60.0,-6.7,2000-02-10
41,Ilomantsi Mekrijärvi,0.1,61.0,-0.3,2000-02-11
42,Ilomantsi Mekrijärvi,0.0,63.0,-2.1,2000-02-12
43,Ilomantsi Mekrijärvi,1.7,63.0,0.0,2000-02-13
44,Ilomantsi Mekrijärvi,2.2,64.0,-0.9,2000-02-14
45,Ilomantsi Mekrijärvi,0.9,66.0,-3.4,2000-02-15
46,Ilomantsi Mekrijärvi,0.4,68.0,-4.5,2000-02-16
47,Ilomantsi Mekrijärvi,5.9,68.0,-2.7,2000-02-17
48,Ilomantsi Mekrijärvi,4.6,77.0,-1.5,2000-02-18
49,Ilomantsi Mekrijärvi,0.2,77.0,-7.1,2000-02-19
50,Ilomantsi Mekrijärvi,0.2,77.0,-6.2,2000-02-20
51,Ilomantsi Mekrijärvi,0.1,75.0,-11.7,2000-02-21
52,Ilomantsi Mekrijärvi,0.2,75.0,-13.3,2000-02-22
53,Ilomantsi Mekrijärvi,-1.0,74.0,-17.7,2000-02-23
54,Ilomantsi Mekrijärvi,-1.0,74.0,-20.5,2000-02-24
55,Ilomantsi Mekrijärvi,-1.0,74.0,-20.6,2000-02-25
56,Ilomantsi Mekrijärvi,-1.0,74.0,-22.8,2000-02-26
57,Ilomantsi Mekrijärvi,10.1,74.0,-14.1,2000-02-27
58,Ilomantsi Mekrijärvi,1.4,79.0,0.4,2000-02-28
59,Ilomantsi Mekrijärvi,0.9,70.0,1.4,2000-02-29
60,Ilomantsi Mekrijärvi,2.3,66.0,1.2,2000-03-01
61,Ilomantsi Mekrijärvi,0.4,68.0,-1.1,2000-03-02
62,Ilomantsi Mekrijärvi,4.4,67.0,-4.4,2000-03-03
63,Ilomantsi Mekrijärvi,1.3,73.0,-1.3,2000-03-04
64,Ilomantsi Mekrijärvi,2.7,74.0,-3.8,2000-03-05
65,Ilomantsi Mekrijärvi,6.2,82.0,-6.0,2000-03-06
66,Ilomantsi Mekrijärvi,0.4,88.0,-3.9,2000-03-07
