"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Pello parish","2000","1","2","00:00","-"
"Pello parish","2000","1","3","00:00","-"
"Pello parish","2000","1","4","00:00","-"
"Pello parish","2000","1","5","00:00","-"
"Pello parish","2000","1","6","00:00","-"
"Pello parish","2000","1","7","00:00","-"
"Pello parish","2000","1","8","00:00","-"
"Pello parish","2000","1","9","00:00","-"
"Pello parish","2000","1","10","00:00","-"
"Pello parish","2000","1","11","00:00","-"
"Pello parish","2000","1","12","00:00","-"
"Pello parish","2000","1","13","00:00","-"
"Pello parish","2000","1","14","00:00","-"
"Pello parish","2000","1","15","00:00","-"
"Pello parish","2000","1","16","00:00","-"
"Pello parish","2000","1","17","00:00","-"
"Pello parish","2000","1","18","00:00","-"
"Pello parish","2000","1","19","00:00","-"
"Pello parish","2000","1","20","00:00","-"
"Pello parish","2000","1","21","00:00","-"
"Pello parish","2000","1","22","00:00","-"
"Pello parish","2000","1","23","00:00","-"
"Pello parish","2000","1","24","00:00","-"
"Pello parish","2000","1","25","00:00","-"
"Pello parish","2000","1","26","00:00","-"
"Pello parish","2000","1","27","00:00","-"
"Pello parish","2000","1","28","00:00","-"
"Pello parish","2000","1","29","00:00","-"
"Pello parish","2000","1","30","00:00","-"
"Pello parish","2000","1","31","00:00","-"
"Pello parish","2000","2","1","00:00","-"
"Pello parish","2000","2","2","00:00","-"
"Pello parish","2000","2","3","00:00","-"
"Pello parish","2000","2","4","00:00","-"
"Pello parish","2000","2","5","00:00","-"
"Pello parish","2000","2","6","00:00","-"
"Pello parish","2000","2","7","00:00","-"
"Pello parish","2000","2","8","00:00","-"
"Pello parish","2000","2","9","00:00","-"
"Pello parish","2000","2","10","00:00","-"
"Pello parish","2000","2","11","00:00","-"
"Pello parish","2000","2","12","00:00","-"
"Pello parish","2000","2","13","00:00","-"
"Pello parish","2000","2","14","00:00","-"
"Pello parish","2000","2","15","00:00","-"
"Pello parish","2000","2","16","00:00","-"
"Pello parish","2000","2","17","00:00","-"
"Pello parish","2000","2","18","00:00","-"
"Pello parish","2000","2","19","00:00","-"
"Pello parish","2000","2","20","00:00","-"
"Pello parish","2000","2","21","00:00","-"
"Pello parish","2000","2","22","00:00","-"
"Pello parish","2000","2","23","00:00","-"
"Pello parish","2000","2","24","00:00","-"
"Pello parish","2000","2","25","00:00","-"
"Pello parish","2000","2","26","00:00","-"
"Pello parish","2000","2","27","00:00","-"
"Pello parish","2000","2","28","00:00","-"
"Pello parish","2000","2","29","00:00","-"
"Pello parish","2000","3","1","00:00","-"
"Pello parish","2000","3","2","00:00","-"
"Pello parish","2000","3","3","00:00","-"
"Pello parish","2000","3","4","00:00","-"
"Pello parish","2000","3","5","00:00","-"
"Pello parish","2000","3","6","00:00","-"
"Pello parish","2000","3","7","00:00","-"
"Pello parish","2000","3","8","00:00","-"
"Pello parish","2000","3","9","00:00","-"
"Pello parish","2000","3","10","00:00","-"
"Pello parish","2000","3","11","00:00","-"
"Pello parish","2000","3","12","00:00","-"
"Pello parish","2000","3","13","00:00","-"
"Pello parish","2000","3","14","00:00","-"
"Pello parish","2000","3","15","00:00","-"
"Pello parish","2000","3","16","00:00","-"
"Pello parish","2000","3","17","00:00","-"
"Pello parish","2000","3","18","00:00","-"
"Pello parish","2000","3","19","00:00","-"
"Pello parish","2000","3","20","00:00","-"
"Pello parish","2000","3","21","00:00","-"
"Pello parish","2000","3","22","00:00","-"
"Pello parish","2000","3","23","00:00","-"
"Pello parish","2000","3","24","00:00","-"
"Pello parish","2000","3","25","00:00","-"
"Pello parish","2000","3","26","00:00","-"
"Pello parish","2000","3","27","00:00","-"
"Pello parish","2000","3","28","00:00","-"
"Pello parish","2000","3","29","00:00","-"
"Pello parish","2000","3","30","00:00","-"
"Pello parish","2000","3","31","00:00","-"
"Pello parish","2000","4","1","00:00","-"
"Pello parish","2000","4","2","00:00","-"
"Pello parish","2000","4","3","00:00","-"
"Pello parish","2000","4","4","00:00","-"
"Pello parish","2000","4","5","00:00","-"
"Pello parish","2000","4","6","00:00","-"
"Pello parish","2000","4","7","00:00","-"
"Pello parish","2000","4","8","00:00","-"
"Pello parish","2000","4","9","00:00","-"
"Pello parish","2000","4","10","00:00","-"
"Pello parish","2000","4","11","00:00","-"
"Pello parish","2000","4","12","00:00","-"
"Pello parish","2000","4","13","00:00","-"
"Pello parish","2000","4","14","00:00","-"
"Pello parish","2000","4","15","00:00","-"
"Pello parish","2000","4","16","00:00","-"
"Pello parish","2000","4","17","00:00","-"
"Pello parish","2000","4","18","00:00","-"
"Pello parish","2000","4","19","00:00","-"
"Pello parish","2000","4","20","00:00","-"
"Pello parish","2000","4","21","00:00","-"
"Pello parish","2000","4","22","00:00","-"
"Pello parish","2000","4","23","00:00","-"
"Pello parish","2000","4","24","00:00","-"
"Pello parish","2000","4","25","00:00","-"
"Pello parish","2000","4","26","00:00","-"
"Pello parish","2000","4","27","00:00","-"
"Pello parish","2000","4","28","00:00","-"
"Pello parish","2000","4","29","00:00","-"
"Pello parish","2000","4","30","00:00","-"
"Pello parish","2000","5","1","00:00","-"
"Pello parish","2000","5","2","00:00","-"
"Pello parish","2000","5","3","00:00","-"
"Pello parish","2000","5","4","00:00","-"
"Pello parish","2000","5","5","00:00","-"
"Pello parish","2000","5","6","00:00","-"
"Pello parish","2000","5","7","00:00","-"
"Pello parish","2000","5","8","00:00","-"
"Pello parish","2000","5","9","00:00","-"
"Pello parish","2000","5","10","00:00","-"
"Pello parish","2000","5","11","00:00","-"
"Pello parish","2000","5","12","00:00","-"
"Pello parish","2000","5","13","00:00","-"
"Pello parish","2000","5","14","00:00","-"
"Pello parish","2000","5","15","00:00","-"
