"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Kolari Kattilamaa","2000","1","1","02:00","1.1","36","-"
"Kolari Kattilamaa","2000","1","2","02:00","3","37","-"
"Kolari Kattilamaa","2000","1","3","02:00","1.7","38","-"
"Kolari Kattilamaa","2000","1","4","02:00","4.7","38","-"
"Kolari Kattilamaa","2000","1","5","02:00","-1","39","-"
"Kolari Kattilamaa","2000","1","6","02:00","1.9","39","-"
"Kolari Kattilamaa","2000","1","7","02:00","2.6","40","-"
"Kolari Kattilamaa","2000","1","8","02:00","6.5","41","-"
"Kolari Kattilamaa","2000","1","9","02:00","-1","47","-"
"Kolari Kattilamaa","2000","1","10","02:00","0.6","47","-"
"Kolari Kattilamaa","2000","1","11","02:00","0.1","47","-"
"Kolari Kattilamaa","2000","1","12","02:00","6.5","47","-"
"Kolari Kattilamaa","2000","1","13","02:00","0","49","-"
"Kolari Kattilamaa","2000","1","14","02:00","-1","49","-"
"Kolari Kattilamaa","2000","1","15","02:00","0.6","49","-"
"Kolari Kattilamaa","2000","1","16","02:00","6.6","49","-"
"Kolari Kattilamaa","2000","1","17","02:00","0.1","54","-"
"Kolari Kattilamaa","2000","1","18","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","19","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","20","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","21","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","22","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","23","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","24","02:00","2","54","-"
"Kolari Kattilamaa","2000","1","25","02:00","0.7","54","-"
"Kolari Kattilamaa","2000","1","26","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","27","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","28","02:00","-1","54","-"
"Kolari Kattilamaa","2000","1","29","02:00","10.2","54","-"
"Kolari Kattilamaa","2000","1","30","02:00","7.1","60","-"
"Kolari Kattilamaa","2000","1","31","02:00","4.5","65","-"
"Kolari Kattilamaa","2000","2","1","02:00","0.3","70","-"
"Kolari Kattilamaa","2000","2","2","02:00","-1","70","-"
"Kolari Kattilamaa","2000","2","3","02:00","-1","70","-"
"Kolari Kattilamaa","2000","2","4","02:00","2","70","-"
"Kolari Kattilamaa","2000","2","5","02:00","-1","70","-"
"Kolari Kattilamaa","2000","2","6","02:00","10.8","70","-"
"Kolari Kattilamaa","2000","2","7","02:00","6","75","-"
"Kolari Kattilamaa","2000","2","8","02:00","1","78","-"
"Kolari Kattilamaa","2000","2","9","02:00","-1","78","-"
"Kolari Kattilamaa","2000","2","10","02:00","2.5","78","-"
"Kolari Kattilamaa","2000","2","11","02:00","-1","79","-"
"Kolari Kattilamaa","2000","2","12","02:00","-1","79","-"
"Kolari Kattilamaa","2000","2","13","02:00","1.8","78","-"
