,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
0,Helsinki Kaisaniemi,3.1,16,-5.3,2000-01-01
1,Helsinki Kaisaniemi,6.6,16,-0.6,2000-01-02
2,Helsinki Kaisaniemi,0.1,22,0.0,2000-01-03
3,Helsinki Kaisaniemi,1.7,16,2.4,2000-01-04
4,Helsinki Kaisaniemi,0.1,14,0.8,2000-01-05
5,Helsinki Kaisaniemi,3.6,11,1.4,2000-01-06
6,Helsinki Kaisaniemi,0.3,9,2.2,2000-01-07
7,Helsinki Kaisaniemi,0.0,7,4.1,2000-01-08
8,Helsinki Kaisaniemi,-1.0,0,3.8,2000-01-09
9,Helsinki Kaisaniemi,-1.0,0,0.3,2000-01-10
10,Helsinki Kaisaniemi,0.0,0,3.3,2000-01-11
11,Helsinki Kaisaniemi,1.4,0,3.5,2000-01-12
12,Helsinki Kaisaniemi,1.6,-1,3.3,2000-01-13
13,Helsinki Kaisaniemi,-1.0,-1,0.3,2000-01-14
14,Helsinki Kaisaniemi,0.0,-1,-1.9,2000-01-15
15,Helsinki Kaisaniemi,1.0,-1,0.9,2000-01-16
16,Helsinki Kaisaniemi,0.0,-1,0.9,2000-01-17
17,Helsinki Kaisaniemi,0.0,0,-3.9,2000-01-18
18,Helsinki Kaisaniemi,0.1,0,-7.1,2000-01-19
19,Helsinki Kaisaniemi,7.4,2,-6.8,2000-01-20
20,Helsinki Kaisaniemi,-1.0,13,-12.0,2000-01-21
21,Helsinki Kaisaniemi,-1.0,12,-11.3,2000-01-22
22,Helsinki Kaisaniemi,0.1,11,-13.0,2000-01-23
23,Helsinki Kaisaniemi,-1.0,11,-13.3,2000-01-24
24,Helsinki Kaisaniemi,2.2,9,-11.0,2000-01-25
25,Helsinki Kaisaniemi,1.0,15,-1.5,2000-01-26
26,Helsinki Kaisaniemi,3.3,15,-0.9,2000-01-27
27,Helsinki Kaisaniemi,-1.0,20,-2.9,2000-01-28
28,Helsinki Kaisaniemi,5.6,17,-1.4,2000-01-29
29,Helsinki Kaisaniemi,1.5,13,0.9,2000-01-30
30,Helsinki Kaisaniemi,-1.0,10,-3.5,2000-01-31
31,Helsinki Kaisaniemi,1.6,10,-2.2,2000-02-01
32,Helsinki Kaisaniemi,2.0,13,-2.6,2000-02-02
33,Helsinki Kaisaniemi,0.0,16,-6.9,2000-02-03
34,Helsinki Kaisaniemi,3.0,15,-1.8,2000-02-04
35,Helsinki Kaisaniemi,0.0,17,-1.7,2000-02-05
36,Helsinki Kaisaniemi,2.4,17,1.2,2000-02-06
37,Helsinki Kaisaniemi,4.4,13,1.5,2000-02-07
38,Helsinki Kaisaniemi,0.6,9,1.9,2000-02-08
39,Helsinki Kaisaniemi,0.6,8,0.9,2000-02-09
40,Helsinki Kaisaniemi,1.1,8,-0.3,2000-02-10
41,Helsinki Kaisaniemi,-1.0,8,2.2,2000-02-11
42,Helsinki Kaisaniemi,-1.0,8,1.8,2000-02-12
43,Helsinki Kaisaniemi,3.3,7,1.5,2000-02-13
44,Helsinki Kaisaniemi,0.0,8,0.6,2000-02-14
45,Helsinki Kaisaniemi,2.7,7,-0.3,2000-02-15
46,Helsinki Kaisaniemi,1.0,9,0.4,2000-02-16
47,Helsinki Kaisaniemi,6.6,10,0.7,2000-02-17
48,Helsinki Kaisaniemi,0.1,12,-1.5,2000-02-18
49,Helsinki Kaisaniemi,0.1,12,-2.3,2000-02-19
50,Helsinki Kaisaniemi,0.1,12,-3.2,2000-02-20
51,Helsinki Kaisaniemi,-1.0,12,-4.5,2000-02-21
52,Helsinki Kaisaniemi,0.0,12,-7.2,2000-02-22
53,Helsinki Kaisaniemi,0.0,12,-10.0,2000-02-23
54,Helsinki Kaisaniemi,0.1,12,-9.5,2000-02-24
55,Helsinki Kaisaniemi,4.5,12,-4.5,2000-02-25
56,Helsinki Kaisaniemi,0.3,19,-5.8,2000-02-26
57,Helsinki Kaisaniemi,2.5,19,-1.4,2000-02-27
58,Helsinki Kaisaniemi,4.1,14,2.7,2000-02-28
59,Helsinki Kaisaniemi,-1.0,6,2.5,2000-02-29
60,Helsinki Kaisaniemi,1.9,5,2.0,2000-03-01
61,Helsinki Kaisaniemi,0.5,0,1.0,2000-03-02
62,Helsinki Kaisaniemi,11.7,0,0.4,2000-03-03
63,Helsinki Kaisaniemi,0.6,8,-0.9,2000-03-04
64,Helsinki Kaisaniemi,0.1,9,-4.6,2000-03-05
65,Helsinki Kaisaniemi,6.0,9,-3.9,2000-03-06
66,Helsinki Kaisaniemi,-1.0,10,1.3,2000-03-07
67,Helsinki Kaisaniemi,0.0,10,-1.9,2000-03-08
68,Helsinki Kaisaniemi,0.0,9,-3.5,2000-03-09
69,Helsinki Kaisaniemi,-1.0,9,-2.9,2000-03-10
70,Helsinki Kaisaniemi,-1.0,9,-4.2,2000-03-11
71,Helsinki Kaisaniemi,-1.0,9,-3.9,2000-03-12
72,Helsinki Kaisaniemi,4.9,9,-1.3,2000-03-13
73,Helsinki Kaisaniemi,0.7,8,1.7,2000-03-14
74,Helsinki Kaisaniemi,-1.0,7,0.2,2000-03-15
75,Helsinki Kaisaniemi,2.2,7,-1.3,2000-03-16
76,Helsinki Kaisaniemi,0.2,9,0.6,2000-03-17
77,Helsinki Kaisaniemi,0.0,7,0.9,2000-03-18
78,Helsinki Kaisaniemi,0.0,7,-1.0,2000-03-19
79,Helsinki Kaisaniemi,-1.0,7,1.2,2000-03-20
80,Helsinki Kaisaniemi,0.1,6,3.6,2000-03-21
81,Helsinki Kaisaniemi,0.0,2,2.2,2000-03-22
82,Helsinki Kaisaniemi,-1.0,0,1.1,2000-03-23
83,Helsinki Kaisaniemi,-1.0,0,1.9,2000-03-24
84,Helsinki Kaisaniemi,-1.0,0,0.6,2000-03-25
85,Helsinki Kaisaniemi,-1.0,0,-1.3,2000-03-26
86,Helsinki Kaisaniemi,-1.0,0,-1.7,2000-03-27
87,Helsinki Kaisaniemi,-1.0,0,-1.4,2000-03-28
88,Helsinki Kaisaniemi,-1.0,0,-0.1,2000-03-29
89,Helsinki Kaisaniemi,-1.0,0,2.4,2000-03-30
90,Helsinki Kaisaniemi,0.6,0,4.4,2000-03-31
91,Helsinki Kaisaniemi,0.7,-1,2.7,2000-04-01
92,Helsinki Kaisaniemi,1.0,-1,-0.8,2000-04-02
93,Helsinki Kaisaniemi,0.4,3,0.0,2000-04-03
94,Helsinki Kaisaniemi,15.9,-1,1.6,2000-04-04
95,Helsinki Kaisaniemi,2.2,-1,2.5,2000-04-05
96,Helsinki Kaisaniemi,-1.0,-1,1.9,2000-04-06
97,Helsinki Kaisaniemi,-1.0,-1,3.4,2000-04-07
98,Helsinki Kaisaniemi,-1.0,-1,3.0,2000-04-08
99,Helsinki Kaisaniemi,-1.0,-1,2.8,2000-04-09
100,Helsinki Kaisaniemi,4.0,-1,3.3,2000-04-10
101,Helsinki Kaisaniemi,0.9,-1,3.2,2000-04-11
102,Helsinki Kaisaniemi,-1.0,-1,4.7,2000-04-12
103,Helsinki Kaisaniemi,10.4,-1,3.0,2000-04-13
104,Helsinki Kaisaniemi,2.2,-1,4.0,2000-04-14
105,Helsinki Kaisaniemi,0.0,-1,3.5,2000-04-15
106,Helsinki Kaisaniemi,3.1,-1,6.4,2000-04-16
107,Helsinki Kaisaniemi,0.9,-1,4.7,2000-04-17
108,Helsinki Kaisaniemi,0.0,-1,3.5,2000-04-18
109,Helsinki Kaisaniemi,0.0,-1,9.3,2000-04-19
