"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2020","1","2","00:00","3.5"
"Jokioinen Ilmala","2020","1","3","00:00","0.3"
"Jokioinen Ilmala","2020","1","4","00:00","10.2"
"Jokioinen Ilmala","2020","1","5","00:00","58.9"
"Jokioinen Ilmala","2020","1","6","00:00","1.2"
"Jokioinen Ilmala","2020","1","7","00:00","0.6"
"Jokioinen Ilmala","2020","1","8","00:00","0"
"Jokioinen Ilmala","2020","1","9","00:00","69.8"
"Jokioinen Ilmala","2020","1","10","00:00","74.1"
"Jokioinen Ilmala","2020","1","11","00:00","11.7"
"Jokioinen Ilmala","2020","1","12","00:00","0.9"
"Jokioinen Ilmala","2020","1","13","00:00","1.3"
"Jokioinen Ilmala","2020","1","14","00:00","0.7"
"Jokioinen Ilmala","2020","1","15","00:00","0.4"
"Jokioinen Ilmala","2020","1","16","00:00","0.6"
"Jokioinen Ilmala","2020","1","17","00:00","-"
"-","2020","1","18","00:00","-"
"-","2020","1","19","00:00","-"
"-","2020","1","20","00:00","-"
"Jokioinen Ilmala","2020","1","21","00:00","78.1"
"Jokioinen Ilmala","2020","1","22","00:00","85.3"
"Jokioinen Ilmala","2020","1","23","00:00","5.3"
"Jokioinen Ilmala","2020","1","24","00:00","28.3"
"Jokioinen Ilmala","2020","1","25","00:00","31.8"
"Jokioinen Ilmala","2020","1","26","00:00","20.4"
"Jokioinen Ilmala","2020","1","27","00:00","0.1"
"Jokioinen Ilmala","2020","1","28","00:00","0.5"
"Jokioinen Ilmala","2020","1","29","00:00","0"
"Jokioinen Ilmala","2020","1","30","00:00","0.1"
"Jokioinen Ilmala","2020","1","31","00:00","0.6"
"Jokioinen Ilmala","2020","2","1","00:00","0.6"
"Jokioinen Ilmala","2020","2","2","00:00","4.1"
"Jokioinen Ilmala","2020","2","3","00:00","133.4"
"Jokioinen Ilmala","2020","2","4","00:00","166"
"Jokioinen Ilmala","2020","2","5","00:00","33.3"
"Jokioinen Ilmala","2020","2","6","00:00","192.4"
"Jokioinen Ilmala","2020","2","7","00:00","10.6"
"Jokioinen Ilmala","2020","2","8","00:00","1"
"Jokioinen Ilmala","2020","2","9","00:00","0.6"
