"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2007","1","2","00:00","1.9"
"Sodankylä Tähtelä","2007","1","3","00:00","2.8"
"Sodankylä Tähtelä","2007","1","4","00:00","1.8"
"Sodankylä Tähtelä","2007","1","5","00:00","1.3"
"Sodankylä Tähtelä","2007","1","6","00:00","2.7"
"Sodankylä Tähtelä","2007","1","7","00:00","3.4"
"Sodankylä Tähtelä","2007","1","8","00:00","1.3"
"Sodankylä Tähtelä","2007","1","9","00:00","1.1"
"Sodankylä Tähtelä","2007","1","10","00:00","1.2"
"Sodankylä Tähtelä","2007","1","11","00:00","23.5"
"Sodankylä Tähtelä","2007","1","12","00:00","20.1"
"Sodankylä Tähtelä","2007","1","13","00:00","2.5"
"Sodankylä Tähtelä","2007","1","14","00:00","4.2"
"Sodankylä Tähtelä","2007","1","15","00:00","4"
"Sodankylä Tähtelä","2007","1","16","00:00","1"
"Sodankylä Tähtelä","2007","1","17","00:00","2.4"
"Sodankylä Tähtelä","2007","1","18","00:00","2.3"
"Sodankylä Tähtelä","2007","1","19","00:00","23.8"
"Sodankylä Tähtelä","2007","1","20","00:00","11.4"
"Sodankylä Tähtelä","2007","1","21","00:00","4.7"
"Sodankylä Tähtelä","2007","1","22","00:00","35"
"Sodankylä Tähtelä","2007","1","23","00:00","4.1"
"Sodankylä Tähtelä","2007","1","24","00:00","4.7"
"Sodankylä Tähtelä","2007","1","25","00:00","2.2"
"Sodankylä Tähtelä","2007","1","26","00:00","2.2"
"Sodankylä Tähtelä","2007","1","27","00:00","2.6"
"Sodankylä Tähtelä","2007","1","28","00:00","2.3"
"Sodankylä Tähtelä","2007","1","29","00:00","4.5"
"Sodankylä Tähtelä","2007","1","30","00:00","3.2"
"Sodankylä Tähtelä","2007","1","31","00:00","4.3"
"Sodankylä Tähtelä","2007","2","1","00:00","3.6"
"Sodankylä Tähtelä","2007","2","2","00:00","1.8"
"Sodankylä Tähtelä","2007","2","3","00:00","1"
"Sodankylä Tähtelä","2007","2","4","00:00","1.2"
"Sodankylä Tähtelä","2007","2","5","00:00","3.3"
"Sodankylä Tähtelä","2007","2","6","00:00","5.2"
"Sodankylä Tähtelä","2007","2","7","00:00","4.4"
"Sodankylä Tähtelä","2007","2","8","00:00","2.9"
"Sodankylä Tähtelä","2007","2","9","00:00","3.2"
"Sodankylä Tähtelä","2007","2","10","00:00","3.1"
"Sodankylä Tähtelä","2007","2","11","00:00","3.5"
"Sodankylä Tähtelä","2007","2","12","00:00","3.8"
"Sodankylä Tähtelä","2007","2","13","00:00","3.6"
"Sodankylä Tähtelä","2007","2","14","00:00","1.6"
"Sodankylä Tähtelä","2007","2","15","00:00","0.2"
"Sodankylä Tähtelä","2007","2","16","00:00","0.5"
"Sodankylä Tähtelä","2007","2","17","00:00","-0.1"
"Sodankylä Tähtelä","2007","2","18","00:00","0.6"
"Sodankylä Tähtelä","2007","2","19","00:00","0.7"
"Sodankylä Tähtelä","2007","2","20","00:00","27.6"
"Sodankylä Tähtelä","2007","2","21","00:00","177.6"
"Sodankylä Tähtelä","2007","2","22","00:00","142.1"
"Sodankylä Tähtelä","2007","2","23","00:00","79.1"
"Sodankylä Tähtelä","2007","2","24","00:00","1.9"
"Sodankylä Tähtelä","2007","2","25","00:00","1.4"
"Sodankylä Tähtelä","2007","2","26","00:00","2"
"Sodankylä Tähtelä","2007","2","27","00:00","34.4"
"Sodankylä Tähtelä","2007","2","28","00:00","15.3"
"Sodankylä Tähtelä","2007","3","1","00:00","1.5"
"Sodankylä Tähtelä","2007","3","2","00:00","0.6"
"Sodankylä Tähtelä","2007","3","3","00:00","227.8"
"Sodankylä Tähtelä","2007","3","4","00:00","72.9"
"Sodankylä Tähtelä","2007","3","5","00:00","46.1"
"Sodankylä Tähtelä","2007","3","6","00:00","2.8"
"Sodankylä Tähtelä","2007","3","7","00:00","2"
"Sodankylä Tähtelä","2007","3","8","00:00","1.2"
"Sodankylä Tähtelä","2007","3","9","00:00","1.1"
"Sodankylä Tähtelä","2007","3","10","00:00","1.7"
"Sodankylä Tähtelä","2007","3","11","00:00","1.9"
"Sodankylä Tähtelä","2007","3","12","00:00","130.1"
"Sodankylä Tähtelä","2007","3","13","00:00","1.6"
"Sodankylä Tähtelä","2007","3","14","00:00","173.3"
"Sodankylä Tähtelä","2007","3","15","00:00","232.5"
"Sodankylä Tähtelä","2007","3","16","00:00","31.6"
"Sodankylä Tähtelä","2007","3","17","00:00","28.6"
"Sodankylä Tähtelä","2007","3","18","00:00","1.6"
"Sodankylä Tähtelä","2007","3","19","00:00","1"
"Sodankylä Tähtelä","2007","3","20","00:00","18.2"
"Sodankylä Tähtelä","2007","3","21","00:00","349.8"
"Sodankylä Tähtelä","2007","3","22","00:00","87.1"
"Sodankylä Tähtelä","2007","3","23","00:00","241"
"Sodankylä Tähtelä","2007","3","24","00:00","249.8"
"Sodankylä Tähtelä","2007","3","25","00:00","73.1"
"Sodankylä Tähtelä","2007","3","26","00:00","278.2"
"Sodankylä Tähtelä","2007","3","27","00:00","305.3"
"Sodankylä Tähtelä","2007","3","28","00:00","-"
"-","2007","3","29","00:00","-"
"Sodankylä Tähtelä","2007","3","30","00:00","234.8"
"Sodankylä Tähtelä","2007","3","31","00:00","15.8"
"Sodankylä Tähtelä","2007","4","1","00:00","2.5"
"Sodankylä Tähtelä","2007","4","2","00:00","150.1"
"Sodankylä Tähtelä","2007","4","3","00:00","233.6"
"Sodankylä Tähtelä","2007","4","4","00:00","27.6"
"Sodankylä Tähtelä","2007","4","5","00:00","164.2"
"Sodankylä Tähtelä","2007","4","6","00:00","154.9"
"Sodankylä Tähtelä","2007","4","7","00:00","149.4"
"Sodankylä Tähtelä","2007","4","8","00:00","323.4"
"Sodankylä Tähtelä","2007","4","9","00:00","420.2"
"Sodankylä Tähtelä","2007","4","10","00:00","256.7"
