"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2009","1","2","00:00","2.2"
"Sodankylä Tähtelä","2009","1","3","00:00","2.1"
"Sodankylä Tähtelä","2009","1","4","00:00","4.9"
"Sodankylä Tähtelä","2009","1","5","00:00","2.6"
"Sodankylä Tähtelä","2009","1","6","00:00","1.6"
"Sodankylä Tähtelä","2009","1","7","00:00","5.8"
"Sodankylä Tähtelä","2009","1","8","00:00","1.8"
"Sodankylä Tähtelä","2009","1","9","00:00","6.5"
"Sodankylä Tähtelä","2009","1","10","00:00","2"
"Sodankylä Tähtelä","2009","1","11","00:00","1.2"
"Sodankylä Tähtelä","2009","1","12","00:00","0.8"
"Sodankylä Tähtelä","2009","1","13","00:00","4.1"
"Sodankylä Tähtelä","2009","1","14","00:00","3.8"
"Sodankylä Tähtelä","2009","1","15","00:00","30.9"
"Sodankylä Tähtelä","2009","1","16","00:00","16.1"
"Sodankylä Tähtelä","2009","1","17","00:00","1.4"
"Sodankylä Tähtelä","2009","1","18","00:00","1.4"
"Sodankylä Tähtelä","2009","1","19","00:00","1.7"
"Sodankylä Tähtelä","2009","1","20","00:00","1.7"
"Sodankylä Tähtelä","2009","1","21","00:00","1.3"
"Sodankylä Tähtelä","2009","1","22","00:00","1.2"
"Sodankylä Tähtelä","2009","1","23","00:00","1.1"
"Sodankylä Tähtelä","2009","1","24","00:00","2"
"Sodankylä Tähtelä","2009","1","25","00:00","3.5"
"Sodankylä Tähtelä","2009","1","26","00:00","1.8"
"Sodankylä Tähtelä","2009","1","27","00:00","2.9"
"Sodankylä Tähtelä","2009","1","28","00:00","2.9"
"Sodankylä Tähtelä","2009","1","29","00:00","2.8"
"Sodankylä Tähtelä","2009","1","30","00:00","1.4"
"Sodankylä Tähtelä","2009","1","31","00:00","2.1"
"Sodankylä Tähtelä","2009","2","1","00:00","82.4"
"Sodankylä Tähtelä","2009","2","2","00:00","5.9"
"Sodankylä Tähtelä","2009","2","3","00:00","2.9"
"Sodankylä Tähtelä","2009","2","4","00:00","1.3"
"Sodankylä Tähtelä","2009","2","5","00:00","2.2"
"Sodankylä Tähtelä","2009","2","6","00:00","67.7"
"Sodankylä Tähtelä","2009","2","7","00:00","1"
"Sodankylä Tähtelä","2009","2","8","00:00","0.9"
"Sodankylä Tähtelä","2009","2","9","00:00","1.2"
"Sodankylä Tähtelä","2009","2","10","00:00","20.6"
"Sodankylä Tähtelä","2009","2","11","00:00","0.9"
"Sodankylä Tähtelä","2009","2","12","00:00","76.9"
"Sodankylä Tähtelä","2009","2","13","00:00","1.6"
"Sodankylä Tähtelä","2009","2","14","00:00","2.8"
"Sodankylä Tähtelä","2009","2","15","00:00","155.3"
"Sodankylä Tähtelä","2009","2","16","00:00","42.4"
"Sodankylä Tähtelä","2009","2","17","00:00","39.9"
"Sodankylä Tähtelä","2009","2","18","00:00","118.6"
"Sodankylä Tähtelä","2009","2","19","00:00","10.2"
"Sodankylä Tähtelä","2009","2","20","00:00","8.1"
"Sodankylä Tähtelä","2009","2","21","00:00","0.8"
"Sodankylä Tähtelä","2009","2","22","00:00","3.1"
"Sodankylä Tähtelä","2009","2","23","00:00","-"
"-","2009","2","24","00:00","-"
"Sodankylä Tähtelä","2009","2","25","00:00","140.9"
"Sodankylä Tähtelä","2009","2","26","00:00","37.7"
"Sodankylä Tähtelä","2009","2","27","00:00","126.5"
"Sodankylä Tähtelä","2009","2","28","00:00","168.1"
"Sodankylä Tähtelä","2009","3","1","00:00","230.6"
"Sodankylä Tähtelä","2009","3","2","00:00","2.2"
"Sodankylä Tähtelä","2009","3","3","00:00","1.5"
"Sodankylä Tähtelä","2009","3","4","00:00","2"
"Sodankylä Tähtelä","2009","3","5","00:00","2.4"
"Sodankylä Tähtelä","2009","3","6","00:00","26.5"
"Sodankylä Tähtelä","2009","3","7","00:00","4.9"
"Sodankylä Tähtelä","2009","3","8","00:00","1.6"
"Sodankylä Tähtelä","2009","3","9","00:00","6.3"
"Sodankylä Tähtelä","2009","3","10","00:00","207.2"
"Sodankylä Tähtelä","2009","3","11","00:00","48.7"
"Sodankylä Tähtelä","2009","3","12","00:00","95.5"
"Sodankylä Tähtelä","2009","3","13","00:00","1.5"
"Sodankylä Tähtelä","2009","3","14","00:00","1.6"
"Sodankylä Tähtelä","2009","3","15","00:00","2.2"
"Sodankylä Tähtelä","2009","3","16","00:00","1.9"
"Sodankylä Tähtelä","2009","3","17","00:00","308.5"
"Sodankylä Tähtelä","2009","3","18","00:00","169.3"
"Sodankylä Tähtelä","2009","3","19","00:00","144.2"
"Sodankylä Tähtelä","2009","3","20","00:00","131.8"
"Sodankylä Tähtelä","2009","3","21","00:00","149.7"
"Sodankylä Tähtelä","2009","3","22","00:00","158.9"
"Sodankylä Tähtelä","2009","3","23","00:00","235.5"
"Sodankylä Tähtelä","2009","3","24","00:00","121.5"
"Sodankylä Tähtelä","2009","3","25","00:00","305.5"
"Sodankylä Tähtelä","2009","3","26","00:00","330.9"
"Sodankylä Tähtelä","2009","3","27","00:00","373.8"
"Sodankylä Tähtelä","2009","3","28","00:00","316.8"
"Sodankylä Tähtelä","2009","3","29","00:00","180.9"
"Sodankylä Tähtelä","2009","3","30","00:00","1.5"
"Sodankylä Tähtelä","2009","3","31","00:00","26.8"
"Sodankylä Tähtelä","2009","4","1","00:00","162.2"
"Sodankylä Tähtelä","2009","4","2","00:00","128"
"Sodankylä Tähtelä","2009","4","3","00:00","394"
"Sodankylä Tähtelä","2009","4","4","00:00","87.4"
"Sodankylä Tähtelä","2009","4","5","00:00","290.9"
"Sodankylä Tähtelä","2009","4","6","00:00","385.6"
"Sodankylä Tähtelä","2009","4","7","00:00","385.5"
"Sodankylä Tähtelä","2009","4","8","00:00","405.4"
"Sodankylä Tähtelä","2009","4","9","00:00","2.2"
"Sodankylä Tähtelä","2009","4","10","00:00","1.2"
"Sodankylä Tähtelä","2009","4","11","00:00","305.4"
"Sodankylä Tähtelä","2009","4","12","00:00","173.1"
"Sodankylä Tähtelä","2009","4","13","00:00","254.1"
"Sodankylä Tähtelä","2009","4","14","00:00","128.2"
"Sodankylä Tähtelä","2009","4","15","00:00","327.1"
"Sodankylä Tähtelä","2009","4","16","00:00","308.4"
"Sodankylä Tähtelä","2009","4","17","00:00","139.7"
"Sodankylä Tähtelä","2009","4","18","00:00","325.3"
"Sodankylä Tähtelä","2009","4","19","00:00","53.6"
"Sodankylä Tähtelä","2009","4","20","00:00","306.8"
"Sodankylä Tähtelä","2009","4","21","00:00","127.3"
"Sodankylä Tähtelä","2009","4","22","00:00","429.3"
"Sodankylä Tähtelä","2009","4","23","00:00","324.1"
"Sodankylä Tähtelä","2009","4","24","00:00","32.4"
"Sodankylä Tähtelä","2009","4","25","00:00","111.9"
"Sodankylä Tähtelä","2009","4","26","00:00","45.4"
"Sodankylä Tähtelä","2009","4","27","00:00","306.8"
"Sodankylä Tähtelä","2009","4","28","00:00","2.4"
