"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2012","1","2","00:00","0.9"
"Sodankylä Tähtelä","2012","1","3","00:00","0.4"
"Sodankylä Tähtelä","2012","1","4","00:00","0.3"
"Sodankylä Tähtelä","2012","1","5","00:00","1"
"Sodankylä Tähtelä","2012","1","6","00:00","1.9"
"Sodankylä Tähtelä","2012","1","7","00:00","1.8"
"Sodankylä Tähtelä","2012","1","8","00:00","2.4"
"Sodankylä Tähtelä","2012","1","9","00:00","4.5"
"Sodankylä Tähtelä","2012","1","10","00:00","3.4"
"Sodankylä Tähtelä","2012","1","11","00:00","1.7"
"Sodankylä Tähtelä","2012","1","12","00:00","0.9"
"Sodankylä Tähtelä","2012","1","13","00:00","1.1"
"Sodankylä Tähtelä","2012","1","14","00:00","1.9"
"Sodankylä Tähtelä","2012","1","15","00:00","3.2"
"Sodankylä Tähtelä","2012","1","16","00:00","2.4"
"Sodankylä Tähtelä","2012","1","17","00:00","8.9"
"Sodankylä Tähtelä","2012","1","18","00:00","3.4"
"Sodankylä Tähtelä","2012","1","19","00:00","1.4"
"Sodankylä Tähtelä","2012","1","20","00:00","1.7"
"Sodankylä Tähtelä","2012","1","21","00:00","1.5"
"Sodankylä Tähtelä","2012","1","22","00:00","2"
"Sodankylä Tähtelä","2012","1","23","00:00","5.7"
"Sodankylä Tähtelä","2012","1","24","00:00","24.7"
"Sodankylä Tähtelä","2012","1","25","00:00","26.3"
"Sodankylä Tähtelä","2012","1","26","00:00","3.7"
"Sodankylä Tähtelä","2012","1","27","00:00","48.8"
"Sodankylä Tähtelä","2012","1","28","00:00","8.2"
"Sodankylä Tähtelä","2012","1","29","00:00","2.8"
"Sodankylä Tähtelä","2012","1","30","00:00","24"
"Sodankylä Tähtelä","2012","1","31","00:00","49.2"
"Sodankylä Tähtelä","2012","2","1","00:00","88.5"
"Sodankylä Tähtelä","2012","2","2","00:00","90.5"
"Sodankylä Tähtelä","2012","2","3","00:00","82.8"
"Sodankylä Tähtelä","2012","2","4","00:00","22.7"
"Sodankylä Tähtelä","2012","2","5","00:00","29.4"
"Sodankylä Tähtelä","2012","2","6","00:00","3.8"
"Sodankylä Tähtelä","2012","2","7","00:00","74.2"
"Sodankylä Tähtelä","2012","2","8","00:00","110.6"
"Sodankylä Tähtelä","2012","2","9","00:00","90.6"
"Sodankylä Tähtelä","2012","2","10","00:00","1.6"
"Sodankylä Tähtelä","2012","2","11","00:00","1"
"Sodankylä Tähtelä","2012","2","12","00:00","1.4"
"Sodankylä Tähtelä","2012","2","13","00:00","3.4"
