"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2021","1","2","00:00","1.7"
"Sodankylä Tähtelä","2021","1","3","00:00","2.5"
"Sodankylä Tähtelä","2021","1","4","00:00","4"
"Sodankylä Tähtelä","2021","1","5","00:00","3.2"
"Sodankylä Tähtelä","2021","1","6","00:00","1.6"
"Sodankylä Tähtelä","2021","1","7","00:00","6.1"
"Sodankylä Tähtelä","2021","1","8","00:00","2.3"
"Sodankylä Tähtelä","2021","1","9","00:00","2.1"
"Sodankylä Tähtelä","2021","1","10","00:00","1.8"
"Sodankylä Tähtelä","2021","1","11","00:00","0.9"
"Sodankylä Tähtelä","2021","1","12","00:00","14.8"
"Sodankylä Tähtelä","2021","1","13","00:00","29.4"
"Sodankylä Tähtelä","2021","1","14","00:00","23.7"
"Sodankylä Tähtelä","2021","1","15","00:00","3.5"
"Sodankylä Tähtelä","2021","1","16","00:00","6.7"
"Sodankylä Tähtelä","2021","1","17","00:00","10.9"
"Sodankylä Tähtelä","2021","1","18","00:00","2.2"
"Sodankylä Tähtelä","2021","1","19","00:00","3.2"
"Sodankylä Tähtelä","2021","1","20","00:00","4"
"Sodankylä Tähtelä","2021","1","21","00:00","4.5"
"Sodankylä Tähtelä","2021","1","22","00:00","0"
"Sodankylä Tähtelä","2021","1","23","00:00","0.1"
"Sodankylä Tähtelä","2021","1","24","00:00","2.4"
"Sodankylä Tähtelä","2021","1","25","00:00","2.9"
"Sodankylä Tähtelä","2021","1","26","00:00","1"
"Sodankylä Tähtelä","2021","1","27","00:00","1.1"
"Sodankylä Tähtelä","2021","1","28","00:00","0.4"
"Sodankylä Tähtelä","2021","1","29","00:00","0.8"
"Sodankylä Tähtelä","2021","1","30","00:00","2.1"
"Sodankylä Tähtelä","2021","1","31","00:00","2.7"
"Sodankylä Tähtelä","2021","2","1","00:00","56.5"
"Sodankylä Tähtelä","2021","2","2","00:00","2.7"
"Sodankylä Tähtelä","2021","2","3","00:00","37.3"
"Sodankylä Tähtelä","2021","2","4","00:00","5.7"
"Sodankylä Tähtelä","2021","2","5","00:00","85.2"
"Sodankylä Tähtelä","2021","2","6","00:00","79.4"
"Sodankylä Tähtelä","2021","2","7","00:00","38.5"
"Sodankylä Tähtelä","2021","2","8","00:00","106.4"
"Sodankylä Tähtelä","2021","2","9","00:00","108.4"
"Sodankylä Tähtelä","2021","2","10","00:00","8.5"
"Sodankylä Tähtelä","2021","2","11","00:00","57.8"
"Sodankylä Tähtelä","2021","2","12","00:00","6.3"
"Sodankylä Tähtelä","2021","2","13","00:00","90.5"
"Sodankylä Tähtelä","2021","2","14","00:00","147"
"Sodankylä Tähtelä","2021","2","15","00:00","3.5"
"Sodankylä Tähtelä","2021","2","16","00:00","40.9"
"Sodankylä Tähtelä","2021","2","17","00:00","179"
"Sodankylä Tähtelä","2021","2","18","00:00","3"
"Sodankylä Tähtelä","2021","2","19","00:00","175.8"
"Sodankylä Tähtelä","2021","2","20","00:00","0.3"
"Sodankylä Tähtelä","2021","2","21","00:00","69.4"
"Sodankylä Tähtelä","2021","2","22","00:00","0.8"
"Sodankylä Tähtelä","2021","2","23","00:00","1.1"
"Sodankylä Tähtelä","2021","2","24","00:00","1.5"
"Sodankylä Tähtelä","2021","2","25","00:00","1.1"
"Sodankylä Tähtelä","2021","2","26","00:00","56.5"
"Sodankylä Tähtelä","2021","2","27","00:00","184.9"
"Sodankylä Tähtelä","2021","2","28","00:00","112.2"
"Sodankylä Tähtelä","2021","3","1","00:00","156.4"
"Sodankylä Tähtelä","2021","3","2","00:00","111"
"Sodankylä Tähtelä","2021","3","3","00:00","66.3"
"Sodankylä Tähtelä","2021","3","4","00:00","106.5"
"Sodankylä Tähtelä","2021","3","5","00:00","255.7"
"Sodankylä Tähtelä","2021","3","6","00:00","1.2"
"Sodankylä Tähtelä","2021","3","7","00:00","105.1"
"Sodankylä Tähtelä","2021","3","8","00:00","86.7"
"Sodankylä Tähtelä","2021","3","9","00:00","268.8"
"Sodankylä Tähtelä","2021","3","10","00:00","242.7"
"Sodankylä Tähtelä","2021","3","11","00:00","141.7"
"Sodankylä Tähtelä","2021","3","12","00:00","75.1"
"Sodankylä Tähtelä","2021","3","13","00:00","8.2"
"Sodankylä Tähtelä","2021","3","14","00:00","84"
"Sodankylä Tähtelä","2021","3","15","00:00","1.6"
"Sodankylä Tähtelä","2021","3","16","00:00","57.8"
"Sodankylä Tähtelä","2021","3","17","00:00","102.3"
"Sodankylä Tähtelä","2021","3","18","00:00","169.7"
"Sodankylä Tähtelä","2021","3","19","00:00","38.5"
"Sodankylä Tähtelä","2021","3","20","00:00","128"
"Sodankylä Tähtelä","2021","3","21","00:00","111.4"
"Sodankylä Tähtelä","2021","3","22","00:00","343.6"
"Sodankylä Tähtelä","2021","3","23","00:00","83.1"
"Sodankylä Tähtelä","2021","3","24","00:00","131.7"
"Sodankylä Tähtelä","2021","3","25","00:00","282.9"
"Sodankylä Tähtelä","2021","3","26","00:00","318.5"
"Sodankylä Tähtelä","2021","3","27","00:00","0.6"
"Sodankylä Tähtelä","2021","3","28","00:00","0.6"
"Sodankylä Tähtelä","2021","3","29","00:00","2.7"
"Sodankylä Tähtelä","2021","3","30","00:00","20.6"
"Sodankylä Tähtelä","2021","3","31","00:00","22"
"Sodankylä Tähtelä","2021","4","1","00:00","92.9"
"Sodankylä Tähtelä","2021","4","2","00:00","71.8"
"Sodankylä Tähtelä","2021","4","3","00:00","238.4"
"Sodankylä Tähtelä","2021","4","4","00:00","22.2"
"Sodankylä Tähtelä","2021","4","5","00:00","0.6"
"Sodankylä Tähtelä","2021","4","6","00:00","2.9"
"Sodankylä Tähtelä","2021","4","7","00:00","91.5"
"Sodankylä Tähtelä","2021","4","8","00:00","86.4"
"Sodankylä Tähtelä","2021","4","9","00:00","266.2"
"Sodankylä Tähtelä","2021","4","10","00:00","2.1"
"Sodankylä Tähtelä","2021","4","11","00:00","154.3"
"Sodankylä Tähtelä","2021","4","12","00:00","149.9"
"Sodankylä Tähtelä","2021","4","13","00:00","1.1"
"Sodankylä Tähtelä","2021","4","14","00:00","333.9"
"Sodankylä Tähtelä","2021","4","15","00:00","166.2"
"Sodankylä Tähtelä","2021","4","16","00:00","357.7"
"Sodankylä Tähtelä","2021","4","17","00:00","433.8"
"Sodankylä Tähtelä","2021","4","18","00:00","449.9"
"Sodankylä Tähtelä","2021","4","19","00:00","466.4"
"Sodankylä Tähtelä","2021","4","20","00:00","451.2"
"Sodankylä Tähtelä","2021","4","21","00:00","473.9"
"Sodankylä Tähtelä","2021","4","22","00:00","29.3"
"Sodankylä Tähtelä","2021","4","23","00:00","45.1"
"Sodankylä Tähtelä","2021","4","24","00:00","0.6"
"Sodankylä Tähtelä","2021","4","25","00:00","1.7"
"Sodankylä Tähtelä","2021","4","26","00:00","249"
"Sodankylä Tähtelä","2021","4","27","00:00","154.8"
"Sodankylä Tähtelä","2021","4","28","00:00","175.3"
"Sodankylä Tähtelä","2021","4","29","00:00","145.8"
"Sodankylä Tähtelä","2021","4","30","00:00","225"
"Sodankylä Tähtelä","2021","5","1","00:00","44.9"
"Sodankylä Tähtelä","2021","5","2","00:00","229.7"
"Sodankylä Tähtelä","2021","5","3","00:00","159.9"
"Sodankylä Tähtelä","2021","5","4","00:00","456.7"
"Sodankylä Tähtelä","2021","5","5","00:00","17.2"
"Sodankylä Tähtelä","2021","5","6","00:00","61.8"
"Sodankylä Tähtelä","2021","5","7","00:00","1.1"
"Sodankylä Tähtelä","2021","5","8","00:00","110.9"
"Sodankylä Tähtelä","2021","5","9","00:00","368.2"
"Sodankylä Tähtelä","2021","5","10","00:00","251.8"
