"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Lahti Sopenkorpi","2019","5","15","03:00","-1","-1","10.2"
"Lahti Sopenkorpi","2019","5","16","03:00","-1","-1","12.6"
"Lahti Sopenkorpi","2019","5","17","03:00","-1","-1","14.3"
"Lahti Sopenkorpi","2019","5","18","03:00","-1","-1","17.2"
"Lahti Sopenkorpi","2019","5","19","03:00","-1","-1","18.1"
"Lahti Sopenkorpi","2019","5","20","03:00","0.1","-1","20.1"
"Lahti Sopenkorpi","2019","5","21","03:00","-1","-1","19.7"
"Lahti Sopenkorpi","2019","5","22","03:00","-1","-1","19"
"Lahti Sopenkorpi","2019","5","23","03:00","0.3","-1","12.5"
"Lahti Sopenkorpi","2019","5","24","03:00","0.1","-1","9.5"
"Lahti Sopenkorpi","2019","5","25","03:00","6.3","-1","10"
"Lahti Sopenkorpi","2019","5","26","03:00","7.8","-1","9"
"Lahti Sopenkorpi","2019","5","27","03:00","1.5","-1","10"
"Lahti Sopenkorpi","2019","5","28","03:00","7.1","-1","11.7"
"Lahti Sopenkorpi","2019","5","29","03:00","-1","-1","12.3"
"Lahti Sopenkorpi","2019","5","30","03:00","2.9","-1","11.5"
"Lahti Sopenkorpi","2019","5","31","03:00","-1","-1","10.9"
"Lahti Sopenkorpi","2019","6","1","03:00","2.5","-1","12"
"Lahti Sopenkorpi","2019","6","2","03:00","1","-1","12.2"
"Lahti Sopenkorpi","2019","6","3","03:00","-1","-1","13.7"
"Lahti Sopenkorpi","2019","6","4","03:00","-1","-1","18"
"Lahti Sopenkorpi","2019","6","5","03:00","-1","-1","21"
"Lahti Sopenkorpi","2019","6","6","03:00","-1","-1","23.5"
"Lahti Sopenkorpi","2019","6","7","03:00","-1","-1","24.4"
"Lahti Sopenkorpi","2019","6","8","03:00","3","-1","24.3"
"Lahti Sopenkorpi","2019","6","9","03:00","1.4","-1","19"
"Lahti Sopenkorpi","2019","6","10","03:00","-1","-1","15.9"
"Lahti Sopenkorpi","2019","6","11","03:00","-1","-1","17"
"Lahti Sopenkorpi","2019","6","12","03:00","-1","-1","14.2"
"Lahti Sopenkorpi","2019","6","13","03:00","-1","-1","15"
"Lahti Sopenkorpi","2019","6","14","03:00","0.2","-1","15.8"
"Lahti Sopenkorpi","2019","6","15","03:00","-1","-1","14.2"
"Lahti Sopenkorpi","2019","6","16","03:00","-1","-1","18.7"
"Lahti Sopenkorpi","2019","6","17","03:00","0.3","-1","20.1"
"Lahti Sopenkorpi","2019","6","18","03:00","-1","-1","20.2"
"Lahti Sopenkorpi","2019","6","19","03:00","-1","-1","20.3"
"Lahti Sopenkorpi","2019","6","20","03:00","0.3","-1","21.7"
"Lahti Sopenkorpi","2019","6","21","03:00","-1","-1","22.3"
"Lahti Sopenkorpi","2019","6","22","03:00","0.6","-1","16.2"
"Lahti Sopenkorpi","2019","6","23","03:00","1.5","-1","16.4"
"Lahti Sopenkorpi","2019","6","24","03:00","-1","-1","17.4"
"Lahti Sopenkorpi","2019","6","25","03:00","1.2","-1","17.5"
"Lahti Sopenkorpi","2019","6","26","03:00","3.3","-1","15.4"
"Lahti Sopenkorpi","2019","6","27","03:00","3.7","-1","14.7"
"Lahti Sopenkorpi","2019","6","28","03:00","-1","-1","15.7"
"Lahti Sopenkorpi","2019","6","29","03:00","-1","-1","15.6"
