"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Sodankylä Tähtelä","2000","1","1","02:00","0.7","49","-11.8"
"Sodankylä Tähtelä","2000","1","2","02:00","3.6","49","-8.3"
"Sodankylä Tähtelä","2000","1","3","02:00","0.7","50","-4.9"
"Sodankylä Tähtelä","2000","1","4","02:00","4.4","50","-7.9"
"Sodankylä Tähtelä","2000","1","5","02:00","0.1","52","-17.3"
"Sodankylä Tähtelä","2000","1","6","02:00","3.5","52","-12.5"
"Sodankylä Tähtelä","2000","1","7","02:00","3.1","52","-0.3"
"Sodankylä Tähtelä","2000","1","8","02:00","7.2","52","-0.6"
"Sodankylä Tähtelä","2000","1","9","02:00","-1","59","-0.6"
"Sodankylä Tähtelä","2000","1","10","02:00","0","58","-6.1"
"Sodankylä Tähtelä","2000","1","11","02:00","0.2","56","-5"
"Sodankylä Tähtelä","2000","1","12","02:00","8.1","56","-4.6"
"Sodankylä Tähtelä","2000","1","13","02:00","0.1","63","-7.6"
"Sodankylä Tähtelä","2000","1","14","02:00","0","62","-17.6"
"Sodankylä Tähtelä","2000","1","15","02:00","0","62","-14.8"
"Sodankylä Tähtelä","2000","1","16","02:00","8","62","-10.9"
"Sodankylä Tähtelä","2000","1","17","02:00","0.4","66","-8.1"
"Sodankylä Tähtelä","2000","1","18","02:00","0.3","66","-18.7"
"Sodankylä Tähtelä","2000","1","19","02:00","0.1","65","-25.5"
"Sodankylä Tähtelä","2000","1","20","02:00","0.6","65","-27.8"
"Sodankylä Tähtelä","2000","1","21","02:00","-1","65","-14.5"
"Sodankylä Tähtelä","2000","1","22","02:00","-1","65","-25.6"
"Sodankylä Tähtelä","2000","1","23","02:00","0","65","-22.6"
"Sodankylä Tähtelä","2000","1","24","02:00","1.5","64","-26.3"
"Sodankylä Tähtelä","2000","1","25","02:00","1.2","65","-8.8"
"Sodankylä Tähtelä","2000","1","26","02:00","0.2","66","-3.9"
"Sodankylä Tähtelä","2000","1","27","02:00","-1","66","-10.3"
"Sodankylä Tähtelä","2000","1","28","02:00","0.6","66","-20.8"
"Sodankylä Tähtelä","2000","1","29","02:00","5.9","66","-20.8"
"Sodankylä Tähtelä","2000","1","30","02:00","18.5","70","-3.5"
"Sodankylä Tähtelä","2000","1","31","02:00","2","89","-10.9"
"Sodankylä Tähtelä","2000","2","1","02:00","2.5","89","-9.6"
"Sodankylä Tähtelä","2000","2","2","02:00","1.9","92","-11.1"
"Sodankylä Tähtelä","2000","2","3","02:00","-1","92","-10.4"
"Sodankylä Tähtelä","2000","2","4","02:00","1.5","90","-12.9"
"Sodankylä Tähtelä","2000","2","5","02:00","0","91","-13.2"
"Sodankylä Tähtelä","2000","2","6","02:00","10.7","90","-7.7"
"Sodankylä Tähtelä","2000","2","7","02:00","2.5","96","-5.8"
"Sodankylä Tähtelä","2000","2","8","02:00","0.7","98","-2.6"
"Sodankylä Tähtelä","2000","2","9","02:00","-1","96","-14.9"
"Sodankylä Tähtelä","2000","2","10","02:00","2","94","-10.5"
"Sodankylä Tähtelä","2000","2","11","02:00","0.3","93","-0.8"
"Sodankylä Tähtelä","2000","2","12","02:00","0","93","-3.8"
"Sodankylä Tähtelä","2000","2","13","02:00","1.6","91","0.1"
"Sodankylä Tähtelä","2000","2","14","02:00","1.5","93","-1.8"
"Sodankylä Tähtelä","2000","2","15","02:00","0.1","93","-4.6"
"Sodankylä Tähtelä","2000","2","16","02:00","0.1","93","-8.4"
"Sodankylä Tähtelä","2000","2","17","02:00","1.2","93","-12.6"
"Sodankylä Tähtelä","2000","2","18","02:00","0.1","93","-9.2"
"Sodankylä Tähtelä","2000","2","19","02:00","0.4","90","-8.4"
"Sodankylä Tähtelä","2000","2","20","02:00","0.1","90","-18.4"
"Sodankylä Tähtelä","2000","2","21","02:00","0.2","90","-13.5"
"Sodankylä Tähtelä","2000","2","22","02:00","0.1","89","-12"
"Sodankylä Tähtelä","2000","2","23","02:00","0.1","89","-21.8"
"Sodankylä Tähtelä","2000","2","24","02:00","0.2","89","-16.4"
"Sodankylä Tähtelä","2000","2","25","02:00","0","90","-18.4"
"Sodankylä Tähtelä","2000","2","26","02:00","1.8","89","-19.4"
"Sodankylä Tähtelä","2000","2","27","02:00","8.4","91","-8.5"
"Sodankylä Tähtelä","2000","2","28","02:00","3.4","96","-11.5"
"Sodankylä Tähtelä","2000","2","29","02:00","3.6","99","-12.5"
"Sodankylä Tähtelä","2000","3","1","02:00","12.3","103","-13.4"
"Sodankylä Tähtelä","2000","3","2","02:00","4.3","112","-11.6"
"Sodankylä Tähtelä","2000","3","3","02:00","1.2","113","-10"
"Sodankylä Tähtelä","2000","3","4","02:00","2.1","115","-9.5"
"Sodankylä Tähtelä","2000","3","5","02:00","0","111","-12.9"
"Sodankylä Tähtelä","2000","3","6","02:00","2.7","110","-19"
"Sodankylä Tähtelä","2000","3","7","02:00","2.3","111","-8.6"
"Sodankylä Tähtelä","2000","3","8","02:00","0.6","110","-5.9"
"Sodankylä Tähtelä","2000","3","9","02:00","0.1","109","-3.9"
"Sodankylä Tähtelä","2000","3","10","02:00","0.1","106","-6.1"
"Sodankylä Tähtelä","2000","3","11","02:00","0.1","105","-6.8"
"Sodankylä Tähtelä","2000","3","12","02:00","0.1","104","-9.2"
"Sodankylä Tähtelä","2000","3","13","02:00","0.7","104","-3.7"
"Sodankylä Tähtelä","2000","3","14","02:00","2","102","-3.1"
"Sodankylä Tähtelä","2000","3","15","02:00","0.1","105","-5.8"
"Sodankylä Tähtelä","2000","3","16","02:00","0.1","103","-7.2"
"Sodankylä Tähtelä","2000","3","17","02:00","0.1","101","-10.7"
"Sodankylä Tähtelä","2000","3","18","02:00","2.6","100","-4"
"Sodankylä Tähtelä","2000","3","19","02:00","2.5","103","-2.7"
"Sodankylä Tähtelä","2000","3","20","02:00","0","102","1.3"
"Sodankylä Tähtelä","2000","3","21","02:00","-1","97","-2.8"
"Sodankylä Tähtelä","2000","3","22","02:00","-1","96","-3.6"
"Sodankylä Tähtelä","2000","3","23","02:00","0.3","96","-4"
"Sodankylä Tähtelä","2000","3","24","02:00","0.2","96","-2.9"
"Sodankylä Tähtelä","2000","3","25","02:00","0.1","96","-5.6"
"Sodankylä Tähtelä","2000","3","26","02:00","0","95","-7.7"
"Sodankylä Tähtelä","2000","3","27","03:00","-1","95","-9.3"
"Sodankylä Tähtelä","2000","3","28","03:00","0.1","94","-2.5"
"Sodankylä Tähtelä","2000","3","29","03:00","0.1","94","0.5"
"Sodankylä Tähtelä","2000","3","30","03:00","0.3","93","4.7"
"Sodankylä Tähtelä","2000","3","31","03:00","0.9","88","-2"
"Sodankylä Tähtelä","2000","4","1","03:00","8.6","88","-7.6"
"Sodankylä Tähtelä","2000","4","2","03:00","0.2","97","-7.5"
"Sodankylä Tähtelä","2000","4","3","03:00","1.5","96","-12.6"
"Sodankylä Tähtelä","2000","4","4","03:00","22.7","96","-4.7"
"Sodankylä Tähtelä","2000","4","5","03:00","11","113","0.2"
"Sodankylä Tähtelä","2000","4","6","03:00","0.6","119","-2.9"
"Sodankylä Tähtelä","2000","4","7","03:00","-1","117","-1.6"
"Sodankylä Tähtelä","2000","4","8","03:00","-1","115","-3"
"Sodankylä Tähtelä","2000","4","9","03:00","0.1","114","0.8"
"Sodankylä Tähtelä","2000","4","10","03:00","-1","110","3.4"
"Sodankylä Tähtelä","2000","4","11","03:00","1","107","0.6"
"Sodankylä Tähtelä","2000","4","12","03:00","4.2","106","0.4"
"Sodankylä Tähtelä","2000","4","13","03:00","2.8","105","0.1"
"Sodankylä Tähtelä","2000","4","14","03:00","0.3","102","1"
"Sodankylä Tähtelä","2000","4","15","03:00","0.4","101","0.2"
"Sodankylä Tähtelä","2000","4","16","03:00","0","100","0.1"
"Sodankylä Tähtelä","2000","4","17","03:00","3.4","97","2.5"
"Sodankylä Tähtelä","2000","4","18","03:00","0.1","92","2.3"
"Sodankylä Tähtelä","2000","4","19","03:00","-1","88","2.2"
"Sodankylä Tähtelä","2000","4","20","03:00","1.1","86","1.4"
"Sodankylä Tähtelä","2000","4","21","03:00","0.1","84","2.9"
"Sodankylä Tähtelä","2000","4","22","03:00","1.8","80","3.6"
"Sodankylä Tähtelä","2000","4","23","03:00","4","75","0.9"
"Sodankylä Tähtelä","2000","4","24","03:00","0.1","72","2.9"
"Sodankylä Tähtelä","2000","4","25","03:00","14.5","69","1.1"
"Sodankylä Tähtelä","2000","4","26","03:00","0.3","77","0.1"
"Sodankylä Tähtelä","2000","4","27","03:00","0","72","-0.3"
"Sodankylä Tähtelä","2000","4","28","03:00","-1","70","1.6"
"Sodankylä Tähtelä","2000","4","29","03:00","0","69","2"
"Sodankylä Tähtelä","2000","4","30","03:00","-1","67","-1.5"
"Sodankylä Tähtelä","2000","5","1","03:00","-1","66","-0.9"
"Sodankylä Tähtelä","2000","5","2","03:00","0.3","66","2.9"
"Sodankylä Tähtelä","2000","5","3","03:00","-1","63","4.5"
"Sodankylä Tähtelä","2000","5","4","03:00","0","60","3.3"
"Sodankylä Tähtelä","2000","5","5","03:00","0.1","56","4.5"
"Sodankylä Tähtelä","2000","5","6","03:00","-1","54","1.1"
"Sodankylä Tähtelä","2000","5","7","03:00","0.4","53","2.4"
"Sodankylä Tähtelä","2000","5","8","03:00","-1","49","5.1"
"Sodankylä Tähtelä","2000","5","9","03:00","2.3","45","6.8"
"Sodankylä Tähtelä","2000","5","10","03:00","0.1","38","5.8"
"Sodankylä Tähtelä","2000","5","11","03:00","0.2","34","1.3"
"Sodankylä Tähtelä","2000","5","12","03:00","0.1","34","-1.1"
"Sodankylä Tähtelä","2000","5","13","03:00","0","32","0.4"
"Sodankylä Tähtelä","2000","5","14","03:00","0.1","31","1.5"
"Sodankylä Tähtelä","2000","5","15","03:00","0","27","1.8"
"Sodankylä Tähtelä","2000","5","16","03:00","-1","27","2.7"
"Sodankylä Tähtelä","2000","5","17","03:00","-1","22","4"
"Sodankylä Tähtelä","2000","5","18","03:00","0","17","7.1"
"Sodankylä Tähtelä","2000","5","19","03:00","0","5","12.2"
"Sodankylä Tähtelä","2000","5","20","03:00","-1","0","16.6"
"Sodankylä Tähtelä","2000","5","21","03:00","0","-1","14.9"
"Sodankylä Tähtelä","2000","5","22","03:00","0.2","-1","11.8"
"Sodankylä Tähtelä","2000","5","23","03:00","0.3","-1","10.6"
"Sodankylä Tähtelä","2000","5","24","03:00","6.4","-1","10.5"
"Sodankylä Tähtelä","2000","5","25","03:00","8.2","-1","10"
"Sodankylä Tähtelä","2000","5","26","03:00","17.7","-1","10.6"
"Sodankylä Tähtelä","2000","5","27","03:00","0","-1","6.5"
"Sodankylä Tähtelä","2000","5","28","03:00","2.9","-1","6.4"
"Sodankylä Tähtelä","2000","5","29","03:00","0.7","-1","12.5"
"Sodankylä Tähtelä","2000","5","30","03:00","2.5","-1","11.2"
"Sodankylä Tähtelä","2000","5","31","03:00","0.1","-1","10.9"
"Sodankylä Tähtelä","2000","6","1","03:00","1.7","-1","9.2"
"Sodankylä Tähtelä","2000","6","2","03:00","3","-1","10.7"
"Sodankylä Tähtelä","2000","6","3","03:00","2.5","-1","9.8"
"Sodankylä Tähtelä","2000","6","4","03:00","3.5","-1","8.9"
"Sodankylä Tähtelä","2000","6","5","03:00","0","-1","8.6"
"Sodankylä Tähtelä","2000","6","6","03:00","-1","-1","9"
"Sodankylä Tähtelä","2000","6","7","03:00","0.1","-1","11.6"
"Sodankylä Tähtelä","2000","6","8","03:00","0.1","-1","11"
"Sodankylä Tähtelä","2000","6","9","03:00","0","-1","7.9"
"Sodankylä Tähtelä","2000","6","10","03:00","2.3","-1","12"
"Sodankylä Tähtelä","2000","6","11","03:00","-1","-1","14.5"
"Sodankylä Tähtelä","2000","6","12","03:00","15.6","-1","10.1"
"Sodankylä Tähtelä","2000","6","13","03:00","11.4","-1","7.5"
"Sodankylä Tähtelä","2000","6","14","03:00","5.4","-1","7.6"
