Date,cloud_cover_code,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Direct solar radiation mean [W/m2],days_above_10cm,days_above_20cm
2005-01-02,8.0,0.2,10.0,-1.3,1.1,0,0
2005-01-03,7.0,2.2,10.0,-1.8,0.7,0,0
2005-01-04,7.0,0.7,15.0,-2.9,1.8,1,0
2005-01-05,7.0,-1.0,15.0,-4.2,1.8,2,0
2005-01-06,8.0,1.5,15.0,-6.3,1.7,3,0
2005-01-07,7.0,8.8,16.0,-4.2,0.9,4,0
2005-01-08,8.0,1.0,25.0,-1.1,1.3,5,1
2005-01-09,8.0,1.6,25.0,-2.6,1.3,6,2
2005-01-10,8.0,1.3,25.0,-6.8,2.1,7,3
2005-01-11,7.0,-1.0,24.0,-1.1,1.3,8,4
2005-01-12,0.0,0.5,23.0,-2.1,1.3,9,5
2005-01-13,7.0,2.5,20.0,1.3,1.3,10,0
2005-01-14,8.0,-1.0,20.0,-3.3,16.3,11,0
2005-01-15,3.0,-1.0,20.0,-9.8,30.7,12,0
2005-01-16,7.0,5.2,20.0,-8.6,5.9,13,0
2005-01-17,8.0,1.5,25.0,-1.1,2.1,14,1
2005-01-18,7.0,0.7,20.0,0.6,1.0,15,0
2005-01-19,8.0,2.1,19.0,-1.1,1.0,16,0
2005-01-20,8.0,2.5,22.0,-3.1,0.9,17,1
2005-01-21,7.0,1.2,22.0,-3.1,1.1,18,2
2005-01-22,8.0,0.8,24.0,-5.8,2.9,19,3
2005-01-23,8.0,-1.0,25.0,-10.6,3.4,20,4
2005-01-24,8.0,3.5,25.0,-10.7,27.8,21,5
2005-01-25,7.0,-1.0,28.0,-6.5,11.7,22,6
2005-01-26,9.0,0.8,28.0,-8.4,1.2,23,7
2005-01-27,7.0,0.1,29.0,-10.9,1.4,24,8
2005-01-28,0.0,2.3,29.0,-21.5,8.9,25,9
2005-01-29,8.0,1.2,29.0,-15.4,14.5,26,10
2005-01-30,7.0,17.4,25.0,-9.4,1.2,27,11
2005-01-31,9.0,-1.0,20.0,-5.4,1.0,28,0
2005-02-01,7.0,-1.0,20.0,-7.2,1.2,29,0
2005-02-02,8.0,0.0,25.0,-14.1,1.3,30,1
2005-02-03,7.0,2.0,25.0,-9.1,1.1,31,2
2005-02-04,7.0,2.5,20.0,-2.5,0.8,32,0
2005-02-05,8.0,6.7,21.0,-0.4,35.1,33,1
2005-02-06,8.0,-1.0,21.0,-4.7,102.4,34,2
2005-02-07,8.0,-1.0,21.0,-5.6,51.5,35,3
2005-02-08,8.0,-1.0,21.0,-4.9,2.8,36,4
2005-02-09,7.0,-1.0,21.0,-5.8,1.9,37,5
2005-02-10,8.0,2.0,21.0,-5.1,0.6,38,6
2005-02-11,8.0,-1.0,23.0,-0.7,41.3,39,7
2005-02-12,8.0,0.0,23.0,-3.7,118.3,40,8
2005-02-13,8.0,0.0,23.0,-4.1,2.2,41,9
2005-02-14,7.0,0.0,23.0,-10.0,51.9,42,10
2005-02-15,7.0,-1.0,23.0,-14.7,37.7,43,11
2005-02-16,8.0,0.1,23.0,-19.5,56.8,44,12
2005-02-17,0.0,0.2,23.0,-14.3,17.1,45,13
2005-02-18,8.0,0.0,23.0,-9.8,1.6,46,14
2005-02-19,7.0,0.2,23.0,-7.7,1.1,47,15
2005-02-20,8.0,0.3,23.0,-8.7,1.0,48,16
2005-02-21,8.0,-1.0,25.0,-12.3,202.8,49,17
2005-02-22,0.0,-1.0,25.0,-16.5,220.5,50,18
2005-02-23,0.0,-1.0,25.0,-18.3,21.2,51,19
2005-02-24,3.0,0.5,25.0,-10.6,4.9,52,20
2005-02-25,8.0,-1.0,26.0,-7.8,169.4,53,21
2005-02-26,5.0,-1.0,26.0,-12.1,166.7,54,22
2005-02-27,7.0,-1.0,27.0,-13.9,222.4,55,23
2005-02-28,5.0,-1.0,26.0,-17.8,105.3,56,24
2005-03-01,0.0,0.0,26.0,-18.4,198.9,57,25
2005-03-02,7.0,-1.0,26.0,-15.5,122.2,58,26
2005-03-03,0.0,0.9,26.0,-8.8,262.0,59,27
2005-03-04,5.0,-1.0,27.0,-9.3,2.6,60,28
2005-03-05,0.0,-1.0,27.0,-12.5,1.5,61,29
2005-03-06,0.0,0.0,27.0,-12.0,1.3,62,30
2005-03-07,7.0,1.8,27.0,-9.5,4.0,63,31
2005-03-08,8.0,-1.0,29.0,-8.5,285.6,64,32
2005-03-09,0.0,-1.0,29.0,-13.4,289.2,65,33
2005-03-10,0.0,-1.0,29.0,-16.1,23.1,66,34
2005-03-11,0.0,-1.0,29.0,-14.9,304.8,67,35
2005-03-12,7.0,-1.0,28.0,-11.1,313.4,68,36
2005-03-13,5.0,-1.0,28.0,-14.2,259.7,69,37
2005-03-14,0.0,-1.0,28.0,-12.9,219.3,70,38
2005-03-15,7.0,-1.0,28.0,-12.2,216.6,71,39
2005-03-16,0.0,-1.0,28.0,-14.8,247.3,72,40
2005-03-17,0.0,1.1,28.0,-12.6,42.3,73,41
2005-03-18,7.0,-1.0,29.0,-10.5,108.5,74,42
2005-03-19,0.0,0.0,29.0,-6.3,76.9,75,43
2005-03-20,0.0,-1.0,29.0,-7.5,219.2,76,44
2005-03-21,0.0,-1.0,29.0,-6.1,266.7,77,45
2005-03-22,7.0,-1.0,29.0,-7.1,357.1,78,46
2005-03-23,0.0,3.1,29.0,-8.0,7.0,79,47
2005-03-24,8.0,0.8,30.0,1.6,2.8,80,48
2005-03-25,0.0,0.0,26.0,2.2,6.4,81,49
2005-03-26,7.0,-1.0,26.0,-0.6,3.2,82,50
2005-03-27,5.0,-1.0,26.0,-5.2,2.5,83,51
2005-03-28,0.0,-1.0,25.0,-7.2,27.6,84,52
2005-03-29,8.0,-1.0,24.0,-2.8,224.7,85,53
2005-03-30,7.0,-1.0,24.0,-1.2,37.6,86,54
2005-03-31,8.0,-1.0,24.0,1.1,247.6,87,55
2005-04-01,7.0,-1.0,23.0,2.0,98.4,88,56
2005-04-02,8.0,-1.0,23.0,3.9,93.6,89,57
2005-04-03,1.0,-1.0,23.0,1.0,347.7,90,58
2005-04-04,7.0,0.3,20.0,3.7,149.8,91,0
2005-04-05,3.0,0.0,5.0,7.4,1.2,0,0
2005-04-06,7.0,2.3,3.0,3.4,305.4,0,0
2005-04-07,0.0,3.1,1.0,2.1,134.8,0,0
2005-04-08,5.0,-1.0,1.0,2.8,1.1,0,0
2005-04-09,0.0,0.3,1.0,3.3,3.0,0,0
2005-04-10,5.0,-1.0,1.0,3.0,272.3,0,0
2005-04-11,0.0,1.4,1.0,0.1,1.3,0,0
2005-04-12,9.0,3.4,0.0,1.6,59.0,0,0
2005-04-13,7.0,1.2,0.0,3.0,2.3,0,0
2005-04-14,7.0,-1.0,0.0,2.9,1.8,0,0
2005-04-15,7.0,-1.0,0.0,3.1,267.6,0,0
2005-04-16,5.0,-1.0,0.0,4.1,38.1,0,0
2005-04-17,0.0,-1.0,0.0,1.0,363.1,0,0
2005-04-18,0.0,0.0,0.0,-1.9,129.7,0,0
2005-04-19,0.0,-1.0,0.0,-3.5,185.3,0,0
2005-04-20,7.0,0.0,0.0,-2.6,302.0,0,0
2005-04-21,7.0,2.3,0.0,-3.7,84.1,0,0
2005-04-22,8.0,-1.0,0.0,-0.5,137.3,0,0
2005-04-23,0.0,-1.0,0.0,0.8,442.3,0,0
2005-04-24,0.0,-1.0,0.0,2.6,451.9,0,0
2005-04-25,0.0,-1.0,0.0,3.9,215.3,0,0
2005-04-26,0.0,-1.0,0.0,5.4,493.6,0,0
2005-04-27,5.0,-1.0,0.0,7.7,403.2,0,0
2005-04-28,1.0,-1.0,0.0,5.6,216.4,0,0
2005-04-29,8.0,-1.0,0.0,3.7,107.8,0,0
2005-04-30,8.0,-1.0,-1.0,0.8,125.3,0,0
2005-05-01,7.0,-1.0,-1.0,-0.8,523.4,0,0
2005-05-02,0.0,-1.0,-1.0,-0.7,358.1,0,0
2005-05-03,5.0,-1.0,-1.0,3.5,1.6,0,0
2005-05-04,8.0,-1.0,-1.0,6.1,4.8,0,0
2005-05-05,1.0,0.4,-1.0,4.4,2.4,0,0
2005-05-06,7.0,0.0,-1.0,,1.4,0,0
2005-05-07,8.0,0.0,-1.0,2.5,160.3,0,0
2005-05-08,8.0,6.3,-1.0,5.8,5.0,0,0
2005-05-09,7.0,16.5,-1.0,3.7,1.8,0,0
2005-05-10,5.0,10.4,-1.0,5.3,209.6,0,0
2005-05-11,7.0,1.3,1.0,3.0,1.2,0,0
2005-05-12,8.0,-1.0,-1.0,8.1,84.6,0,0
2005-05-13,1.0,-1.0,-1.0,,385.7,0,0
2005-05-14,7.0,2.5,-1.0,,361.8,0,0
2005-05-15,7.0,0.0,-1.0,,509.0,0,0
2005-05-16,7.0,8.0,-1.0,,292.3,0,0
2005-05-17,7.0,0.8,-1.0,9.1,1.1,0,0
2005-05-18,7.0,-1.0,-1.0,4.1,493.6,0,0
2005-05-19,7.0,5.3,-1.0,4.8,255.2,0,0
2005-05-20,7.0,0.0,-1.0,8.1,355.0,0,0
2005-05-21,0.0,-1.0,-1.0,11.3,6.2,0,0
2005-05-22,0.0,0.0,-1.0,14.2,56.4,0,0
2005-05-23,7.0,0.0,-1.0,12.5,350.3,0,0
2005-05-24,3.0,17.8,-1.0,16.6,,0,0
2005-05-25,1.0,14.9,-1.0,12.6,,0,0
2005-05-26,7.0,10.0,-1.0,13.1,311.4,0,0
2005-05-27,7.0,0.5,-1.0,11.3,1.8,0,0
2005-05-28,0.0,0.0,-1.0,7.1,186.9,0,0
2005-05-29,0.0,-1.0,-1.0,8.4,23.1,0,0
2005-05-30,0.0,0.0,-1.0,7.2,43.5,0,0
2005-05-31,0.0,-1.0,-1.0,8.3,344.1,0,0
2005-06-01,3.0,0.0,-1.0,9.2,191.9,0,0
2005-06-02,3.0,0.0,-1.0,9.5,165.6,0,0
2005-06-03,8.0,2.1,-1.0,9.7,215.2,0,0
2005-06-04,0.0,0.2,-1.0,11.8,288.9,0,0
2005-06-05,7.0,6.3,-1.0,11.0,41.9,0,0
2005-06-06,7.0,13.5,-1.0,11.9,50.8,0,0
2005-06-07,7.0,-1.0,-1.0,9.6,4.9,0,0
2005-06-08,8.0,-1.0,-1.0,10.1,172.0,0,0
2005-06-09,0.0,-1.0,-1.0,12.7,175.4,0,0
2005-06-10,0.0,1.3,-1.0,15.3,64.7,0,0
2005-06-11,7.0,-1.0,-1.0,17.4,148.7,0,0
2005-06-12,1.0,-1.0,-1.0,18.7,278.1,0,0
2005-06-13,7.0,-1.0,-1.0,20.7,482.6,0,0
2005-06-14,0.0,-1.0,-1.0,18.0,237.9,0,0
2005-06-15,5.0,5.3,-1.0,9.4,105.7,0,0
2005-06-16,8.0,-1.0,-1.0,14.0,272.7,0,0
2005-06-17,0.0,-1.0,-1.0,16.6,137.3,0,0
2005-06-18,3.0,-1.0,-1.0,13.9,399.3,0,0
