"Observation station","Year","Month","Day","Time [Local time]","Snow depth [cm]","Average temperature [°C]","Precipitation amount [mm]"
"Kittilä Pakatti","2013","1","1","02:00","56","-2","4.6"
"Kittilä Pakatti","2013","1","2","02:00","56","-3.1","-1"
"Kittilä Pakatti","2013","1","3","02:00","55","-5.9","-1"
"Kittilä Pakatti","2013","1","4","02:00","55","-8.7","-1"
"Kittilä Pakatti","2013","1","5","02:00","53","-11","-1"
"Kittilä Pakatti","2013","1","6","02:00","53","-17.4","4.4"
"Kittilä Pakatti","2013","1","7","02:00","58","-14.3","-1"
"Kittilä Pakatti","2013","1","8","02:00","56","-10.5","2.5"
"Kittilä Pakatti","2013","1","9","02:00","59","-8.5","-1"
"Kittilä Pakatti","2013","1","10","02:00","58","-10.5","-1"
"Kittilä Pakatti","2013","1","11","02:00","57","-12.8","-1"
"Kittilä Pakatti","2013","1","12","02:00","57","-6.3","-1"
"Kittilä Pakatti","2013","1","13","02:00","55","-13.5","-1"
"Kittilä Pakatti","2013","1","14","02:00","55","-11.8","-1"
"Kittilä Pakatti","2013","1","15","02:00","54","-23.3","-1"
"Kittilä Pakatti","2013","1","16","02:00","54","-18.2","-1"
"Kittilä Pakatti","2013","1","17","02:00","54","-16.6","-1"
"Kittilä Pakatti","2013","1","18","02:00","54","-9.8","0.4"
"Kittilä Pakatti","2013","1","19","02:00","54","-4.3","0.3"
"Kittilä Pakatti","2013","1","20","02:00","53","-9.5","-1"
"Kittilä Pakatti","2013","1","21","02:00","55","-3.6","-1"
"Kittilä Pakatti","2013","1","22","02:00","54","-7.8","-1"
"Kittilä Pakatti","2013","1","23","02:00","54","-9.1","-1"
"Kittilä Pakatti","2013","1","24","02:00","53","-12.8","-1"
"Kittilä Pakatti","2013","1","25","02:00","53","-26.9","-1"
"Kittilä Pakatti","2013","1","26","02:00","53","-21.9","3"
"Kittilä Pakatti","2013","1","27","02:00","59","-17.1","-1"
"Kittilä Pakatti","2013","1","28","02:00","59","-19.9","8.3"
"Kittilä Pakatti","2013","1","29","02:00","71","-4.2","0.8"
"Kittilä Pakatti","2013","1","30","02:00","69","-3.1","8.6"
"Kittilä Pakatti","2013","1","31","02:00","76","-2.5","8"
"Kittilä Pakatti","2013","2","1","02:00","84","-3","1.2"
