"Observation station","Year","Month","Day","Time [Local time]","Precipitation amount [mm]","Snow depth [cm]","Average temperature [°C]"
"Kuusamo Kiutaköngäs","2000","1","1","02:00","0.2","52","-10.6"
"Kuusamo Kiutaköngäs","2000","1","2","02:00","0.7","52","-9.4"
"Kuusamo Kiutaköngäs","2000","1","3","02:00","1.1","50","-6"
"Kuusamo Kiutaköngäs","2000","1","4","02:00","4.4","50","-9.5"
"Kuusamo Kiutaköngäs","2000","1","5","02:00","0.6","56","-15.2"
"Kuusamo Kiutaköngäs","2000","1","6","02:00","3.3","53","-16.3"
"Kuusamo Kiutaköngäs","2000","1","7","02:00","0.6","54","-0.9"
"Kuusamo Kiutaköngäs","2000","1","8","02:00","0.6","52","-0.2"
"Kuusamo Kiutaköngäs","2000","1","9","02:00","-1","50","0.9"
"Kuusamo Kiutaköngäs","2000","1","10","02:00","-1","50","-6.9"
"Kuusamo Kiutaköngäs","2000","1","11","02:00","2.5","50","-7.1"
"Kuusamo Kiutaköngäs","2000","1","12","02:00","5.1","52","-3"
"Kuusamo Kiutaköngäs","2000","1","13","02:00","-1","60","-3.8"
"Kuusamo Kiutaköngäs","2000","1","14","02:00","0.5","59","-12.2"
"Kuusamo Kiutaköngäs","2000","1","15","02:00","-1","58","-8.3"
"Kuusamo Kiutaköngäs","2000","1","16","02:00","7.9","57","-9.1"
"Kuusamo Kiutaköngäs","2000","1","17","02:00","0.7","64","-6.4"
"Kuusamo Kiutaköngäs","2000","1","18","02:00","0.1","65","-20"
"Kuusamo Kiutaköngäs","2000","1","19","02:00","0.4","64","-16.2"
"Kuusamo Kiutaköngäs","2000","1","20","02:00","0.3","65","-19.4"
"Kuusamo Kiutaköngäs","2000","1","21","02:00","0.1","64","-14.1"
"Kuusamo Kiutaköngäs","2000","1","22","02:00","0.3","63","-22.6"
"Kuusamo Kiutaköngäs","2000","1","23","02:00","-1","63","-25"
"Kuusamo Kiutaköngäs","2000","1","24","02:00","1.2","63","-28.9"
"Kuusamo Kiutaköngäs","2000","1","25","02:00","7.5","64","-13.8"
"Kuusamo Kiutaköngäs","2000","1","26","02:00","0.3","68","-6.7"
"Kuusamo Kiutaköngäs","2000","1","27","02:00","-1","68","-14.2"
"Kuusamo Kiutaköngäs","2000","1","28","02:00","-1","67","-25.5"
"Kuusamo Kiutaköngäs","2000","1","29","02:00","4","66","-24.8"
"Kuusamo Kiutaköngäs","2000","1","30","02:00","5.1","68","-3.2"
"Kuusamo Kiutaköngäs","2000","1","31","02:00","3","74","-7.5"
"Kuusamo Kiutaköngäs","2000","2","1","02:00","0.9","74","-8.5"
"Kuusamo Kiutaköngäs","2000","2","2","02:00","0.7","74","-12.8"
"Kuusamo Kiutaköngäs","2000","2","3","02:00","0.2","73","-13.9"
"Kuusamo Kiutaköngäs","2000","2","4","02:00","1.5","73","-18.1"
"Kuusamo Kiutaköngäs","2000","2","5","02:00","-1","74","-15.4"
"Kuusamo Kiutaköngäs","2000","2","6","02:00","8.9","74","-10.4"
"Kuusamo Kiutaköngäs","2000","2","7","02:00","1.5","79","-4.7"
"Kuusamo Kiutaköngäs","2000","2","8","02:00","2.1","79","-0.3"
"Kuusamo Kiutaköngäs","2000","2","9","02:00","-1","78","-8.7"
"Kuusamo Kiutaköngäs","2000","2","10","02:00","0.6","77","-8.4"
"Kuusamo Kiutaköngäs","2000","2","11","02:00","0.6","77","0.2"
"Kuusamo Kiutaköngäs","2000","2","12","02:00","0.1","76","-4.5"
"Kuusamo Kiutaköngäs","2000","2","13","02:00","0","75","-1.3"
"Kuusamo Kiutaköngäs","2000","2","14","02:00","0.3","75","-1.6"
"Kuusamo Kiutaköngäs","2000","2","15","02:00","0.8","75","-4.2"
"Kuusamo Kiutaköngäs","2000","2","16","02:00","0.7","75","-8.4"
"Kuusamo Kiutaköngäs","2000","2","17","02:00","1.4","76","-10.2"
"Kuusamo Kiutaköngäs","2000","2","18","02:00","0.8","77","-7"
"Kuusamo Kiutaköngäs","2000","2","19","02:00","0.7","78","-7"
"Kuusamo Kiutaköngäs","2000","2","20","02:00","0.2","79","-8.5"
"Kuusamo Kiutaköngäs","2000","2","21","02:00","0.4","78","-15.5"
"Kuusamo Kiutaköngäs","2000","2","22","02:00","0.1","79","-15.1"
"Kuusamo Kiutaköngäs","2000","2","23","02:00","0.2","78","-20.9"
"Kuusamo Kiutaköngäs","2000","2","24","02:00","0","78","-25.4"
"Kuusamo Kiutaköngäs","2000","2","25","02:00","-1","78","-25.2"
"Kuusamo Kiutaköngäs","2000","2","26","02:00","0.5","77","-21.7"
"Kuusamo Kiutaköngäs","2000","2","27","02:00","6.5","77","-9.3"
"Kuusamo Kiutaköngäs","2000","2","28","02:00","4.7","85","-8.3"
"Kuusamo Kiutaköngäs","2000","2","29","02:00","2.4","89","-11.6"
"Kuusamo Kiutaköngäs","2000","3","1","02:00","6.2","87","-12.1"
"Kuusamo Kiutaköngäs","2000","3","2","02:00","5.9","91","-5.6"
"Kuusamo Kiutaköngäs","2000","3","3","02:00","1","94","-9.4"
"Kuusamo Kiutaköngäs","2000","3","4","02:00","4.7","94","-8.2"
"Kuusamo Kiutaköngäs","2000","3","5","02:00","-1","96","-9.1"
