Date,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],cloud_cover_code
2000-01-02,0.7,52,-9.4,7
2000-01-03,1.1,50,-6,7
2000-01-04,4.4,50,-9.5,7
2000-01-05,0.6,56,-15.2,8
2000-01-06,3.3,53,-16.3,8
2000-01-07,0.6,54,-0.9,7
2000-01-08,0.6,52,-0.2,7
2000-01-09,-1,50,0.9,0
2000-01-10,-1,50,-6.9,0
2000-01-11,2.5,50,-7.1,0
2000-01-12,5.1,52,-3,1
2000-01-13,-1,60,-3.8,7
2000-01-14,0.5,59,-12.2,7
2000-01-15,-1,58,-8.3,7
2000-01-16,7.9,57,-9.1,9
2000-01-17,0.7,64,-6.4,8
2000-01-18,0.1,65,-20,5
2000-01-19,0.4,64,-16.2,7
2000-01-20,0.3,65,-19.4,9
2000-01-21,0.1,64,-14.1,8
2000-01-22,0.3,63,-22.6,0
2000-01-23,-1,63,-25,8
2000-01-24,1.2,63,-28.9,9
2000-01-25,7.5,64,-13.8,8
2000-01-26,0.3,68,-6.7,8
2000-01-27,-1,68,-14.2,7
2000-01-28,-1,67,-25.5,0
2000-01-29,4,66,-24.8,0
2000-01-30,5.1,68,-3.2,8
2000-01-31,3,74,-7.5,8
2000-02-01,0.9,74,-8.5,5
2000-02-02,0.7,74,-12.8,7
2000-02-03,0.2,73,-13.9,7
2000-02-04,1.5,73,-18.1,0
2000-02-05,-1,74,-15.4,8
2000-02-06,8.9,74,-10.4,8
2000-02-07,1.5,79,-4.7,9
2000-02-08,2.1,79,-0.3,9
2000-02-09,-1,78,-8.7,8
2000-02-10,0.6,77,-8.4,0
2000-02-11,0.6,77,0.2,8
2000-02-12,0.1,76,-4.5,8
2000-02-13,0,75,-1.3,7
2000-02-14,0.3,75,-1.6,7
2000-02-15,0.8,75,-4.2,8
2000-02-16,0.7,75,-8.4,8
2000-02-17,1.4,76,-10.2,0
2000-02-18,0.8,77,-7,7
2000-02-19,0.7,78,-7,8
2000-02-20,0.2,79,-8.5,8
2000-02-21,0.4,78,-15.5,9
2000-02-22,0.1,79,-15.1,8
2000-02-23,0.2,78,-20.9,7
2000-02-24,0,78,-25.4,8
2000-02-25,-1,78,-25.2,7
2000-02-26,0.5,77,-21.7,1
2000-02-27,6.5,77,-9.3,8
2000-02-28,4.7,85,-8.3,7
2000-02-29,2.4,89,-11.6,8
2000-03-01,6.2,87,-12.1,8
2000-03-02,5.9,91,-5.6,8
2000-03-03,1,94,-9.4,8
2000-03-04,4.7,94,-8.2,7
2000-03-05,-1,96,-9.1,7
2000-03-06,1.6,95,-18.9,0
2000-03-07,2.2,96,-7.2,8
2000-03-08,1.5,96,-7.8,8
2000-03-09,2,98,-4.7,7
2000-03-10,0.5,99,-4.8,7
2000-03-11,0.2,98,-6.1,8
2000-03-12,-1,97,-7.6,8
2000-03-13,1.5,95,-7.5,0
2000-03-14,0.9,94,-2,7
2000-03-15,0.5,94,-4,7
2000-03-16,-1,94,-5.8,8
2000-03-17,-1,92,-10.6,0
2000-03-18,-1,92,-2.2,8
2000-03-19,-1,91,-1,7
2000-03-20,0.2,89,2.7,8
2000-03-21,-1,85,-2.3,0
2000-03-22,-1,84,-4.3,5
2000-03-23,-1,84,-5.4,1
2000-03-24,0.2,84,-1.6,1
2000-03-25,0.1,84,-4.7,7
2000-03-26,-1,84,-6.9,7
2000-03-27,-1,84,-10.5,0
2000-03-28,-1,84,-3.8,7
2000-03-29,0.2,84,-1.2,1
2000-03-30,-1,84,4.9,8
2000-03-31,0.7,81,0.1,0
2000-04-01,5.8,81,-3.1,8
2000-04-02,0,89,-6.7,8
2000-04-03,0.5,88,-12.7,0
2000-04-04,1.5,87,-4.7,7
2000-04-05,4,88,0.4,7
2000-04-06,1.5,87,-3,8
2000-04-07,-1,91,0.1,8
2000-04-08,-1,88,-4.8,0
2000-04-09,-1,87,-0.7,0
2000-04-10,-1,86,3.4,7
