,Observation station,Precipitation amount [mm],Snow depth [cm],Average temperature [°C],Date
0,Sodankylä Tähtelä,0.7,49,-11.8,2000-01-01
1,Sodankylä Tähtelä,3.6,49,-8.3,2000-01-02
2,Sodankylä Tähtelä,0.7,50,-4.9,2000-01-03
3,Sodankylä Tähtelä,4.4,50,-7.9,2000-01-04
4,Sodankylä Tähtelä,0.1,52,-17.3,2000-01-05
5,Sodankylä Tähtelä,3.5,52,-12.5,2000-01-06
6,Sodankylä Tähtelä,3.1,52,-0.3,2000-01-07
7,Sodankylä Tähtelä,7.2,52,-0.6,2000-01-08
8,Sodankylä Tähtelä,-1.0,59,-0.6,2000-01-09
9,Sodankylä Tähtelä,0.0,58,-6.1,2000-01-10
10,Sodankylä Tähtelä,0.2,56,-5.0,2000-01-11
11,Sodankylä Tähtelä,8.1,56,-4.6,2000-01-12
12,Sodankylä Tähtelä,0.1,63,-7.6,2000-01-13
13,Sodankylä Tähtelä,0.0,62,-17.6,2000-01-14
14,Sodankylä Tähtelä,0.0,62,-14.8,2000-01-15
15,Sodankylä Tähtelä,8.0,62,-10.9,2000-01-16
16,Sodankylä Tähtelä,0.4,66,-8.1,2000-01-17
17,Sodankylä Tähtelä,0.3,66,-18.7,2000-01-18
18,Sodankylä Tähtelä,0.1,65,-25.5,2000-01-19
19,Sodankylä Tähtelä,0.6,65,-27.8,2000-01-20
20,Sodankylä Tähtelä,-1.0,65,-14.5,2000-01-21
21,Sodankylä Tähtelä,-1.0,65,-25.6,2000-01-22
22,Sodankylä Tähtelä,0.0,65,-22.6,2000-01-23
23,Sodankylä Tähtelä,1.5,64,-26.3,2000-01-24
24,Sodankylä Tähtelä,1.2,65,-8.8,2000-01-25
25,Sodankylä Tähtelä,0.2,66,-3.9,2000-01-26
26,Sodankylä Tähtelä,-1.0,66,-10.3,2000-01-27
27,Sodankylä Tähtelä,0.6,66,-20.8,2000-01-28
28,Sodankylä Tähtelä,5.9,66,-20.8,2000-01-29
29,Sodankylä Tähtelä,18.5,70,-3.5,2000-01-30
30,Sodankylä Tähtelä,2.0,89,-10.9,2000-01-31
31,Sodankylä Tähtelä,2.5,89,-9.6,2000-02-01
32,Sodankylä Tähtelä,1.9,92,-11.1,2000-02-02
33,Sodankylä Tähtelä,-1.0,92,-10.4,2000-02-03
34,Sodankylä Tähtelä,1.5,90,-12.9,2000-02-04
35,Sodankylä Tähtelä,0.0,91,-13.2,2000-02-05
36,Sodankylä Tähtelä,10.7,90,-7.7,2000-02-06
37,Sodankylä Tähtelä,2.5,96,-5.8,2000-02-07
38,Sodankylä Tähtelä,0.7,98,-2.6,2000-02-08
39,Sodankylä Tähtelä,-1.0,96,-14.9,2000-02-09
40,Sodankylä Tähtelä,2.0,94,-10.5,2000-02-10
41,Sodankylä Tähtelä,0.3,93,-0.8,2000-02-11
42,Sodankylä Tähtelä,0.0,93,-3.8,2000-02-12
43,Sodankylä Tähtelä,1.6,91,0.1,2000-02-13
44,Sodankylä Tähtelä,1.5,93,-1.8,2000-02-14
45,Sodankylä Tähtelä,0.1,93,-4.6,2000-02-15
46,Sodankylä Tähtelä,0.1,93,-8.4,2000-02-16
47,Sodankylä Tähtelä,1.2,93,-12.6,2000-02-17
48,Sodankylä Tähtelä,0.1,93,-9.2,2000-02-18
49,Sodankylä Tähtelä,0.4,90,-8.4,2000-02-19
50,Sodankylä Tähtelä,0.1,90,-18.4,2000-02-20
51,Sodankylä Tähtelä,0.2,90,-13.5,2000-02-21
52,Sodankylä Tähtelä,0.1,89,-12.0,2000-02-22
53,Sodankylä Tähtelä,0.1,89,-21.8,2000-02-23
54,Sodankylä Tähtelä,0.2,89,-16.4,2000-02-24
55,Sodankylä Tähtelä,0.0,90,-18.4,2000-02-25
56,Sodankylä Tähtelä,1.8,89,-19.4,2000-02-26
57,Sodankylä Tähtelä,8.4,91,-8.5,2000-02-27
58,Sodankylä Tähtelä,3.4,96,-11.5,2000-02-28
59,Sodankylä Tähtelä,3.6,99,-12.5,2000-02-29
60,Sodankylä Tähtelä,12.3,103,-13.4,2000-03-01
61,Sodankylä Tähtelä,4.3,112,-11.6,2000-03-02
62,Sodankylä Tähtelä,1.2,113,-10.0,2000-03-03
63,Sodankylä Tähtelä,2.1,115,-9.5,2000-03-04
64,Sodankylä Tähtelä,0.0,111,-12.9,2000-03-05
65,Sodankylä Tähtelä,2.7,110,-19.0,2000-03-06
66,Sodankylä Tähtelä,2.3,111,-8.6,2000-03-07
67,Sodankylä Tähtelä,0.6,110,-5.9,2000-03-08
68,Sodankylä Tähtelä,0.1,109,-3.9,2000-03-09
69,Sodankylä Tähtelä,0.1,106,-6.1,2000-03-10
70,Sodankylä Tähtelä,0.1,105,-6.8,2000-03-11
71,Sodankylä Tähtelä,0.1,104,-9.2,2000-03-12
72,Sodankylä Tähtelä,0.7,104,-3.7,2000-03-13
73,Sodankylä Tähtelä,2.0,102,-3.1,2000-03-14
74,Sodankylä Tähtelä,0.1,105,-5.8,2000-03-15
75,Sodankylä Tähtelä,0.1,103,-7.2,2000-03-16
76,Sodankylä Tähtelä,0.1,101,-10.7,2000-03-17
77,Sodankylä Tähtelä,2.6,100,-4.0,2000-03-18
78,Sodankylä Tähtelä,2.5,103,-2.7,2000-03-19
79,Sodankylä Tähtelä,0.0,102,1.3,2000-03-20
80,Sodankylä Tähtelä,-1.0,97,-2.8,2000-03-21
81,Sodankylä Tähtelä,-1.0,96,-3.6,2000-03-22
82,Sodankylä Tähtelä,0.3,96,-4.0,2000-03-23
83,Sodankylä Tähtelä,0.2,96,-2.9,2000-03-24
84,Sodankylä Tähtelä,0.1,96,-5.6,2000-03-25
85,Sodankylä Tähtelä,0.0,95,-7.7,2000-03-26
86,Sodankylä Tähtelä,-1.0,95,-9.3,2000-03-27
87,Sodankylä Tähtelä,0.1,94,-2.5,2000-03-28
88,Sodankylä Tähtelä,0.1,94,0.5,2000-03-29
89,Sodankylä Tähtelä,0.3,93,4.7,2000-03-30
90,Sodankylä Tähtelä,0.9,88,-2.0,2000-03-31
91,Sodankylä Tähtelä,8.6,88,-7.6,2000-04-01
92,Sodankylä Tähtelä,0.2,97,-7.5,2000-04-02
93,Sodankylä Tähtelä,1.5,96,-12.6,2000-04-03
94,Sodankylä Tähtelä,22.7,96,-4.7,2000-04-04
95,Sodankylä Tähtelä,11.0,113,0.2,2000-04-05
96,Sodankylä Tähtelä,0.6,119,-2.9,2000-04-06
97,Sodankylä Tähtelä,-1.0,117,-1.6,2000-04-07
98,Sodankylä Tähtelä,-1.0,115,-3.0,2000-04-08
99,Sodankylä Tähtelä,0.1,114,0.8,2000-04-09
100,Sodankylä Tähtelä,-1.0,110,3.4,2000-04-10
101,Sodankylä Tähtelä,1.0,107,0.6,2000-04-11
102,Sodankylä Tähtelä,4.2,106,0.4,2000-04-12
103,Sodankylä Tähtelä,2.8,105,0.1,2000-04-13
104,Sodankylä Tähtelä,0.3,102,1.0,2000-04-14
105,Sodankylä Tähtelä,0.4,101,0.2,2000-04-15
106,Sodankylä Tähtelä,0.0,100,0.1,2000-04-16
107,Sodankylä Tähtelä,3.4,97,2.5,2000-04-17
108,Sodankylä Tähtelä,0.1,92,2.3,2000-04-18
109,Sodankylä Tähtelä,-1.0,88,2.2,2000-04-19
110,Sodankylä Tähtelä,1.1,86,1.4,2000-04-20
111,Sodankylä Tähtelä,0.1,84,2.9,2000-04-21
112,Sodankylä Tähtelä,1.8,80,3.6,2000-04-22
113,Sodankylä Tähtelä,4.0,75,0.9,2000-04-23
114,Sodankylä Tähtelä,0.1,72,2.9,2000-04-24
115,Sodankylä Tähtelä,14.5,69,1.1,2000-04-25
116,Sodankylä Tähtelä,0.3,77,0.1,2000-04-26
117,Sodankylä Tähtelä,0.0,72,-0.3,2000-04-27
118,Sodankylä Tähtelä,-1.0,70,1.6,2000-04-28
119,Sodankylä Tähtelä,0.0,69,2.0,2000-04-29
120,Sodankylä Tähtelä,-1.0,67,-1.5,2000-04-30
121,Sodankylä Tähtelä,-1.0,66,-0.9,2000-05-01
122,Sodankylä Tähtelä,0.3,66,2.9,2000-05-02
123,Sodankylä Tähtelä,-1.0,63,4.5,2000-05-03
124,Sodankylä Tähtelä,0.0,60,3.3,2000-05-04
125,Sodankylä Tähtelä,0.1,56,4.5,2000-05-05
126,Sodankylä Tähtelä,-1.0,54,1.1,2000-05-06
127,Sodankylä Tähtelä,0.4,53,2.4,2000-05-07
128,Sodankylä Tähtelä,-1.0,49,5.1,2000-05-08
129,Sodankylä Tähtelä,2.3,45,6.8,2000-05-09
130,Sodankylä Tähtelä,0.1,38,5.8,2000-05-10
131,Sodankylä Tähtelä,0.2,34,1.3,2000-05-11
132,Sodankylä Tähtelä,0.1,34,-1.1,2000-05-12
133,Sodankylä Tähtelä,0.0,32,0.4,2000-05-13
134,Sodankylä Tähtelä,0.1,31,1.5,2000-05-14
135,Sodankylä Tähtelä,0.0,27,1.8,2000-05-15
136,Sodankylä Tähtelä,-1.0,27,2.7,2000-05-16
137,Sodankylä Tähtelä,-1.0,22,4.0,2000-05-17
138,Sodankylä Tähtelä,0.0,17,7.1,2000-05-18
139,Sodankylä Tähtelä,0.0,5,12.2,2000-05-19
140,Sodankylä Tähtelä,-1.0,0,16.6,2000-05-20
141,Sodankylä Tähtelä,0.0,-1,14.9,2000-05-21
142,Sodankylä Tähtelä,0.2,-1,11.8,2000-05-22
143,Sodankylä Tähtelä,0.3,-1,10.6,2000-05-23
144,Sodankylä Tähtelä,6.4,-1,10.5,2000-05-24
145,Sodankylä Tähtelä,8.2,-1,10.0,2000-05-25
146,Sodankylä Tähtelä,17.7,-1,10.6,2000-05-26
147,Sodankylä Tähtelä,0.0,-1,6.5,2000-05-27
148,Sodankylä Tähtelä,2.9,-1,6.4,2000-05-28
149,Sodankylä Tähtelä,0.7,-1,12.5,2000-05-29
150,Sodankylä Tähtelä,2.5,-1,11.2,2000-05-30
151,Sodankylä Tähtelä,0.1,-1,10.9,2000-05-31
152,Sodankylä Tähtelä,1.7,-1,9.2,2000-06-01
153,Sodankylä Tähtelä,3.0,-1,10.7,2000-06-02
154,Sodankylä Tähtelä,2.5,-1,9.8,2000-06-03
155,Sodankylä Tähtelä,3.5,-1,8.9,2000-06-04
156,Sodankylä Tähtelä,0.0,-1,8.6,2000-06-05
157,Sodankylä Tähtelä,-1.0,-1,9.0,2000-06-06
158,Sodankylä Tähtelä,0.1,-1,11.6,2000-06-07
159,Sodankylä Tähtelä,0.1,-1,11.0,2000-06-08
160,Sodankylä Tähtelä,0.0,-1,7.9,2000-06-09
161,Sodankylä Tähtelä,2.3,-1,12.0,2000-06-10
162,Sodankylä Tähtelä,-1.0,-1,14.5,2000-06-11
163,Sodankylä Tähtelä,15.6,-1,10.1,2000-06-12
164,Sodankylä Tähtelä,11.4,-1,7.5,2000-06-13
165,Sodankylä Tähtelä,5.4,-1,7.6,2000-06-14
166,Sodankylä Tähtelä,1.5,-1,4.6,2000-06-15
167,Sodankylä Tähtelä,0.1,-1,4.7,2000-06-16
168,Sodankylä Tähtelä,0.5,-1,6.9,2000-06-17
169,Sodankylä Tähtelä,0.6,-1,9.1,2000-06-18
170,Sodankylä Tähtelä,3.2,-1,8.9,2000-06-19
171,Sodankylä Tähtelä,0.0,-1,12.1,2000-06-20
172,Sodankylä Tähtelä,-1.0,-1,13.0,2000-06-21
173,Sodankylä Tähtelä,10.1,-1,12.4,2000-06-22
174,Sodankylä Tähtelä,0.5,-1,15.0,2000-06-23
175,Sodankylä Tähtelä,-1.0,-1,14.9,2000-06-24
176,Sodankylä Tähtelä,1.2,-1,14.6,2000-06-25
177,Sodankylä Tähtelä,6.9,-1,14.3,2000-06-26
178,Sodankylä Tähtelä,1.8,-1,18.0,2000-06-27
179,Sodankylä Tähtelä,0.0,-1,18.6,2000-06-28
180,Sodankylä Tähtelä,1.0,-1,21.8,2000-06-29
181,Sodankylä Tähtelä,0.0,-1,13.6,2000-06-30
182,Sodankylä Tähtelä,0.0,-1,9.9,2000-07-01
183,Sodankylä Tähtelä,0.1,-1,11.3,2000-07-02
184,Sodankylä Tähtelä,0.0,-1,10.2,2000-07-03
185,Sodankylä Tähtelä,6.1,-1,10.4,2000-07-04
186,Sodankylä Tähtelä,0.0,-1,13.3,2000-07-05
187,Sodankylä Tähtelä,0.2,-1,11.2,2000-07-06
188,Sodankylä Tähtelä,-1.0,-1,11.3,2000-07-07
189,Sodankylä Tähtelä,9.5,-1,11.9,2000-07-08
190,Sodankylä Tähtelä,0.9,-1,13.6,2000-07-09
191,Sodankylä Tähtelä,0.1,-1,13.9,2000-07-10
192,Sodankylä Tähtelä,0.3,-1,15.8,2000-07-11
193,Sodankylä Tähtelä,2.2,-1,15.8,2000-07-12
194,Sodankylä Tähtelä,8.5,-1,17.0,2000-07-13
195,Sodankylä Tähtelä,-1.0,-1,17.6,2000-07-14
196,Sodankylä Tähtelä,5.4,-1,16.3,2000-07-15
197,Sodankylä Tähtelä,34.3,-1,17.0,2000-07-16
198,Sodankylä Tähtelä,-1.0,-1,18.1,2000-07-17
199,Sodankylä Tähtelä,8.5,-1,18.4,2000-07-18
200,Sodankylä Tähtelä,2.2,-1,22.6,2000-07-19
201,Sodankylä Tähtelä,0.3,-1,19.9,2000-07-20
202,Sodankylä Tähtelä,0.0,-1,20.1,2000-07-21
203,Sodankylä Tähtelä,5.6,-1,19.7,2000-07-22
204,Sodankylä Tähtelä,9.6,-1,20.5,2000-07-23
205,Sodankylä Tähtelä,-1.0,-1,15.3,2000-07-24
206,Sodankylä Tähtelä,-1.0,-1,11.0,2000-07-25
207,Sodankylä Tähtelä,-1.0,-1,12.5,2000-07-26
208,Sodankylä Tähtelä,-1.0,-1,15.0,2000-07-27
209,Sodankylä Tähtelä,-1.0,-1,17.8,2000-07-28
210,Sodankylä Tähtelä,-1.0,-1,18.3,2000-07-29
211,Sodankylä Tähtelä,-1.0,-1,18.3,2000-07-30
212,Sodankylä Tähtelä,1.1,-1,15.1,2000-07-31
213,Sodankylä Tähtelä,8.4,-1,11.9,2000-08-01
214,Sodankylä Tähtelä,1.2,-1,11.5,2000-08-02
215,Sodankylä Tähtelä,-1.0,-1,11.9,2000-08-03
216,Sodankylä Tähtelä,0.0,-1,13.9,2000-08-04
217,Sodankylä Tähtelä,-1.0,-1,15.1,2000-08-05
218,Sodankylä Tähtelä,0.0,-1,14.5,2000-08-06
219,Sodankylä Tähtelä,11.2,-1,12.6,2000-08-07
220,Sodankylä Tähtelä,0.8,-1,11.9,2000-08-08
221,Sodankylä Tähtelä,0.6,-1,12.0,2000-08-09
222,Sodankylä Tähtelä,2.3,-1,10.5,2000-08-10
223,Sodankylä Tähtelä,0.1,-1,11.5,2000-08-11
224,Sodankylä Tähtelä,2.8,-1,11.9,2000-08-12
225,Sodankylä Tähtelä,0.0,-1,12.3,2000-08-13
226,Sodankylä Tähtelä,-1.0,-1,9.6,2000-08-14
227,Sodankylä Tähtelä,-1.0,-1,9.5,2000-08-15
228,Sodankylä Tähtelä,0.0,-1,12.0,2000-08-16
229,Sodankylä Tähtelä,0.0,-1,12.1,2000-08-17
230,Sodankylä Tähtelä,0.2,-1,11.2,2000-08-18
231,Sodankylä Tähtelä,0.2,-1,9.7,2000-08-19
