"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2006","1","2","00:00","0.4"
"Jokioinen Ilmala","2006","1","3","00:00","1.6"
"Jokioinen Ilmala","2006","1","4","00:00","0.5"
"Jokioinen Ilmala","2006","1","5","00:00","0.5"
"Jokioinen Ilmala","2006","1","6","00:00","0.4"
"Jokioinen Ilmala","2006","1","7","00:00","0.5"
"Jokioinen Ilmala","2006","1","8","00:00","47.9"
"Jokioinen Ilmala","2006","1","9","00:00","0.3"
"Jokioinen Ilmala","2006","1","10","00:00","0.8"
"Jokioinen Ilmala","2006","1","11","00:00","0.1"
"Jokioinen Ilmala","2006","1","12","00:00","76"
"Jokioinen Ilmala","2006","1","13","00:00","0.8"
"Jokioinen Ilmala","2006","1","14","00:00","27.2"
"Jokioinen Ilmala","2006","1","15","00:00","0.4"
"Jokioinen Ilmala","2006","1","16","00:00","0.2"
"Jokioinen Ilmala","2006","1","17","00:00","0.4"
"Jokioinen Ilmala","2006","1","18","00:00","93.4"
"Jokioinen Ilmala","2006","1","19","00:00","97.7"
"Jokioinen Ilmala","2006","1","20","00:00","57.1"
"Jokioinen Ilmala","2006","1","21","00:00","89.1"
"Jokioinen Ilmala","2006","1","22","00:00","100.6"
"Jokioinen Ilmala","2006","1","23","00:00","0.3"
"Jokioinen Ilmala","2006","1","24","00:00","0.2"
"Jokioinen Ilmala","2006","1","25","00:00","0.9"
"Jokioinen Ilmala","2006","1","26","00:00","1.3"
"Jokioinen Ilmala","2006","1","27","00:00","102"
"Jokioinen Ilmala","2006","1","28","00:00","28.4"
"Jokioinen Ilmala","2006","1","29","00:00","96.2"
"Jokioinen Ilmala","2006","1","30","00:00","35.6"
"Jokioinen Ilmala","2006","1","31","00:00","1.6"
"Jokioinen Ilmala","2006","2","1","00:00","0.6"
"Jokioinen Ilmala","2006","2","2","00:00","0.6"
"Jokioinen Ilmala","2006","2","3","00:00","8.2"
"Jokioinen Ilmala","2006","2","4","00:00","79.2"
"Jokioinen Ilmala","2006","2","5","00:00","129.5"
"Jokioinen Ilmala","2006","2","6","00:00","61.4"
"Jokioinen Ilmala","2006","2","7","00:00","39"
"Jokioinen Ilmala","2006","2","8","00:00","42.4"
"Jokioinen Ilmala","2006","2","9","00:00","0.9"
"Jokioinen Ilmala","2006","2","10","00:00","1.3"
"Jokioinen Ilmala","2006","2","11","00:00","83.2"
"Jokioinen Ilmala","2006","2","12","00:00","1.5"
"Jokioinen Ilmala","2006","2","13","00:00","1.3"
"Jokioinen Ilmala","2006","2","14","00:00","1.9"
"Jokioinen Ilmala","2006","2","15","00:00","2.3"
"Jokioinen Ilmala","2006","2","16","00:00","28.8"
"Jokioinen Ilmala","2006","2","17","00:00","85.1"
"Jokioinen Ilmala","2006","2","18","00:00","2.6"
"Jokioinen Ilmala","2006","2","19","00:00","1.7"
"Jokioinen Ilmala","2006","2","20","00:00","16.2"
"Jokioinen Ilmala","2006","2","21","00:00","37.8"
"Jokioinen Ilmala","2006","2","22","00:00","2.3"
"Jokioinen Ilmala","2006","2","23","00:00","49.1"
"Jokioinen Ilmala","2006","2","24","00:00","4.5"
"Jokioinen Ilmala","2006","2","25","00:00","106.5"
"Jokioinen Ilmala","2006","2","26","00:00","126.9"
"Jokioinen Ilmala","2006","2","27","00:00","192.7"
"Jokioinen Ilmala","2006","2","28","00:00","54.5"
"Jokioinen Ilmala","2006","3","1","00:00","81.2"
"Jokioinen Ilmala","2006","3","2","00:00","7.6"
"Jokioinen Ilmala","2006","3","3","00:00","11.9"
"Jokioinen Ilmala","2006","3","4","00:00","4.3"
"Jokioinen Ilmala","2006","3","5","00:00","4.2"
"Jokioinen Ilmala","2006","3","6","00:00","50.6"
"Jokioinen Ilmala","2006","3","7","00:00","131"
"Jokioinen Ilmala","2006","3","8","00:00","5.7"
"Jokioinen Ilmala","2006","3","9","00:00","167.9"
"Jokioinen Ilmala","2006","3","10","00:00","150.9"
"Jokioinen Ilmala","2006","3","11","00:00","175"
"Jokioinen Ilmala","2006","3","12","00:00","207.1"
"Jokioinen Ilmala","2006","3","13","00:00","237.6"
"Jokioinen Ilmala","2006","3","14","00:00","12.3"
"Jokioinen Ilmala","2006","3","15","00:00","40"
"Jokioinen Ilmala","2006","3","16","00:00","108.6"
"Jokioinen Ilmala","2006","3","17","00:00","144.7"
"Jokioinen Ilmala","2006","3","18","00:00","6.9"
"Jokioinen Ilmala","2006","3","19","00:00","42.6"
"Jokioinen Ilmala","2006","3","20","00:00","218.9"
"Jokioinen Ilmala","2006","3","21","00:00","159.1"
"Jokioinen Ilmala","2006","3","22","00:00","215.6"
"Jokioinen Ilmala","2006","3","23","00:00","226.9"
"Jokioinen Ilmala","2006","3","24","00:00","106.3"
"Jokioinen Ilmala","2006","3","25","00:00","190.7"
"Jokioinen Ilmala","2006","3","26","00:00","199.4"
"Jokioinen Ilmala","2006","3","27","00:00","57.9"
"Jokioinen Ilmala","2006","3","28","00:00","2.9"
"Jokioinen Ilmala","2006","3","29","00:00","4.1"
"Jokioinen Ilmala","2006","3","30","00:00","3"
"Jokioinen Ilmala","2006","3","31","00:00","6.7"
"Jokioinen Ilmala","2006","4","1","00:00","3.3"
"Jokioinen Ilmala","2006","4","2","00:00","4.1"
"Jokioinen Ilmala","2006","4","3","00:00","3.2"
"Jokioinen Ilmala","2006","4","4","00:00","3.9"
"Jokioinen Ilmala","2006","4","5","00:00","8.2"
"Jokioinen Ilmala","2006","4","6","00:00","31.8"
"Jokioinen Ilmala","2006","4","7","00:00","8.2"
"Jokioinen Ilmala","2006","4","8","00:00","-"
"-","2006","4","9","00:00","-"
"-","2006","4","10","00:00","-"
"Jokioinen Ilmala","2006","4","11","00:00","5.4"
"Jokioinen Ilmala","2006","4","12","00:00","157.9"
"Jokioinen Ilmala","2006","4","13","00:00","-"
"-","2006","4","14","00:00","-"
"-","2006","4","15","00:00","-"
"-","2006","4","16","00:00","-"
"-","2006","4","17","00:00","-"
"-","2006","4","18","00:00","-"
"Jokioinen Ilmala","2006","4","19","00:00","88.6"
"Jokioinen Ilmala","2006","4","20","00:00","13.5"
"Jokioinen Ilmala","2006","4","21","00:00","169.8"
"Jokioinen Ilmala","2006","4","22","00:00","239.6"
"Jokioinen Ilmala","2006","4","23","00:00","290.7"
"Jokioinen Ilmala","2006","4","24","00:00","284.7"
"Jokioinen Ilmala","2006","4","25","00:00","81.6"
"Jokioinen Ilmala","2006","4","26","00:00","200"
"Jokioinen Ilmala","2006","4","27","00:00","174.2"
"Jokioinen Ilmala","2006","4","28","00:00","149.7"
"Jokioinen Ilmala","2006","4","29","00:00","169.5"
"Jokioinen Ilmala","2006","4","30","00:00","300.4"
"Jokioinen Ilmala","2006","5","1","00:00","250.3"
"Jokioinen Ilmala","2006","5","2","00:00","83.4"
"Jokioinen Ilmala","2006","5","3","00:00","122"
"Jokioinen Ilmala","2006","5","4","00:00","218.8"
"Jokioinen Ilmala","2006","5","5","00:00","228.4"
"Jokioinen Ilmala","2006","5","6","00:00","267.1"
"Jokioinen Ilmala","2006","5","7","00:00","273.1"
"Jokioinen Ilmala","2006","5","8","00:00","235.7"
"Jokioinen Ilmala","2006","5","9","00:00","298.2"
"Jokioinen Ilmala","2006","5","10","00:00","300.2"
"Jokioinen Ilmala","2006","5","11","00:00","226.5"
"Jokioinen Ilmala","2006","5","12","00:00","148.4"
"Jokioinen Ilmala","2006","5","13","00:00","107.2"
"Jokioinen Ilmala","2006","5","14","00:00","319.3"
"Jokioinen Ilmala","2006","5","15","00:00","106.7"
"Jokioinen Ilmala","2006","5","16","00:00","206.9"
"Jokioinen Ilmala","2006","5","17","00:00","329.3"
"Jokioinen Ilmala","2006","5","18","00:00","179.3"
"Jokioinen Ilmala","2006","5","19","00:00","74.3"
"Jokioinen Ilmala","2006","5","20","00:00","3.1"
"Jokioinen Ilmala","2006","5","21","00:00","42.2"
"Jokioinen Ilmala","2006","5","22","00:00","180.9"
"Jokioinen Ilmala","2006","5","23","00:00","3.9"
"Jokioinen Ilmala","2006","5","24","00:00","4.8"
"Jokioinen Ilmala","2006","5","25","00:00","114.6"
"Jokioinen Ilmala","2006","5","26","00:00","3.9"
"Jokioinen Ilmala","2006","5","27","00:00","13.6"
"Jokioinen Ilmala","2006","5","28","00:00","88.6"
"Jokioinen Ilmala","2006","5","29","00:00","76.9"
"Jokioinen Ilmala","2006","5","30","00:00","111.9"
"Jokioinen Ilmala","2006","5","31","00:00","152"
"Jokioinen Ilmala","2006","6","1","00:00","228.8"
"Jokioinen Ilmala","2006","6","2","00:00","262.3"
"Jokioinen Ilmala","2006","6","3","00:00","3.1"
"Jokioinen Ilmala","2006","6","4","00:00","285.2"
"Jokioinen Ilmala","2006","6","5","00:00","170.8"
"Jokioinen Ilmala","2006","6","6","00:00","72.7"
"Jokioinen Ilmala","2006","6","7","00:00","77.3"
"Jokioinen Ilmala","2006","6","8","00:00","108"
"Jokioinen Ilmala","2006","6","9","00:00","83.2"
"Jokioinen Ilmala","2006","6","10","00:00","340.8"
"Jokioinen Ilmala","2006","6","11","00:00","287.8"
"Jokioinen Ilmala","2006","6","12","00:00","333"
"Jokioinen Ilmala","2006","6","13","00:00","335"
"Jokioinen Ilmala","2006","6","14","00:00","219.7"
"Jokioinen Ilmala","2006","6","15","00:00","243.2"
"Jokioinen Ilmala","2006","6","16","00:00","-"
"-","2006","6","17","00:00","-"
