"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2006","1","2","00:00","2.1"
"Sodankylä Tähtelä","2006","1","3","00:00","2"
"Sodankylä Tähtelä","2006","1","4","00:00","1.6"
"Sodankylä Tähtelä","2006","1","5","00:00","1.6"
"Sodankylä Tähtelä","2006","1","6","00:00","3.8"
"Sodankylä Tähtelä","2006","1","7","00:00","4.1"
"Sodankylä Tähtelä","2006","1","8","00:00","3.5"
"Sodankylä Tähtelä","2006","1","9","00:00","7.8"
"Sodankylä Tähtelä","2006","1","10","00:00","1.1"
"Sodankylä Tähtelä","2006","1","11","00:00","1.2"
"Sodankylä Tähtelä","2006","1","12","00:00","0.9"
"Sodankylä Tähtelä","2006","1","13","00:00","1.5"
"Sodankylä Tähtelä","2006","1","14","00:00","1.7"
"Sodankylä Tähtelä","2006","1","15","00:00","12.6"
"Sodankylä Tähtelä","2006","1","16","00:00","2.6"
"Sodankylä Tähtelä","2006","1","17","00:00","14.5"
"Sodankylä Tähtelä","2006","1","18","00:00","42.4"
"Sodankylä Tähtelä","2006","1","19","00:00","37.4"
"Sodankylä Tähtelä","2006","1","20","00:00","5.2"
"Sodankylä Tähtelä","2006","1","21","00:00","7.1"
"Sodankylä Tähtelä","2006","1","22","00:00","3.3"
"Sodankylä Tähtelä","2006","1","23","00:00","1.4"
"Sodankylä Tähtelä","2006","1","24","00:00","1.2"
"Sodankylä Tähtelä","2006","1","25","00:00","8"
"Sodankylä Tähtelä","2006","1","26","00:00","1.8"
"Sodankylä Tähtelä","2006","1","27","00:00","28.3"
"Sodankylä Tähtelä","2006","1","28","00:00","2.1"
"Sodankylä Tähtelä","2006","1","29","00:00","28"
"Sodankylä Tähtelä","2006","1","30","00:00","68.3"
"Sodankylä Tähtelä","2006","1","31","00:00","48.1"
"Sodankylä Tähtelä","2006","2","1","00:00","1.4"
"Sodankylä Tähtelä","2006","2","2","00:00","1.6"
"Sodankylä Tähtelä","2006","2","3","00:00","43.8"
"Sodankylä Tähtelä","2006","2","4","00:00","67.8"
"Sodankylä Tähtelä","2006","2","5","00:00","101.9"
"Sodankylä Tähtelä","2006","2","6","00:00","80.5"
"Sodankylä Tähtelä","2006","2","7","00:00","4.2"
"Sodankylä Tähtelä","2006","2","8","00:00","1.9"
"Sodankylä Tähtelä","2006","2","9","00:00","1.9"
"Sodankylä Tähtelä","2006","2","10","00:00","140.5"
"Sodankylä Tähtelä","2006","2","11","00:00","125.2"
"Sodankylä Tähtelä","2006","2","12","00:00","2.3"
"Sodankylä Tähtelä","2006","2","13","00:00","62.5"
"Sodankylä Tähtelä","2006","2","14","00:00","143.6"
"Sodankylä Tähtelä","2006","2","15","00:00","1.2"
"Sodankylä Tähtelä","2006","2","16","00:00","0.9"
"Sodankylä Tähtelä","2006","2","17","00:00","108"
"Sodankylä Tähtelä","2006","2","18","00:00","82.6"
"Sodankylä Tähtelä","2006","2","19","00:00","3.6"
"Sodankylä Tähtelä","2006","2","20","00:00","27.2"
"Sodankylä Tähtelä","2006","2","21","00:00","42.5"
"Sodankylä Tähtelä","2006","2","22","00:00","2.1"
"Sodankylä Tähtelä","2006","2","23","00:00","125.5"
"Sodankylä Tähtelä","2006","2","24","00:00","98.3"
"Sodankylä Tähtelä","2006","2","25","00:00","127.9"
"Sodankylä Tähtelä","2006","2","26","00:00","194.8"
"Sodankylä Tähtelä","2006","2","27","00:00","144.2"
"Sodankylä Tähtelä","2006","2","28","00:00","151"
"Sodankylä Tähtelä","2006","3","1","00:00","55.3"
"Sodankylä Tähtelä","2006","3","2","00:00","237.2"
"Sodankylä Tähtelä","2006","3","3","00:00","33"
"Sodankylä Tähtelä","2006","3","4","00:00","129.4"
"Sodankylä Tähtelä","2006","3","5","00:00","131.6"
"Sodankylä Tähtelä","2006","3","6","00:00","174.9"
"Sodankylä Tähtelä","2006","3","7","00:00","157"
"Sodankylä Tähtelä","2006","3","8","00:00","56.3"
"Sodankylä Tähtelä","2006","3","9","00:00","35.5"
"Sodankylä Tähtelä","2006","3","10","00:00","3.8"
"Sodankylä Tähtelä","2006","3","11","00:00","233.9"
"Sodankylä Tähtelä","2006","3","12","00:00","96.9"
"Sodankylä Tähtelä","2006","3","13","00:00","275"
"Sodankylä Tähtelä","2006","3","14","00:00","297"
"Sodankylä Tähtelä","2006","3","15","00:00","290.8"
"Sodankylä Tähtelä","2006","3","16","00:00","103.2"
"Sodankylä Tähtelä","2006","3","17","00:00","2.5"
"Sodankylä Tähtelä","2006","3","18","00:00","51.5"
"Sodankylä Tähtelä","2006","3","19","00:00","168.9"
"Sodankylä Tähtelä","2006","3","20","00:00","152.3"
"Sodankylä Tähtelä","2006","3","21","00:00","92.7"
"Sodankylä Tähtelä","2006","3","22","00:00","119"
"Sodankylä Tähtelä","2006","3","23","00:00","58.5"
"Sodankylä Tähtelä","2006","3","24","00:00","79.5"
"Sodankylä Tähtelä","2006","3","25","00:00","102.5"
"Sodankylä Tähtelä","2006","3","26","00:00","192.5"
"Sodankylä Tähtelä","2006","3","27","00:00","120.1"
"Sodankylä Tähtelä","2006","3","28","00:00","320.4"
"Sodankylä Tähtelä","2006","3","29","00:00","215"
"Sodankylä Tähtelä","2006","3","30","00:00","342.6"
"Sodankylä Tähtelä","2006","3","31","00:00","6.2"
"Sodankylä Tähtelä","2006","4","1","00:00","1.6"
"Sodankylä Tähtelä","2006","4","2","00:00","78.8"
"Sodankylä Tähtelä","2006","4","3","00:00","118"
"Sodankylä Tähtelä","2006","4","4","00:00","1.4"
"Sodankylä Tähtelä","2006","4","5","00:00","325.8"
"Sodankylä Tähtelä","2006","4","6","00:00","2"
"Sodankylä Tähtelä","2006","4","7","00:00","233.7"
"Sodankylä Tähtelä","2006","4","8","00:00","21"
"Sodankylä Tähtelä","2006","4","9","00:00","1.5"
"Sodankylä Tähtelä","2006","4","10","00:00","237.5"
"Sodankylä Tähtelä","2006","4","11","00:00","292.5"
"Sodankylä Tähtelä","2006","4","12","00:00","83.7"
"Sodankylä Tähtelä","2006","4","13","00:00","52.2"
"Sodankylä Tähtelä","2006","4","14","00:00","42.3"
"Sodankylä Tähtelä","2006","4","15","00:00","11.2"
"Sodankylä Tähtelä","2006","4","16","00:00","75.8"
"Sodankylä Tähtelä","2006","4","17","00:00","83.3"
"Sodankylä Tähtelä","2006","4","18","00:00","2.4"
"Sodankylä Tähtelä","2006","4","19","00:00","42.7"
"Sodankylä Tähtelä","2006","4","20","00:00","45.4"
"Sodankylä Tähtelä","2006","4","21","00:00","118.6"
"Sodankylä Tähtelä","2006","4","22","00:00","397"
"Sodankylä Tähtelä","2006","4","23","00:00","14.2"
"Sodankylä Tähtelä","2006","4","24","00:00","362.4"
"Sodankylä Tähtelä","2006","4","25","00:00","193.5"
"Sodankylä Tähtelä","2006","4","26","00:00","381.8"
"Sodankylä Tähtelä","2006","4","27","00:00","374.4"
"Sodankylä Tähtelä","2006","4","28","00:00","466.9"
"Sodankylä Tähtelä","2006","4","29","00:00","500"
"Sodankylä Tähtelä","2006","4","30","00:00","483.9"
"Sodankylä Tähtelä","2006","5","1","00:00","486.7"
"Sodankylä Tähtelä","2006","5","2","00:00","416.2"
"Sodankylä Tähtelä","2006","5","3","00:00","152.6"
"Sodankylä Tähtelä","2006","5","4","00:00","188.5"
"Sodankylä Tähtelä","2006","5","5","00:00","418.7"
"Sodankylä Tähtelä","2006","5","6","00:00","423.7"
"Sodankylä Tähtelä","2006","5","7","00:00","482.4"
"Sodankylä Tähtelä","2006","5","8","00:00","479.9"
"Sodankylä Tähtelä","2006","5","9","00:00","143.9"
"Sodankylä Tähtelä","2006","5","10","00:00","55.7"
"Sodankylä Tähtelä","2006","5","11","00:00","20.4"
"Sodankylä Tähtelä","2006","5","12","00:00","0.9"
"Sodankylä Tähtelä","2006","5","13","00:00","72.1"
"Sodankylä Tähtelä","2006","5","14","00:00","27.6"
"Sodankylä Tähtelä","2006","5","15","00:00","203.3"
"Sodankylä Tähtelä","2006","5","16","00:00","233"
"Sodankylä Tähtelä","2006","5","17","00:00","148.7"
"Sodankylä Tähtelä","2006","5","18","00:00","302.7"
"Sodankylä Tähtelä","2006","5","19","00:00","128.9"
"Sodankylä Tähtelä","2006","5","20","00:00","89.6"
"Sodankylä Tähtelä","2006","5","21","00:00","404.5"
"Sodankylä Tähtelä","2006","5","22","00:00","243.4"
"Sodankylä Tähtelä","2006","5","23","00:00","276.8"
"Sodankylä Tähtelä","2006","5","24","00:00","0.6"
"Sodankylä Tähtelä","2006","5","25","00:00","0.7"
"Sodankylä Tähtelä","2006","5","26","00:00","1.4"
"Sodankylä Tähtelä","2006","5","27","00:00","1.8"
"Sodankylä Tähtelä","2006","5","28","00:00","16.9"
"Sodankylä Tähtelä","2006","5","29","00:00","74.1"
"Sodankylä Tähtelä","2006","5","30","00:00","0.7"
"Sodankylä Tähtelä","2006","5","31","00:00","0.9"
"Sodankylä Tähtelä","2006","6","1","00:00","1.1"
"Sodankylä Tähtelä","2006","6","2","00:00","43.8"
"Sodankylä Tähtelä","2006","6","3","00:00","161"
"Sodankylä Tähtelä","2006","6","4","00:00","34.3"
"Sodankylä Tähtelä","2006","6","5","00:00","74.1"
"Sodankylä Tähtelä","2006","6","6","00:00","12.4"
"Sodankylä Tähtelä","2006","6","7","00:00","576.9"
"Sodankylä Tähtelä","2006","6","8","00:00","120.4"
