"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2008","1","2","00:00","3.1"
"Sodankylä Tähtelä","2008","1","3","00:00","2.7"
"Sodankylä Tähtelä","2008","1","4","00:00","2.2"
"Sodankylä Tähtelä","2008","1","5","00:00","3.4"
"Sodankylä Tähtelä","2008","1","6","00:00","3.9"
"Sodankylä Tähtelä","2008","1","7","00:00","3.5"
"Sodankylä Tähtelä","2008","1","8","00:00","-"
"-","2008","1","9","00:00","-"
"Sodankylä Tähtelä","2008","1","10","00:00","1.6"
"Sodankylä Tähtelä","2008","1","11","00:00","1.1"
"Sodankylä Tähtelä","2008","1","12","00:00","1.8"
"Sodankylä Tähtelä","2008","1","13","00:00","1.6"
"Sodankylä Tähtelä","2008","1","14","00:00","4.8"
"Sodankylä Tähtelä","2008","1","15","00:00","1.7"
"Sodankylä Tähtelä","2008","1","16","00:00","1.1"
"Sodankylä Tähtelä","2008","1","17","00:00","1.5"
"Sodankylä Tähtelä","2008","1","18","00:00","3.6"
"Sodankylä Tähtelä","2008","1","19","00:00","0.8"
"Sodankylä Tähtelä","2008","1","20","00:00","1.9"
"Sodankylä Tähtelä","2008","1","21","00:00","-"
"-","2008","1","22","00:00","-"
"Sodankylä Tähtelä","2008","1","23","00:00","28.1"
"Sodankylä Tähtelä","2008","1","24","00:00","2.3"
"Sodankylä Tähtelä","2008","1","25","00:00","3.5"
"Sodankylä Tähtelä","2008","1","26","00:00","4.5"
"Sodankylä Tähtelä","2008","1","27","00:00","56"
"Sodankylä Tähtelä","2008","1","28","00:00","33"
"Sodankylä Tähtelä","2008","1","29","00:00","24.3"
"Sodankylä Tähtelä","2008","1","30","00:00","51.4"
"Sodankylä Tähtelä","2008","1","31","00:00","2.6"
"Sodankylä Tähtelä","2008","2","1","00:00","1.9"
"Sodankylä Tähtelä","2008","2","2","00:00","1.2"
"Sodankylä Tähtelä","2008","2","3","00:00","2.7"
"Sodankylä Tähtelä","2008","2","4","00:00","97.7"
"Sodankylä Tähtelä","2008","2","5","00:00","3.4"
"Sodankylä Tähtelä","2008","2","6","00:00","1.3"
"Sodankylä Tähtelä","2008","2","7","00:00","1.7"
"Sodankylä Tähtelä","2008","2","8","00:00","1.5"
"Sodankylä Tähtelä","2008","2","9","00:00","2.6"
"Sodankylä Tähtelä","2008","2","10","00:00","2.4"
"Sodankylä Tähtelä","2008","2","11","00:00","33.2"
"Sodankylä Tähtelä","2008","2","12","00:00","5.7"
"Sodankylä Tähtelä","2008","2","13","00:00","74.9"
"Sodankylä Tähtelä","2008","2","14","00:00","38.5"
"Sodankylä Tähtelä","2008","2","15","00:00","161.5"
"Sodankylä Tähtelä","2008","2","16","00:00","2.1"
"Sodankylä Tähtelä","2008","2","17","00:00","102.9"
"Sodankylä Tähtelä","2008","2","18","00:00","154.1"
"Sodankylä Tähtelä","2008","2","19","00:00","98.9"
"Sodankylä Tähtelä","2008","2","20","00:00","81.8"
"Sodankylä Tähtelä","2008","2","21","00:00","1.8"
"Sodankylä Tähtelä","2008","2","22","00:00","0.6"
"Sodankylä Tähtelä","2008","2","23","00:00","155.1"
"Sodankylä Tähtelä","2008","2","24","00:00","13.1"
