"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2010","1","2","00:00","3.4"
"Sodankylä Tähtelä","2010","1","3","00:00","2.4"
"Sodankylä Tähtelä","2010","1","4","00:00","1.4"
"Sodankylä Tähtelä","2010","1","5","00:00","2.9"
"Sodankylä Tähtelä","2010","1","6","00:00","3"
"Sodankylä Tähtelä","2010","1","7","00:00","5.9"
"Sodankylä Tähtelä","2010","1","8","00:00","3.8"
"Sodankylä Tähtelä","2010","1","9","00:00","3.8"
"Sodankylä Tähtelä","2010","1","10","00:00","2.3"
"Sodankylä Tähtelä","2010","1","11","00:00","3.1"
"Sodankylä Tähtelä","2010","1","12","00:00","2.3"
"Sodankylä Tähtelä","2010","1","13","00:00","2.4"
"Sodankylä Tähtelä","2010","1","14","00:00","2.7"
"Sodankylä Tähtelä","2010","1","15","00:00","2.9"
"Sodankylä Tähtelä","2010","1","16","00:00","1.5"
"Sodankylä Tähtelä","2010","1","17","00:00","1.4"
"Sodankylä Tähtelä","2010","1","18","00:00","0.6"
"Sodankylä Tähtelä","2010","1","19","00:00","1.1"
"Sodankylä Tähtelä","2010","1","20","00:00","1.9"
"Sodankylä Tähtelä","2010","1","21","00:00","1.8"
"Sodankylä Tähtelä","2010","1","22","00:00","2.3"
"Sodankylä Tähtelä","2010","1","23","00:00","2.7"
"Sodankylä Tähtelä","2010","1","24","00:00","2.8"
"Sodankylä Tähtelä","2010","1","25","00:00","2"
"Sodankylä Tähtelä","2010","1","26","00:00","0.9"
"Sodankylä Tähtelä","2010","1","27","00:00","0.5"
"Sodankylä Tähtelä","2010","1","28","00:00","63.3"
"Sodankylä Tähtelä","2010","1","29","00:00","1.4"
"Sodankylä Tähtelä","2010","1","30","00:00","0.8"
"Sodankylä Tähtelä","2010","1","31","00:00","2.2"
"Sodankylä Tähtelä","2010","2","1","00:00","4.6"
"Sodankylä Tähtelä","2010","2","2","00:00","2.4"
"Sodankylä Tähtelä","2010","2","3","00:00","2.9"
"Sodankylä Tähtelä","2010","2","4","00:00","3.8"
"Sodankylä Tähtelä","2010","2","5","00:00","3.3"
"Sodankylä Tähtelä","2010","2","6","00:00","2.3"
"Sodankylä Tähtelä","2010","2","7","00:00","3.8"
"Sodankylä Tähtelä","2010","2","8","00:00","-"
"-","2010","2","9","00:00","-"
"-","2010","2","10","00:00","-"
"Sodankylä Tähtelä","2010","2","11","00:00","25.7"
"Sodankylä Tähtelä","2010","2","12","00:00","62.1"
"Sodankylä Tähtelä","2010","2","13","00:00","2"
"Sodankylä Tähtelä","2010","2","14","00:00","30.4"
"Sodankylä Tähtelä","2010","2","15","00:00","104.8"
"Sodankylä Tähtelä","2010","2","16","00:00","141.2"
"Sodankylä Tähtelä","2010","2","17","00:00","103.4"
"Sodankylä Tähtelä","2010","2","18","00:00","133"
"Sodankylä Tähtelä","2010","2","19","00:00","83"
"Sodankylä Tähtelä","2010","2","20","00:00","93.5"
"Sodankylä Tähtelä","2010","2","21","00:00","173.1"
"Sodankylä Tähtelä","2010","2","22","00:00","6.5"
"Sodankylä Tähtelä","2010","2","23","00:00","109.9"
"Sodankylä Tähtelä","2010","2","24","00:00","2.6"
"Sodankylä Tähtelä","2010","2","25","00:00","139.9"
"Sodankylä Tähtelä","2010","2","26","00:00","168"
"Sodankylä Tähtelä","2010","2","27","00:00","2.7"
"Sodankylä Tähtelä","2010","2","28","00:00","6.2"
"Sodankylä Tähtelä","2010","3","1","00:00","2.6"
"Sodankylä Tähtelä","2010","3","2","00:00","1.2"
"Sodankylä Tähtelä","2010","3","3","00:00","13.4"
"Sodankylä Tähtelä","2010","3","4","00:00","187.3"
"Sodankylä Tähtelä","2010","3","5","00:00","6.7"
"Sodankylä Tähtelä","2010","3","6","00:00","264.4"
"Sodankylä Tähtelä","2010","3","7","00:00","3"
"Sodankylä Tähtelä","2010","3","8","00:00","80.7"
"Sodankylä Tähtelä","2010","3","9","00:00","254.4"
"Sodankylä Tähtelä","2010","3","10","00:00","272"
"Sodankylä Tähtelä","2010","3","11","00:00","93.2"
"Sodankylä Tähtelä","2010","3","12","00:00","223.9"
"Sodankylä Tähtelä","2010","3","13","00:00","42"
"Sodankylä Tähtelä","2010","3","14","00:00","109.8"
"Sodankylä Tähtelä","2010","3","15","00:00","259.4"
"Sodankylä Tähtelä","2010","3","16","00:00","329.4"
"Sodankylä Tähtelä","2010","3","17","00:00","292.2"
"Sodankylä Tähtelä","2010","3","18","00:00","258.2"
"Sodankylä Tähtelä","2010","3","19","00:00","252.1"
"Sodankylä Tähtelä","2010","3","20","00:00","2.5"
"Sodankylä Tähtelä","2010","3","21","00:00","335.7"
"Sodankylä Tähtelä","2010","3","22","00:00","251"
"Sodankylä Tähtelä","2010","3","23","00:00","187.3"
"Sodankylä Tähtelä","2010","3","24","00:00","309"
"Sodankylä Tähtelä","2010","3","25","00:00","337.5"
"Sodankylä Tähtelä","2010","3","26","00:00","2.1"
"Sodankylä Tähtelä","2010","3","27","00:00","64.1"
"Sodankylä Tähtelä","2010","3","28","00:00","0.7"
"Sodankylä Tähtelä","2010","3","29","00:00","1.2"
"Sodankylä Tähtelä","2010","3","30","00:00","2.9"
"Sodankylä Tähtelä","2010","3","31","00:00","14.5"
"Sodankylä Tähtelä","2010","4","1","00:00","4.5"
"Sodankylä Tähtelä","2010","4","2","00:00","15.9"
"Sodankylä Tähtelä","2010","4","3","00:00","109.2"
"Sodankylä Tähtelä","2010","4","4","00:00","2"
"Sodankylä Tähtelä","2010","4","5","00:00","2.1"
"Sodankylä Tähtelä","2010","4","6","00:00","3.6"
"Sodankylä Tähtelä","2010","4","7","00:00","1.5"
"Sodankylä Tähtelä","2010","4","8","00:00","9.8"
"Sodankylä Tähtelä","2010","4","9","00:00","1.3"
"Sodankylä Tähtelä","2010","4","10","00:00","1.8"
"Sodankylä Tähtelä","2010","4","11","00:00","106.2"
"Sodankylä Tähtelä","2010","4","12","00:00","158.5"
"Sodankylä Tähtelä","2010","4","13","00:00","125"
"Sodankylä Tähtelä","2010","4","14","00:00","274.2"
"Sodankylä Tähtelä","2010","4","15","00:00","160.3"
"Sodankylä Tähtelä","2010","4","16","00:00","14.2"
"Sodankylä Tähtelä","2010","4","17","00:00","325.7"
"Sodankylä Tähtelä","2010","4","18","00:00","43.8"
"Sodankylä Tähtelä","2010","4","19","00:00","454"
"Sodankylä Tähtelä","2010","4","20","00:00","66.2"
"Sodankylä Tähtelä","2010","4","21","00:00","236.2"
"Sodankylä Tähtelä","2010","4","22","00:00","251.1"
"Sodankylä Tähtelä","2010","4","23","00:00","1.4"
"Sodankylä Tähtelä","2010","4","24","00:00","30.5"
"Sodankylä Tähtelä","2010","4","25","00:00","276.6"
"Sodankylä Tähtelä","2010","4","26","00:00","139.8"
"Sodankylä Tähtelä","2010","4","27","00:00","204.5"
"Sodankylä Tähtelä","2010","4","28","00:00","412.7"
"Sodankylä Tähtelä","2010","4","29","00:00","389.6"
"Sodankylä Tähtelä","2010","4","30","00:00","208.4"
"Sodankylä Tähtelä","2010","5","1","00:00","1"
"Sodankylä Tähtelä","2010","5","2","00:00","1.3"
"Sodankylä Tähtelä","2010","5","3","00:00","114.4"
"Sodankylä Tähtelä","2010","5","4","00:00","411.1"
"Sodankylä Tähtelä","2010","5","5","00:00","122.3"
"Sodankylä Tähtelä","2010","5","6","00:00","14.4"
"Sodankylä Tähtelä","2010","5","7","00:00","330.1"
"Sodankylä Tähtelä","2010","5","8","00:00","465"
"Sodankylä Tähtelä","2010","5","9","00:00","8.4"
"Sodankylä Tähtelä","2010","5","10","00:00","122.8"
"Sodankylä Tähtelä","2010","5","11","00:00","63.4"
"Sodankylä Tähtelä","2010","5","12","00:00","1.9"
"Sodankylä Tähtelä","2010","5","13","00:00","328.8"
"Sodankylä Tähtelä","2010","5","14","00:00","172.2"
"Sodankylä Tähtelä","2010","5","15","00:00","393.3"
"Sodankylä Tähtelä","2010","5","16","00:00","331.7"
"Sodankylä Tähtelä","2010","5","17","00:00","442.2"
"Sodankylä Tähtelä","2010","5","18","00:00","476.4"
"Sodankylä Tähtelä","2010","5","19","00:00","397.1"
"Sodankylä Tähtelä","2010","5","20","00:00","297.6"
"Sodankylä Tähtelä","2010","5","21","00:00","107.9"
"Sodankylä Tähtelä","2010","5","22","00:00","87.7"
"Sodankylä Tähtelä","2010","5","23","00:00","2.6"
"Sodankylä Tähtelä","2010","5","24","00:00","1.7"
"Sodankylä Tähtelä","2010","5","25","00:00","0.7"
"Sodankylä Tähtelä","2010","5","26","00:00","293.5"
"Sodankylä Tähtelä","2010","5","27","00:00","552.6"
"Sodankylä Tähtelä","2010","5","28","00:00","428.9"
"Sodankylä Tähtelä","2010","5","29","00:00","-"
"-","2010","5","30","00:00","-"
"Sodankylä Tähtelä","2010","5","31","00:00","93.3"
"Sodankylä Tähtelä","2010","6","1","00:00","357"
"Sodankylä Tähtelä","2010","6","2","00:00","450.6"
"Sodankylä Tähtelä","2010","6","3","00:00","34.4"
"Sodankylä Tähtelä","2010","6","4","00:00","2.2"
