"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2011","1","2","00:00","4.3"
"Sodankylä Tähtelä","2011","1","3","00:00","3.2"
"Sodankylä Tähtelä","2011","1","4","00:00","3.8"
"Sodankylä Tähtelä","2011","1","5","00:00","2.9"
"Sodankylä Tähtelä","2011","1","6","00:00","1.6"
"Sodankylä Tähtelä","2011","1","7","00:00","1.9"
"Sodankylä Tähtelä","2011","1","8","00:00","2.7"
"Sodankylä Tähtelä","2011","1","9","00:00","1.5"
"Sodankylä Tähtelä","2011","1","10","00:00","1.7"
"Sodankylä Tähtelä","2011","1","11","00:00","1.4"
"Sodankylä Tähtelä","2011","1","12","00:00","3.7"
"Sodankylä Tähtelä","2011","1","13","00:00","2.2"
"Sodankylä Tähtelä","2011","1","14","00:00","3"
"Sodankylä Tähtelä","2011","1","15","00:00","6.9"
"Sodankylä Tähtelä","2011","1","16","00:00","1"
"Sodankylä Tähtelä","2011","1","17","00:00","1.3"
"Sodankylä Tähtelä","2011","1","18","00:00","1.3"
"Sodankylä Tähtelä","2011","1","19","00:00","2.2"
"Sodankylä Tähtelä","2011","1","20","00:00","2.3"
"Sodankylä Tähtelä","2011","1","21","00:00","0.9"
"Sodankylä Tähtelä","2011","1","22","00:00","2"
"Sodankylä Tähtelä","2011","1","23","00:00","2.1"
"Sodankylä Tähtelä","2011","1","24","00:00","3"
"Sodankylä Tähtelä","2011","1","25","00:00","6.2"
"Sodankylä Tähtelä","2011","1","26","00:00","2.9"
"Sodankylä Tähtelä","2011","1","27","00:00","2.3"
"Sodankylä Tähtelä","2011","1","28","00:00","39.1"
"Sodankylä Tähtelä","2011","1","29","00:00","2.1"
"Sodankylä Tähtelä","2011","1","30","00:00","15.2"
"Sodankylä Tähtelä","2011","1","31","00:00","2.8"
"Sodankylä Tähtelä","2011","2","1","00:00","2.4"
"Sodankylä Tähtelä","2011","2","2","00:00","2.7"
"Sodankylä Tähtelä","2011","2","3","00:00","1.1"
"Sodankylä Tähtelä","2011","2","4","00:00","22.7"
"Sodankylä Tähtelä","2011","2","5","00:00","0.9"
"Sodankylä Tähtelä","2011","2","6","00:00","26.2"
"Sodankylä Tähtelä","2011","2","7","00:00","2.6"
"Sodankylä Tähtelä","2011","2","8","00:00","2"
"Sodankylä Tähtelä","2011","2","9","00:00","132.4"
"Sodankylä Tähtelä","2011","2","10","00:00","134.2"
"Sodankylä Tähtelä","2011","2","11","00:00","48.3"
"Sodankylä Tähtelä","2011","2","12","00:00","121.3"
"Sodankylä Tähtelä","2011","2","13","00:00","75.2"
"Sodankylä Tähtelä","2011","2","14","00:00","98.2"
"Sodankylä Tähtelä","2011","2","15","00:00","41.1"
"Sodankylä Tähtelä","2011","2","16","00:00","143.8"
"Sodankylä Tähtelä","2011","2","17","00:00","149.6"
"Sodankylä Tähtelä","2011","2","18","00:00","95.6"
"Sodankylä Tähtelä","2011","2","19","00:00","134.4"
"Sodankylä Tähtelä","2011","2","20","00:00","170.3"
"Sodankylä Tähtelä","2011","2","21","00:00","155.4"
"Sodankylä Tähtelä","2011","2","22","00:00","193"
"Sodankylä Tähtelä","2011","2","23","00:00","143.4"
"Sodankylä Tähtelä","2011","2","24","00:00","119.1"
"Sodankylä Tähtelä","2011","2","25","00:00","1.3"
"Sodankylä Tähtelä","2011","2","26","00:00","1.3"
"Sodankylä Tähtelä","2011","2","27","00:00","0.9"
"Sodankylä Tähtelä","2011","2","28","00:00","155.2"
"Sodankylä Tähtelä","2011","3","1","00:00","93.1"
"Sodankylä Tähtelä","2011","3","2","00:00","30.1"
"Sodankylä Tähtelä","2011","3","3","00:00","112.8"
"Sodankylä Tähtelä","2011","3","4","00:00","226"
"Sodankylä Tähtelä","2011","3","5","00:00","9.1"
"Sodankylä Tähtelä","2011","3","6","00:00","171.5"
"Sodankylä Tähtelä","2011","3","7","00:00","76.6"
"Sodankylä Tähtelä","2011","3","8","00:00","56.2"
