"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Sodankylä Tähtelä","2022","1","2","00:00","2.8"
"Sodankylä Tähtelä","2022","1","3","00:00","2.7"
"Sodankylä Tähtelä","2022","1","4","00:00","0.9"
"Sodankylä Tähtelä","2022","1","5","00:00","1.9"
"Sodankylä Tähtelä","2022","1","6","00:00","2.7"
"Sodankylä Tähtelä","2022","1","7","00:00","1.4"
"Sodankylä Tähtelä","2022","1","8","00:00","2.6"
"Sodankylä Tähtelä","2022","1","9","00:00","3.1"
"Sodankylä Tähtelä","2022","1","10","00:00","4"
"Sodankylä Tähtelä","2022","1","11","00:00","1.4"
"Sodankylä Tähtelä","2022","1","12","00:00","0.3"
"Sodankylä Tähtelä","2022","1","13","00:00","0.3"
"Sodankylä Tähtelä","2022","1","14","00:00","0.6"
"Sodankylä Tähtelä","2022","1","15","00:00","1.2"
"Sodankylä Tähtelä","2022","1","16","00:00","0.9"
"Sodankylä Tähtelä","2022","1","17","00:00","0.4"
"Sodankylä Tähtelä","2022","1","18","00:00","2.3"
"Sodankylä Tähtelä","2022","1","19","00:00","0.8"
"Sodankylä Tähtelä","2022","1","20","00:00","1.3"
"Sodankylä Tähtelä","2022","1","21","00:00","0.5"
"Sodankylä Tähtelä","2022","1","22","00:00","2.6"
"Sodankylä Tähtelä","2022","1","23","00:00","0.4"
"Sodankylä Tähtelä","2022","1","24","00:00","-0.4"
"Sodankylä Tähtelä","2022","1","25","00:00","0.5"
"Sodankylä Tähtelä","2022","1","26","00:00","2.1"
"Sodankylä Tähtelä","2022","1","27","00:00","1.5"
"Sodankylä Tähtelä","2022","1","28","00:00","2.5"
"Sodankylä Tähtelä","2022","1","29","00:00","3.2"
"Sodankylä Tähtelä","2022","1","30","00:00","2.2"
"Sodankylä Tähtelä","2022","1","31","00:00","3.2"
"Sodankylä Tähtelä","2022","2","1","00:00","3.8"
"Sodankylä Tähtelä","2022","2","2","00:00","2"
"Sodankylä Tähtelä","2022","2","3","00:00","3.4"
"Sodankylä Tähtelä","2022","2","4","00:00","2.6"
"Sodankylä Tähtelä","2022","2","5","00:00","1.2"
"Sodankylä Tähtelä","2022","2","6","00:00","0.7"
"Sodankylä Tähtelä","2022","2","7","00:00","1.3"
"Sodankylä Tähtelä","2022","2","8","00:00","1.6"
"Sodankylä Tähtelä","2022","2","9","00:00","1.3"
"Sodankylä Tähtelä","2022","2","10","00:00","1"
"Sodankylä Tähtelä","2022","2","11","00:00","1.6"
"Sodankylä Tähtelä","2022","2","12","00:00","2.8"
"Sodankylä Tähtelä","2022","2","13","00:00","2.8"
"Sodankylä Tähtelä","2022","2","14","00:00","148.1"
"Sodankylä Tähtelä","2022","2","15","00:00","152.4"
"Sodankylä Tähtelä","2022","2","16","00:00","4"
"Sodankylä Tähtelä","2022","2","17","00:00","1"
"Sodankylä Tähtelä","2022","2","18","00:00","0.5"
"Sodankylä Tähtelä","2022","2","19","00:00","26.3"
"Sodankylä Tähtelä","2022","2","20","00:00","41.6"
"Sodankylä Tähtelä","2022","2","21","00:00","2.4"
"Sodankylä Tähtelä","2022","2","22","00:00","63.2"
"Sodankylä Tähtelä","2022","2","23","00:00","44.8"
"Sodankylä Tähtelä","2022","2","24","00:00","1"
"Sodankylä Tähtelä","2022","2","25","00:00","76.9"
"Sodankylä Tähtelä","2022","2","26","00:00","204.3"
"Sodankylä Tähtelä","2022","2","27","00:00","136.7"
"Sodankylä Tähtelä","2022","2","28","00:00","70.8"
"Sodankylä Tähtelä","2022","3","1","00:00","0.4"
"Sodankylä Tähtelä","2022","3","2","00:00","115.9"
"Sodankylä Tähtelä","2022","3","3","00:00","182.1"
"Sodankylä Tähtelä","2022","3","4","00:00","217.5"
"Sodankylä Tähtelä","2022","3","5","00:00","1.6"
"Sodankylä Tähtelä","2022","3","6","00:00","2.1"
"Sodankylä Tähtelä","2022","3","7","00:00","86.4"
"Sodankylä Tähtelä","2022","3","8","00:00","1.7"
"Sodankylä Tähtelä","2022","3","9","00:00","1"
"Sodankylä Tähtelä","2022","3","10","00:00","0.7"
"Sodankylä Tähtelä","2022","3","11","00:00","67.3"
"Sodankylä Tähtelä","2022","3","12","00:00","262.3"
"Sodankylä Tähtelä","2022","3","13","00:00","141.9"
"Sodankylä Tähtelä","2022","3","14","00:00","68.2"
"Sodankylä Tähtelä","2022","3","15","00:00","100.2"
"Sodankylä Tähtelä","2022","3","16","00:00","223.2"
"Sodankylä Tähtelä","2022","3","17","00:00","236.2"
"Sodankylä Tähtelä","2022","3","18","00:00","8"
"Sodankylä Tähtelä","2022","3","19","00:00","56.9"
"Sodankylä Tähtelä","2022","3","20","00:00","64.3"
"Sodankylä Tähtelä","2022","3","21","00:00","272"
"Sodankylä Tähtelä","2022","3","22","00:00","278.6"
"Sodankylä Tähtelä","2022","3","23","00:00","25.3"
"Sodankylä Tähtelä","2022","3","24","00:00","335"
"Sodankylä Tähtelä","2022","3","25","00:00","1.8"
"Sodankylä Tähtelä","2022","3","26","00:00","115.4"
"Sodankylä Tähtelä","2022","3","27","00:00","315.5"
"Sodankylä Tähtelä","2022","3","28","00:00","340.5"
"Sodankylä Tähtelä","2022","3","29","00:00","14.4"
"Sodankylä Tähtelä","2022","3","30","00:00","31.2"
"Sodankylä Tähtelä","2022","3","31","00:00","123.4"
"Sodankylä Tähtelä","2022","4","1","00:00","10.4"
"Sodankylä Tähtelä","2022","4","2","00:00","17"
"Sodankylä Tähtelä","2022","4","3","00:00","9.2"
"Sodankylä Tähtelä","2022","4","4","00:00","98.3"
"Sodankylä Tähtelä","2022","4","5","00:00","1"
"Sodankylä Tähtelä","2022","4","6","00:00","0.3"
"Sodankylä Tähtelä","2022","4","7","00:00","169.8"
"Sodankylä Tähtelä","2022","4","8","00:00","48.1"
"Sodankylä Tähtelä","2022","4","9","00:00","0.5"
"Sodankylä Tähtelä","2022","4","10","00:00","58.5"
"Sodankylä Tähtelä","2022","4","11","00:00","5.1"
"Sodankylä Tähtelä","2022","4","12","00:00","97.6"
"Sodankylä Tähtelä","2022","4","13","00:00","208.2"
"Sodankylä Tähtelä","2022","4","14","00:00","177.7"
"Sodankylä Tähtelä","2022","4","15","00:00","121.4"
"Sodankylä Tähtelä","2022","4","16","00:00","37.3"
"Sodankylä Tähtelä","2022","4","17","00:00","16"
"Sodankylä Tähtelä","2022","4","18","00:00","143.7"
"Sodankylä Tähtelä","2022","4","19","00:00","466.8"
"Sodankylä Tähtelä","2022","4","20","00:00","449.7"
"Sodankylä Tähtelä","2022","4","21","00:00","371.6"
"Sodankylä Tähtelä","2022","4","22","00:00","94.7"
"Sodankylä Tähtelä","2022","4","23","00:00","133.8"
"Sodankylä Tähtelä","2022","4","24","00:00","151.3"
"Sodankylä Tähtelä","2022","4","25","00:00","60.8"
"Sodankylä Tähtelä","2022","4","26","00:00","241.4"
"Sodankylä Tähtelä","2022","4","27","00:00","288.9"
"Sodankylä Tähtelä","2022","4","28","00:00","128.1"
"Sodankylä Tähtelä","2022","4","29","00:00","339.1"
"Sodankylä Tähtelä","2022","4","30","00:00","129.5"
"Sodankylä Tähtelä","2022","5","1","00:00","245.2"
"Sodankylä Tähtelä","2022","5","2","00:00","0.6"
"Sodankylä Tähtelä","2022","5","3","00:00","39.4"
"Sodankylä Tähtelä","2022","5","4","00:00","248.9"
"Sodankylä Tähtelä","2022","5","5","00:00","196.9"
"Sodankylä Tähtelä","2022","5","6","00:00","291.3"
"Sodankylä Tähtelä","2022","5","7","00:00","179.6"
"Sodankylä Tähtelä","2022","5","8","00:00","262.8"
"Sodankylä Tähtelä","2022","5","9","00:00","320.2"
"Sodankylä Tähtelä","2022","5","10","00:00","5.2"
"Sodankylä Tähtelä","2022","5","11","00:00","0.2"
"Sodankylä Tähtelä","2022","5","12","00:00","191.7"
"Sodankylä Tähtelä","2022","5","13","00:00","281.8"
"Sodankylä Tähtelä","2022","5","14","00:00","256.3"
"Sodankylä Tähtelä","2022","5","15","00:00","91.9"
"Sodankylä Tähtelä","2022","5","16","00:00","0.5"
"Sodankylä Tähtelä","2022","5","17","00:00","6.1"
"Sodankylä Tähtelä","2022","5","18","00:00","66.2"
"Sodankylä Tähtelä","2022","5","19","00:00","275.2"
"Sodankylä Tähtelä","2022","5","20","00:00","138.2"
"Sodankylä Tähtelä","2022","5","21","00:00","54.2"
"Sodankylä Tähtelä","2022","5","22","00:00","251.3"
"Sodankylä Tähtelä","2022","5","23","00:00","205.6"
"Sodankylä Tähtelä","2022","5","24","00:00","480.6"
"Sodankylä Tähtelä","2022","5","25","00:00","391.9"
